Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,2184772620.0,7064639807.0,709273.0,16151715.0,0.543048592,0.543246,0.0,100.0,12272.0
2,2172948103.0,7064563752.0,670590.0,17566391.0,0.511844816,0.51207,0.0,100.0,12280.0
3,2177484557.0,7064600577.0,650722.0,17517239.0,0.545440541,0.545635,0.0,100.0,12300.0
4,2170545457.0,7064599410.0,674912.0,15922260.0,0.543420651,0.543166,0.0,99.0,12184.0
5,2182835959.0,7064581503.0,781057.0,15237269.0,0.521521197,0.517541,0.003981,99.0,12220.0
6,2168766245.0,7064667076.0,602111.0,15234869.0,0.511235946,0.50734,0.003994,99.0,12264.0
7,2183832081.0,7064492599.0,698270.0,17700279.0,0.550329343,0.546587,0.004019,100.0,12280.0
8,2165536768.0,7064662781.0,677460.0,16345028.0,0.540630762,0.536791,0.004005,100.0,12284.0
9,2175512843.0,7064555736.0,638373.0,16131321.0,0.51398975,0.510056,0.004016,99.0,12220.0
10,2172949918.0,7064593809.0,625618.0,15263177.0,0.514887357,0.514562,0.0,99.0,12176.0
11,2174591356.0,7064564785.0,624050.0,16950189.0,0.546824276,0.547009,0.0,100.0,12296.0
12,2170125818.0,7064669100.0,717832.0,16516285.0,0.542503793,0.542696,0.0,100.0,12300.0
13,2170071422.0,7064625991.0,628568.0,15236535.0,0.513286524,0.509343,0.003979,99.0,12184.0
14,2168288901.0,7064502214.0,623593.0,15532803.0,0.51224274,0.512466,0.0,99.0,12284.0
15,2166707820.0,7064523993.0,590869.0,16441018.0,0.508125709,0.508169,0.0,99.0,12228.0
16,2189896609.0,7066789024.0,1017625.0,17420870.0,0.512200283,0.503398,0.00799,99.0,12160.0
17,2170294930.0,7064529858.0,641901.0,17186097.0,0.544825421,0.541261,0.004009,100.0,12300.0
18,2167807176.0,7064422553.0,531910.0,16832782.0,0.509576613,0.505766,0.004014,100.0,12168.0
19,2178526553.0,7064725614.0,641125.0,17501411.0,0.516435779,0.516615,0.0,99.0,12252.0
20,2156687267.0,7064587337.0,584700.0,14972518.0,0.538288937,0.538444,0.0,99.0,12256.0
21,2171948940.0,7064557649.0,588000.0,16842314.0,0.512807572,0.501142,0.012027,100.0,12184.0
22,2176907017.0,7064526477.0,653520.0,16692090.0,0.519743009,0.519899,0.0,100.0,12296.0
23,2215457238.0,7065017850.0,617061.0,20284866.0,0.521554357,0.517721,0.004013,100.0,12300.0
24,2167153742.0,7064463541.0,620367.0,16361400.0,0.509023135,0.504903,0.004007,99.0,12288.0
25,2156833646.0,7064559484.0,649427.0,16993327.0,0.508185943,0.508346,0.0,100.0,12280.0
26,2186125713.0,7064566706.0,675345.0,16999859.0,0.51517404,0.511333,0.003994,99.0,12284.0
27,2170400780.0,7064427360.0,592244.0,15521560.0,0.510709962,0.510763,0.0,100.0,12284.0
28,2173874394.0,7064629666.0,688001.0,15866793.0,0.51290733,0.51293,0.0,99.0,12300.0
29,2167484536.0,7064642618.0,636268.0,16748288.0,0.510934929,0.511031,0.0,100.0,12300.0
30,2180258529.0,7064604346.0,650646.0,17165477.0,0.51372637,0.513735,0.0,99.0,12212.0
31,2186354685.0,7065007219.0,795558.0,16185384.0,0.514573553,0.510678,0.003989,99.0,12224.0
32,2166171404.0,7064410690.0,621955.0,15855523.0,0.510685952,0.506909,0.004023,99.0,12276.0
33,2180278348.0,7064491303.0,624860.0,21309217.0,0.51407035,0.510259,0.003986,99.0,12284.0
34,2179209320.0,7064780365.0,785631.0,14880791.0,0.513852445,0.510136,0.003985,100.0,12280.0
35,2175562757.0,7064465380.0,656200.0,16830844.0,0.512478661,0.508747,0.004005,99.0,12164.0
36,2185688977.0,7064598474.0,643617.0,17767358.0,0.545114627,0.541308,0.004009,99.0,12220.0
37,2175976920.0,7064476507.0,678834.0,17762184.0,0.512463443,0.512657,0.0,100.0,12268.0
38,2165206692.0,7064587563.0,676442.0,15362165.0,0.511822575,0.507983,0.003999,99.0,12188.0
39,2187673413.0,7064596677.0,609051.0,16458992.0,0.516708713,0.512837,0.004006,100.0,12228.0
40,2167763220.0,7064539360.0,704550.0,17096444.0,0.541414071,0.537445,0.00401,100.0,12192.0
41,2170816309.0,7064468845.0,631486.0,16275556.0,0.507791734,0.500072,0.008001,100.0,12272.0
42,2192621452.0,7064453178.0,744330.0,15969202.0,0.550603796,0.546818,0.003991,99.0,12112.0
43,2165298960.0,7064425287.0,679961.0,15387808.0,0.511124941,0.503221,0.008051,99.0,12264.0
44,2168548030.0,7064461828.0,672877.0,15617991.0,0.511132348,0.51137,0.0,99.0,12272.0
45,2171062536.0,7064484834.0,698957.0,20497349.0,0.542548808,0.538836,0.003991,99.0,12280.0
