Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,2202696367.0,7071472885.0,1162873.0,18022674.0,0.517978399,0.511762,0.004029,99.0,12212.0
2,2197753980.0,7065639881.0,550669.0,17349484.0,0.545200585,0.545539,0.0,100.0,12288.0
3,2177918166.0,7065627822.0,637315.0,16558732.0,0.514794584,0.51503,0.0,99.0,12272.0
4,2197996602.0,7065670407.0,577408.0,19295165.0,0.549840614,0.546067,0.003985,100.0,12184.0
5,2189733852.0,7065638879.0,616161.0,16134733.0,0.546561323,0.538915,0.007925,100.0,12236.0
6,2195050898.0,7065636384.0,596612.0,16644256.0,0.515816028,0.507898,0.007998,100.0,12184.0
7,2200393188.0,7065725771.0,712378.0,16700931.0,0.548971015,0.545136,0.004008,100.0,12212.0
8,2172506839.0,7065738902.0,581556.0,17039131.0,0.544224694,0.544555,0.0,99.0,12284.0
9,2179826403.0,7065558723.0,583254.0,17762574.0,0.546275396,0.542546,0.004018,100.0,12184.0
10,2175754334.0,7065764841.0,585609.0,16856038.0,0.51122462,0.51136,0.0,100.0,12164.0
11,2185511533.0,7065697676.0,565306.0,17937193.0,0.514069635,0.502183,0.011956,100.0,12212.0
12,2183180430.0,7065567715.0,610690.0,16500249.0,0.541835334,0.533927,0.008028,100.0,12272.0
13,2190960703.0,7065858551.0,663431.0,17682187.0,0.546800963,0.546988,0.0,100.0,12272.0
14,2234662032.0,7065791343.0,620863.0,20178087.0,0.555750662,0.547642,0.007994,99.0,12140.0
15,2181659956.0,7065886357.0,682695.0,17822824.0,0.54678651,0.547445,0.0,100.0,12296.0
16,2188386170.0,7065696839.0,566464.0,16428992.0,0.518579692,0.514608,0.00402,100.0,12192.0
17,2173737462.0,7065550410.0,576466.0,15800108.0,0.510868225,0.502995,0.008047,99.0,12272.0
18,2184080360.0,7066082771.0,748189.0,17386989.0,0.515317233,0.511894,0.003999,99.0,12272.0
19,2178321392.0,7066135272.0,1045923.0,16200937.0,0.513120355,0.505245,0.008019,100.0,12188.0
20,2187274810.0,7065608534.0,660278.0,18665513.0,0.545293643,0.53762,0.008024,100.0,12272.0
21,2201691595.0,7065809758.0,563414.0,15717675.0,0.518255493,0.514445,0.003987,100.0,12176.0
22,2189588511.0,7065749545.0,616247.0,16446761.0,0.547341275,0.539549,0.007993,100.0,12184.0
23,2198130439.0,7065629068.0,557480.0,16658948.0,0.54860018,0.548933,0.0,100.0,12232.0
24,2176694137.0,7066113105.0,789876.0,16223513.0,0.512942475,0.513424,0.0,100.0,12184.0
25,2197790014.0,7065697631.0,659576.0,16677672.0,0.548590824,0.544836,0.004006,100.0,12276.0
26,2203343067.0,7065671298.0,661393.0,18211677.0,0.552602761,0.545099,0.007957,99.0,12256.0
27,2185692361.0,7065557420.0,577119.0,16313146.0,0.514318087,0.510471,0.004019,99.0,12192.0
28,2186745476.0,7065552811.0,603148.0,17726648.0,0.516051499,0.5163,0.0,100.0,12300.0
29,2186669374.0,7065569415.0,569557.0,17223525.0,0.51648843,0.504636,0.012015,100.0,12276.0
30,2234443354.0,7065709525.0,728380.0,21883209.0,0.557449526,0.549623,0.008023,99.0,12220.0
31,2204300433.0,7065757379.0,611696.0,20207374.0,0.551314812,0.547607,0.004026,100.0,12228.0
32,2198447147.0,7065641889.0,622605.0,19347433.0,0.549935783,0.546192,0.003986,100.0,12296.0
33,2185364600.0,7065579590.0,606938.0,16769402.0,0.513225906,0.509518,0.00398,100.0,12204.0
34,2184594040.0,7065590662.0,608592.0,17372402.0,0.514517775,0.506774,0.00798,100.0,12156.0
35,2185342514.0,7065623204.0,520314.0,16864569.0,0.548047888,0.548283,0.0,99.0,12256.0
36,2176470880.0,7065543710.0,554319.0,15860644.0,0.515374251,0.499713,0.015863,100.0,12196.0
37,2178752593.0,7065581557.0,581427.0,15875784.0,0.54501549,0.537351,0.00802,99.0,12232.0
38,2188103390.0,7065551401.0,560532.0,17301678.0,0.515012542,0.511126,0.003993,99.0,12260.0
39,2200528250.0,7065711374.0,605431.0,18531051.0,0.549271387,0.545379,0.00401,100.0,12284.0
40,2184033216.0,7065567911.0,526800.0,17787326.0,0.515747492,0.515947,0.0,100.0,12212.0
41,2224085939.0,7071444652.0,1182234.0,18393845.0,0.523406232,0.517356,0.00401,99.0,12220.0
42,2208727909.0,7071494779.0,1096683.0,25447695.0,0.51873869,0.512724,0.004005,99.0,12184.0
43,2228498075.0,7065726135.0,655179.0,17668923.0,0.558092022,0.558287,0.0,100.0,12224.0
44,2206022104.0,7065658684.0,649699.0,19613794.0,0.547525623,0.547674,0.0,99.0,12284.0
45,2205942955.0,7071739188.0,1586039.0,16830816.0,0.518023093,0.500275,0.015881,99.0,12252.0
46,2173733189.0,7065617273.0,524279.0,16721978.0,0.511877904,0.507921,0.003999,99.0,12252.0
47,2243658800.0,7066020836.0,1494455.0,19151445.0,0.52859662,0.528829,0.0,100.0,12272.0
48,2182051291.0,7065549681.0,702266.0,16106573.0,0.548005513,0.544255,0.004001,99.0,12184.0
49,2193823861.0,7065598941.0,595140.0,16239299.0,0.516540701,0.500737,0.015896,99.0,12252.0
50,2194128541.0,7065982046.0,913544.0,17546672.0,0.520220192,0.516383,0.004002,100.0,12216.0
51,2207561910.0,7065647122.0,588926.0,18501230.0,0.549525419,0.541641,0.008024,100.0,12184.0
52,2209200871.0,7065604479.0,685117.0,17762467.0,0.553411502,0.549681,0.003983,100.0,12284.0
53,2227452532.0,7071531142.0,1114448.0,18997947.0,0.523517927,0.509578,0.011943,99.0,12284.0
