Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,2207295468.0,7065442750.0,689012.0,17733743.0,0.518834061,0.51868,0.0,99.0,12216.0
2,2209286732.0,7065588103.0,655473.0,17280797.0,0.553971971,0.550263,0.003987,100.0,12228.0
3,2187493016.0,7065556335.0,649887.0,16975816.0,0.548134779,0.540334,0.008004,100.0,12280.0
4,2221518683.0,7069507186.0,1154365.0,18559833.0,0.522828403,0.52157,0.0,99.0,12256.0
5,2195402516.0,7065503109.0,759996.0,18015872.0,0.54942714,0.544962,0.004007,99.0,12164.0
6,2211336959.0,7065462992.0,678954.0,17578636.0,0.551312109,0.543662,0.007995,100.0,12300.0
7,2187127920.0,7065375018.0,558153.0,16556772.0,0.546214195,0.542541,0.003989,99.0,12260.0
8,2187858929.0,7065497853.0,637779.0,16970857.0,0.515490795,0.507288,0.007988,99.0,12224.0
9,2181730496.0,7065484982.0,616360.0,15687953.0,0.514978015,0.515126,0.0,99.0,12228.0
10,2201419002.0,7065737843.0,661764.0,17229183.0,0.550192614,0.538505,0.011878,100.0,12284.0
11,2223770542.0,7065609158.0,573351.0,16914673.0,0.523888751,0.51603,0.008,99.0,12280.0
12,2223355239.0,7065445255.0,627486.0,17837003.0,0.522480107,0.518491,0.004019,99.0,12280.0
13,2183350626.0,7065791815.0,584119.0,16408482.0,0.542059922,0.538305,0.003987,99.0,12296.0
14,2197357629.0,7066002271.0,753335.0,19649159.0,0.518054215,0.518425,0.0,100.0,12264.0
15,2209598996.0,7065620423.0,644789.0,15674625.0,0.551895858,0.552005,0.0,99.0,12280.0
16,2192631382.0,7065461468.0,650820.0,15895926.0,0.517730428,0.513958,0.003984,99.0,12264.0
17,2197042349.0,7065568980.0,691324.0,18087320.0,0.548994059,0.541207,0.008017,99.0,12228.0
18,2202702101.0,7065469863.0,760043.0,17921854.0,0.550062714,0.542234,0.007974,100.0,12140.0
19,2209803108.0,7068278086.0,1147079.0,17586307.0,0.517347348,0.500732,0.015896,99.0,12224.0
20,2201980400.0,7065578540.0,654881.0,16549344.0,0.550432041,0.542796,0.007982,99.0,12164.0
21,2194647773.0,7065465867.0,585247.0,17247020.0,0.518011129,0.518193,0.0,100.0,12116.0
22,2197888711.0,7065563588.0,650937.0,17341344.0,0.549603995,0.537811,0.01204,100.0,12196.0
23,2207342070.0,7065644613.0,624611.0,17531783.0,0.521422219,0.52144,0.0,99.0,12260.0
24,2254322215.0,7071582886.0,1273896.0,19137411.0,0.529285393,0.51102,0.015969,99.0,12256.0
25,2197313179.0,7065500831.0,651560.0,17828748.0,0.54853276,0.544863,0.004006,100.0,12300.0
26,2190856142.0,7065402512.0,602510.0,17579214.0,0.516170514,0.512328,0.004002,99.0,12280.0
27,2196355179.0,7065571743.0,730021.0,16621307.0,0.546364443,0.542452,0.003988,100.0,12220.0
28,2211346860.0,7065618606.0,659164.0,18243570.0,0.519518606,0.515559,0.003996,99.0,12228.0
29,2210000765.0,7065526976.0,586991.0,16604611.0,0.551612171,0.54386,0.007997,99.0,12260.0
30,2185308327.0,7065509774.0,654035.0,15588142.0,0.513000873,0.493134,0.019884,99.0,12160.0
31,2210912987.0,7071363783.0,1188761.0,16290133.0,0.520852732,0.498602,0.019944,99.0,12260.0
32,2203590003.0,7065702302.0,734766.0,17598894.0,0.553079278,0.549069,0.004007,100.0,12252.0
33,2303394597.0,7066033774.0,1931647.0,19549135.0,0.568132906,0.568478,0.0,99.0,12296.0
34,2233422783.0,7071420819.0,1215227.0,18556367.0,0.523969649,0.502027,0.019921,99.0,12260.0
35,2203064495.0,7065558086.0,600036.0,16622830.0,0.550404956,0.546414,0.004017,99.0,12300.0
36,2225334235.0,7065596103.0,691847.0,18540824.0,0.556345936,0.552573,0.004004,99.0,12304.0
37,2195887550.0,7065457896.0,600443.0,16626128.0,0.516576656,0.512609,0.004004,99.0,12288.0
38,2209834896.0,7065516918.0,669377.0,17429561.0,0.551780499,0.551854,0.0,100.0,12284.0
39,2181264396.0,7065823411.0,929266.0,15701211.0,0.514732755,0.510928,0.003991,99.0,12232.0
40,2190221861.0,7065576720.0,660716.0,17426636.0,0.517916509,0.514149,0.003985,99.0,12280.0
41,2346854093.0,7067449701.0,1509004.0,22575906.0,0.551063503,0.542547,0.007978,99.0,12280.0
42,2221353444.0,7065526585.0,640164.0,16414185.0,0.527502409,0.527599,0.0,99.0,12280.0
43,2233440526.0,7065885837.0,960908.0,16050367.0,0.522179255,0.522014,0.0,100.0,12300.0
44,2203158025.0,7065572207.0,605761.0,18988271.0,0.551784276,0.547921,0.003999,99.0,12272.0
45,2209783882.0,7065381752.0,617056.0,16969815.0,0.521221791,0.513436,0.00796,100.0,12192.0
46,2201734466.0,7065429952.0,575918.0,17972628.0,0.519529098,0.511739,0.007995,100.0,12188.0
47,2227857263.0,7071436810.0,1216901.0,17004518.0,0.524085807,0.517967,0.004015,99.0,12200.0
48,2210939654.0,7065584845.0,644382.0,15627549.0,0.520807001,0.512788,0.008012,99.0,12188.0
49,2194892768.0,7065614247.0,598078.0,16159067.0,0.518042092,0.498141,0.019925,99.0,12164.0
50,2186077183.0,7065544056.0,596827.0,17493189.0,0.516979306,0.513008,0.004007,100.0,12228.0
51,2190877479.0,7065552987.0,737705.0,16973470.0,0.514190162,0.510395,0.003987,100.0,12252.0
52,2199504784.0,7065587835.0,616031.0,15792393.0,0.51788928,0.514038,0.004015,100.0,12280.0
53,2197140839.0,7065643364.0,663411.0,18143977.0,0.548698171,0.540831,0.008012,100.0,12260.0
54,2198333531.0,7065517854.0,601315.0,16037674.0,0.517714537,0.513937,0.003984,99.0,12164.0
55,2187530793.0,7065643951.0,572338.0,17384474.0,0.516942852,0.501178,0.016037,100.0,12164.0
56,2190017027.0,7065811014.0,813655.0,14775187.0,0.516146303,0.512258,0.004002,100.0,12228.0
57,2194112787.0,7065569738.0,563049.0,17348163.0,0.517633802,0.517686,0.0,100.0,12228.0
58,2193750929.0,7065521975.0,568323.0,17330396.0,0.517730883,0.509961,0.007968,99.0,12252.0
59,2198745306.0,7065561942.0,674787.0,17384890.0,0.518942574,0.51898,0.0,100.0,12304.0
60,2180405576.0,7065485933.0,594447.0,16810553.0,0.515873992,0.512078,0.004,99.0,12268.0
61,2217316520.0,7065633021.0,721030.0,17554797.0,0.522486714,0.522589,0.0,99.0,12164.0
62,2198496118.0,7065547255.0,637160.0,19766014.0,0.519884188,0.515741,0.003997,99.0,12276.0
63,2221563073.0,7065494404.0,644561.0,18475671.0,0.554734493,0.547056,0.007986,99.0,12164.0
64,2196541548.0,7065489220.0,626949.0,17159496.0,0.542187219,0.53039,0.011963,100.0,12216.0
65,2198492156.0,7065479744.0,628919.0,17821973.0,0.519504459,0.519687,0.0,100.0,12280.0
66,2201055324.0,7065639941.0,654127.0,16337024.0,0.552575537,0.552764,0.0,100.0,12284.0
67,2239560178.0,7071399600.0,1311221.0,17781686.0,0.526204764,0.520144,0.004063,99.0,12248.0
68,2204257985.0,7065567012.0,631975.0,18490982.0,0.5181783,0.514266,0.003986,100.0,12232.0
69,2195913419.0,7065419014.0,558766.0,23191177.0,0.517451873,0.509674,0.007963,100.0,12284.0
70,2188546622.0,7065492713.0,643549.0,16307563.0,0.515236692,0.511449,0.003995,100.0,12220.0
71,2196296417.0,7065420199.0,630883.0,17660138.0,0.515813238,0.511986,0.003999,100.0,12220.0
72,2207227933.0,7065698906.0,644981.0,40181418.0,0.520135,0.51228,0.008004,100.0,12260.0
73,2185476890.0,7065533704.0,671146.0,17211700.0,0.543980493,0.536292,0.007945,100.0,12280.0
74,2202005356.0,7065564010.0,666171.0,17598522.0,0.530108315,0.514437,0.015951,99.0,12220.0
75,2201723398.0,7065391607.0,594725.0,23252274.0,0.517616286,0.513885,0.003983,100.0,12284.0
76,2191696891.0,7065485636.0,630581.0,16311478.0,0.515968642,0.508273,0.008004,100.0,12184.0
77,2197396430.0,7065627522.0,606816.0,17451747.0,0.516967873,0.497089,0.020043,100.0,12192.0
78,2194419115.0,7065598709.0,624668.0,17628593.0,0.517941333,0.518103,0.0,99.0,12276.0
79,2196071137.0,7065772304.0,656105.0,19280301.0,0.549781235,0.550006,0.0,100.0,12296.0
80,2204994651.0,7065563793.0,731182.0,17943094.0,0.551149442,0.547117,0.004022,100.0,12228.0
81,2231524990.0,7070520277.0,1181999.0,17755215.0,0.523211692,0.505472,0.016046,99.0,12192.0
82,2185423678.0,7065474607.0,593979.0,17050448.0,0.520994345,0.517228,0.004009,99.0,12296.0
