Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1553968936.0,5329462583.0,561356.0,21047948.0,0.401217807,0.397603,0.003976,99.0,12164.0
2,1555310205.0,5329157553.0,599038.0,21261564.0,0.392343952,0.380515,0.011891,99.0,12216.0
3,1539957566.0,5329116523.0,504727.0,18627659.0,0.397641786,0.397685,0.0,99.0,12224.0
4,1541900964.0,5329281705.0,529190.0,18546820.0,0.367409625,0.359604,0.007991,99.0,12228.0
5,1541559341.0,5329072718.0,499978.0,18959678.0,0.395330384,0.391558,0.003995,99.0,12188.0
6,1546602501.0,5329054812.0,541638.0,19566361.0,0.398215964,0.394539,0.004025,100.0,12228.0
7,1545736715.0,5329047542.0,536226.0,19902001.0,0.365583904,0.35393,0.01193,100.0,12224.0
8,1546990697.0,5329056137.0,576064.0,20228464.0,0.399396221,0.399486,0.0,99.0,12192.0
9,1546492313.0,5329079490.0,520726.0,18583633.0,0.367002393,0.363245,0.004036,100.0,12216.0
10,1546215465.0,5329133169.0,547515.0,19566231.0,0.364322294,0.356383,0.008008,100.0,12196.0
11,1550346089.0,5329066224.0,544607.0,19280530.0,0.366543191,0.366376,0.0,99.0,12288.0
12,1549561352.0,5329033831.0,497496.0,21252095.0,0.365943043,0.36616,0.0,99.0,12128.0
13,1539304592.0,5329009268.0,552465.0,17778623.0,0.364356176,0.360458,0.004005,99.0,12168.0
14,1544712741.0,5329080853.0,581741.0,18453313.0,0.36622933,0.366319,0.0,100.0,12268.0
15,1542890293.0,5329100045.0,500908.0,18984486.0,0.375654586,0.375547,0.0,99.0,12268.0
16,1545125115.0,5329090839.0,464433.0,18057593.0,0.365769639,0.366034,0.0,100.0,12260.0
17,1552222924.0,5329143747.0,605290.0,21142209.0,0.400471806,0.400734,0.0,100.0,12260.0
18,1544181681.0,5329002331.0,519017.0,18551391.0,0.399291138,0.399549,0.0,99.0,12160.0
