Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1589374869.0,5334571091.0,961050.0,23774984.0,0.373453796,0.356238,0.015832,99.0,12196.0
2,1563724488.0,5330190961.0,513798.0,22159980.0,0.369720108,0.365821,0.00402,100.0,12256.0
3,1576395525.0,5330201730.0,455135.0,23827885.0,0.37297936,0.369094,0.004011,99.0,12296.0
4,1568787337.0,5330501747.0,614193.0,20829684.0,0.370205582,0.366706,0.003985,100.0,12212.0
5,1561164598.0,5330254880.0,539636.0,22265954.0,0.400043373,0.40031,0.0,100.0,12296.0
6,1573388220.0,5330151224.0,512630.0,23506568.0,0.40044294,0.400142,0.0,99.0,12272.0
7,1588134264.0,5332936850.0,827452.0,23627434.0,0.37260857,0.363592,0.00817,99.0,12284.0
8,1568611770.0,5330082579.0,504623.0,23674025.0,0.402193743,0.394392,0.007967,99.0,12212.0
9,1560421102.0,5330097363.0,466216.0,22154583.0,0.372057447,0.360236,0.012007,99.0,12256.0
10,1591430038.0,5330344938.0,582614.0,22060723.0,0.406105808,0.402283,0.004022,100.0,12296.0
11,1598450672.0,5334462953.0,937318.0,23525955.0,0.37607679,0.366648,0.008058,99.0,12276.0
12,1581549001.0,5334443106.0,942113.0,23465698.0,0.373126242,0.367629,0.004084,99.0,12164.0
13,1563600392.0,5330192120.0,554203.0,21474688.0,0.400727412,0.396972,0.004009,100.0,12188.0
14,1562935650.0,5330113307.0,514582.0,22751143.0,0.400916823,0.397007,0.00401,99.0,12228.0
15,1572167126.0,5330241058.0,470067.0,23787980.0,0.371663053,0.363969,0.007999,100.0,12188.0
16,1590708112.0,5330268415.0,478046.0,23330736.0,0.376453173,0.376546,0.0,100.0,12228.0
17,1567451629.0,5330089819.0,523428.0,22565988.0,0.399454961,0.387613,0.011988,100.0,12140.0
18,1589668900.0,5330275424.0,713619.0,23297447.0,0.375563456,0.371812,0.003997,100.0,12272.0
19,1575230844.0,5330128416.0,507970.0,25372376.0,0.404367653,0.400775,0.004007,100.0,12248.0
20,1551539196.0,5330210156.0,474420.0,21036316.0,0.36555418,0.365409,0.0,99.0,12224.0
21,1570227696.0,5330222108.0,479714.0,26398805.0,0.370195186,0.370202,0.0,100.0,12272.0
