Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1591980746.0,5330267292.0,870356.0,21113875.0,0.407071553,0.395567,0.011867,100.0,12272.0
2,1553680763.0,5329873859.0,461342.0,17845852.0,0.367964139,0.367953,0.0,100.0,12288.0
3,1559987091.0,5329922255.0,545251.0,16938232.0,0.400160253,0.399882,0.0,99.0,12216.0
4,1563718653.0,5329925558.0,499277.0,18402336.0,0.369603684,0.365883,0.003976,99.0,12184.0
5,1560894403.0,5329984953.0,490631.0,17042615.0,0.369980273,0.358198,0.011939,100.0,12204.0
6,1549086323.0,5329800724.0,493102.0,16318218.0,0.397968468,0.390383,0.007967,100.0,12284.0
7,1567492745.0,5333872143.0,906298.0,17627187.0,0.368142308,0.354863,0.011961,99.0,12300.0
8,1554241109.0,5329948362.0,482283.0,17371411.0,0.366932154,0.362489,0.004027,99.0,12184.0
9,1567196786.0,5329926494.0,500868.0,20082202.0,0.394505904,0.394341,0.0,100.0,12180.0
10,1562307695.0,5330046022.0,513563.0,19003660.0,0.397911478,0.390028,0.007959,100.0,12300.0
11,1566376893.0,5330000880.0,499430.0,18718234.0,0.4002558,0.392454,0.008009,100.0,12300.0
12,1551492070.0,5329819592.0,473584.0,16075075.0,0.365387805,0.361685,0.003974,100.0,12272.0
13,1553316754.0,5329896321.0,536680.0,16343258.0,0.366366084,0.362629,0.003984,99.0,12216.0
14,1554091740.0,5329784366.0,515235.0,16151019.0,0.366193644,0.36238,0.003982,99.0,12224.0
15,1548820151.0,5329940956.0,478766.0,15768160.0,0.397090833,0.397229,0.0,100.0,12280.0
16,1551138211.0,5329843890.0,464784.0,17935650.0,0.367918815,0.364029,0.004,99.0,12184.0
17,1561414295.0,5329881224.0,470077.0,16998571.0,0.368416231,0.360613,0.008013,99.0,12284.0
18,1609486220.0,5334200267.0,1180456.0,20364694.0,0.380360916,0.363083,0.015786,99.0,12136.0
19,1577882806.0,5329983428.0,461785.0,17042022.0,0.375002976,0.371251,0.003991,99.0,12272.0
20,1570180819.0,5334040337.0,869276.0,16693258.0,0.369683098,0.360249,0.008005,99.0,12168.0
21,1572452903.0,5333466027.0,879618.0,17915977.0,0.371435159,0.358294,0.011943,99.0,12192.0
22,1559468896.0,5329929050.0,475910.0,16987033.0,0.40132795,0.393549,0.00795,100.0,12180.0
23,1564882754.0,5329928106.0,516041.0,17241975.0,0.368671435,0.364718,0.004007,100.0,12164.0
24,1568028293.0,5329886797.0,454614.0,17451877.0,0.368330885,0.364537,0.004005,100.0,12252.0
25,1617625409.0,5330552612.0,1484338.0,19379150.0,0.39379708,0.381804,0.011931,99.0,12172.0
26,1558083809.0,5329988686.0,482188.0,17157204.0,0.402898211,0.399122,0.003991,99.0,12216.0
27,1564230727.0,5334011682.0,885383.0,17365017.0,0.367392488,0.365939,0.0,99.0,12276.0
28,1550503814.0,5329908697.0,476812.0,15850648.0,0.366211456,0.35836,0.007963,100.0,12268.0
29,1576827999.0,5329900839.0,446043.0,18236506.0,0.371972108,0.372121,0.0,99.0,12296.0
30,1569005345.0,5329887607.0,507652.0,17933138.0,0.40262059,0.398801,0.003988,99.0,12156.0
31,1556025818.0,5329960037.0,475518.0,17334806.0,0.398488519,0.398569,0.0,100.0,12300.0
32,1555090600.0,5329895640.0,470921.0,16813425.0,0.367071843,0.359291,0.008073,99.0,12220.0
