Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,589839425.0,2089806448.0,2829916.0,11966043.0,0.143715693,0.139919,0.003997,99.0,38656.0
2,648191144.0,2089616899.0,3057103.0,13094438.0,0.15760772,0.149626,0.008087,100.0,38636.0
3,574222432.0,2089577093.0,2781878.0,11420796.0,0.140391244,0.128515,0.012048,99.0,38640.0
4,615382299.0,2091599872.0,3054403.0,13036627.0,0.150109333,0.134407,0.015812,99.0,38680.0
5,570303021.0,2089652341.0,2723246.0,11399288.0,0.139935738,0.132056,0.008003,100.0,38584.0
6,589380841.0,2089539255.0,2698931.0,11992702.0,0.14337515,0.13947,0.004102,91.0,38680.0
7,601676170.0,2089733839.0,2851455.0,12255035.0,0.147077655,0.131288,0.015913,100.0,38580.0
8,587314888.0,2089737369.0,2769778.0,12202870.0,0.143462871,0.135661,0.00798,99.0,38680.0
9,569848183.0,2089348991.0,2665980.0,11333312.0,0.139189834,0.139355,0.0,100.0,38604.0
10,580088610.0,2089542778.0,2743507.0,11706078.0,0.141924477,0.118346,0.023669,99.0,38684.0
11,583687906.0,2089824819.0,2747369.0,11866975.0,0.142707608,0.126944,0.015868,99.0,38580.0
12,627606357.0,2089399135.0,2872412.0,12281357.0,0.153313243,0.141387,0.012118,100.0,38700.0
13,642210381.0,2089716329.0,2895145.0,13010840.0,0.156038038,0.152144,0.004003,100.0,38680.0
14,576786416.0,2091238835.0,2809968.0,11513815.0,0.141479027,0.1293,0.011754,99.0,38584.0
15,619156644.0,2089313165.0,2849177.0,12454805.0,0.15150966,0.136143,0.015559,99.0,38640.0
16,582445736.0,2091458087.0,2851807.0,11654620.0,0.143322426,0.142405,0.0,99.0,38584.0
17,575177351.0,2089569638.0,2846245.0,11681597.0,0.139885318,0.123977,0.015997,99.0,38672.0
18,568458428.0,2089633663.0,2807123.0,11461982.0,0.139117621,0.131251,0.007954,99.0,38592.0
19,649888431.0,2089654737.0,2952845.0,13040165.0,0.158037532,0.150093,0.008113,100.0,38696.0
20,578093928.0,2089331980.0,2599437.0,11432965.0,0.141387049,0.133462,0.008088,99.0,38552.0
21,576010466.0,2089409038.0,2748170.0,11561394.0,0.140996148,0.133095,0.008066,99.0,38680.0
22,586187757.0,2089677423.0,2777041.0,15822780.0,0.142944936,0.143128,0.0,100.0,38656.0
23,583857657.0,2089692505.0,2781309.0,11758888.0,0.142822224,0.13107,0.011915,100.0,38612.0
24,611085187.0,2089445059.0,2798127.0,12236703.0,0.149077435,0.137164,0.012102,100.0,38704.0
25,571150619.0,2089417304.0,2688453.0,11443719.0,0.142376356,0.13063,0.011875,99.0,38652.0
26,567821274.0,2089721805.0,2704127.0,11474823.0,0.138089348,0.122402,0.015793,100.0,38548.0
27,576708320.0,2089784443.0,2735048.0,11547415.0,0.141033515,0.133158,0.00807,100.0,38652.0
28,576904645.0,2089529566.0,2754684.0,11482056.0,0.141300452,0.129639,0.011785,99.0,38656.0
29,610798118.0,2089549684.0,2916248.0,12464523.0,0.149546424,0.145664,0.004046,100.0,38664.0
30,605964486.0,2089639367.0,2875406.0,12380050.0,0.147664965,0.14385,0.003995,100.0,38672.0
31,601368784.0,2089569068.0,2820392.0,12048618.0,0.146865978,0.143074,0.003974,100.0,38680.0
32,606225677.0,2091210747.0,2941265.0,12106042.0,0.149063609,0.132463,0.016056,99.0,38668.0
33,579650948.0,2089684633.0,2777372.0,12424953.0,0.141819862,0.130201,0.011836,100.0,38656.0
34,615622891.0,2089459964.0,2840987.0,12391663.0,0.150384593,0.146593,0.003961,99.0,38680.0
35,572632544.0,2089734261.0,2616990.0,11282636.0,0.139614831,0.123695,0.01596,99.0,38680.0
36,573152496.0,2089493099.0,2691589.0,11492697.0,0.139895593,0.128042,0.012004,100.0,38588.0
37,577026088.0,2089597600.0,2626363.0,11506230.0,0.14103785,0.12555,0.015693,100.0,38632.0
38,633108149.0,2091031093.0,3012502.0,13043895.0,0.155321198,0.14287,0.011905,98.0,38652.0
39,595921105.0,2089694359.0,2780729.0,11872932.0,0.145379895,0.141479,0.004042,100.0,38680.0
40,575429445.0,2089477436.0,2791386.0,11507603.0,0.140807026,0.132913,0.008055,100.0,38680.0
41,570053486.0,2089730794.0,2717928.0,11433252.0,0.138679657,0.126888,0.011895,99.0,38664.0
42,571149327.0,2089721283.0,2711649.0,11321426.0,0.139473475,0.123662,0.015956,100.0,38664.0
43,585690746.0,2089518759.0,2720529.0,11672801.0,0.143191485,0.135395,0.007964,100.0,38700.0
44,572714411.0,2089591978.0,2606289.0,11300805.0,0.140467947,0.124629,0.016081,100.0,38580.0
45,568534650.0,2089708312.0,2740667.0,11486571.0,0.138670996,0.119053,0.019842,100.0,38660.0
46,585529286.0,2089376389.0,2902496.0,11978265.0,0.143382641,0.127515,0.015939,99.0,38644.0
47,623180723.0,2089426529.0,2988718.0,12524580.0,0.151770604,0.14394,0.007996,100.0,38628.0
48,576790856.0,2089575333.0,2801040.0,11472349.0,0.140576693,0.140704,0.0,100.0,38636.0
49,592310174.0,2090466299.0,2846309.0,11985550.0,0.144594114,0.132667,0.01206,100.0,38580.0
50,622909710.0,2089861114.0,2870397.0,12806561.0,0.152533273,0.136557,0.016065,100.0,38700.0
51,568821320.0,2089361199.0,2726038.0,11531712.0,0.138539906,0.130531,0.008158,99.0,38584.0
52,574192689.0,2089430365.0,2753567.0,11439543.0,0.14842422,0.13685,0.01173,99.0,38644.0
53,577141556.0,2089378372.0,2766140.0,11537227.0,0.140948811,0.137123,0.004033,99.0,38700.0
54,570248416.0,2089659471.0,2747238.0,11404831.0,0.139377169,0.135544,0.003986,99.0,38680.0
55,573934806.0,2089458597.0,2723430.0,11489750.0,0.140344264,0.128461,0.012043,100.0,38584.0
56,653719604.0,2089771499.0,3039217.0,13425032.0,0.15896805,0.147132,0.011929,100.0,38672.0
57,606924315.0,2089605543.0,2675381.0,12012865.0,0.147997631,0.140166,0.008009,100.0,38640.0
58,581984200.0,2089676957.0,2709122.0,11698272.0,0.150676681,0.138636,0.012232,100.0,38700.0
59,584043695.0,2089719641.0,2900633.0,11940231.0,0.142610341,0.13487,0.007933,100.0,38680.0
60,570225329.0,2089707033.0,2620901.0,11409632.0,0.139392397,0.123966,0.015495,99.0,38648.0
61,572941553.0,2089407014.0,2776390.0,11482931.0,0.14938329,0.141506,0.008086,99.0,38668.0
62,570845517.0,2089380079.0,2745136.0,11658575.0,0.140918293,0.13303,0.008062,100.0,38680.0
63,568850043.0,2089570487.0,2728226.0,11456671.0,0.138409728,0.130645,0.007917,100.0,38604.0
64,570878822.0,2089424891.0,2760656.0,11477474.0,0.153336806,0.134366,0.019195,100.0,38580.0
65,569627752.0,2089466838.0,2611288.0,11285681.0,0.156923654,0.140928,0.016106,99.0,38588.0
66,576852347.0,2089726094.0,2611376.0,11579833.0,0.140928563,0.125324,0.015665,100.0,38676.0
67,570014347.0,2089540841.0,2834959.0,11668388.0,0.149650995,0.145822,0.00405,100.0,38656.0
68,637305178.0,2089592126.0,3139111.0,12955846.0,0.155696752,0.13989,0.015987,100.0,38604.0
69,574349411.0,2089310185.0,2630609.0,11340362.0,0.140049818,0.128209,0.012019,99.0,38664.0
70,617471366.0,2089856355.0,2760932.0,12422926.0,0.151592658,0.139755,0.011979,100.0,38668.0
71,571449163.0,2089867785.0,2780283.0,11488416.0,0.139716744,0.12791,0.011991,99.0,38640.0
72,574388929.0,2089609525.0,2556767.0,11367219.0,0.140460698,0.128938,0.011721,100.0,38700.0
73,631777916.0,2091309649.0,2933586.0,13485285.0,0.155466487,0.143308,0.011619,99.0,38644.0
74,574751784.0,2089527227.0,2772020.0,11401031.0,0.140042907,0.132206,0.008012,100.0,38672.0
75,607437867.0,2091213173.0,2985105.0,12266210.0,0.149738719,0.141309,0.00785,99.0,38628.0
76,591067371.0,2091126973.0,2873811.0,12014592.0,0.145546764,0.124894,0.020144,99.0,38588.0
77,621939211.0,2089665757.0,2942877.0,12839366.0,0.151429441,0.135669,0.015961,99.0,38680.0
78,599848623.0,2089374338.0,2908988.0,16219306.0,0.146785334,0.135042,0.011915,100.0,38604.0
79,588486070.0,2089762579.0,2772548.0,12065292.0,0.144163836,0.140265,0.004007,100.0,38664.0
80,577423352.0,2089745872.0,2733902.0,11664074.0,0.141876109,0.126258,0.015782,100.0,38592.0
81,588303455.0,2089526998.0,2758301.0,11753004.0,0.143728583,0.131917,0.011992,99.0,38656.0
82,598912077.0,2089515922.0,2703442.0,12070055.0,0.146983126,0.130831,0.016353,99.0,38680.0
83,574862417.0,2089687019.0,2855525.0,11566918.0,0.140757598,0.124767,0.016099,99.0,38676.0
84,625416415.0,2089421662.0,2823523.0,12548728.0,0.153571763,0.141573,0.012134,99.0,38656.0
85,596779331.0,2089848824.0,2685918.0,11666559.0,0.146148593,0.130346,0.015799,99.0,38588.0
86,575226424.0,2089655224.0,2645170.0,11460068.0,0.140720096,0.121266,0.019559,100.0,38584.0
87,613723793.0,2089533772.0,2779219.0,12198151.0,0.149836084,0.134198,0.015788,100.0,38592.0
88,580437699.0,2091232825.0,2809000.0,11636644.0,0.142823442,0.126498,0.015812,99.0,38644.0
89,611285894.0,2089336968.0,2974154.0,12689398.0,0.149788313,0.134148,0.015782,100.0,38656.0
90,588117845.0,2089571893.0,2855208.0,11930919.0,0.143874765,0.124038,0.020006,99.0,38664.0
91,592088934.0,2089792688.0,2712279.0,11965480.0,0.146108787,0.126396,0.019749,99.0,38584.0
92,577411102.0,2089613879.0,2721866.0,11912013.0,0.140679102,0.124632,0.016081,99.0,38652.0
93,711323832.0,2100605534.0,3081128.0,14598115.0,0.173341585,0.165439,0.00807,100.0,38644.0
94,597763704.0,2089664712.0,2821736.0,11859413.0,0.146699926,0.126422,0.02039,100.0,38580.0
95,586539387.0,2089584059.0,2688847.0,11776147.0,0.14394014,0.13208,0.012007,100.0,38664.0
96,576569267.0,2089922875.0,2727209.0,11912020.0,0.141058061,0.129049,0.012098,100.0,38652.0
97,585892931.0,2089491360.0,2723079.0,11899567.0,0.142975002,0.13119,0.011926,100.0,38640.0
98,612457930.0,2089778537.0,2852065.0,12424713.0,0.149436946,0.133401,0.016169,100.0,38644.0
99,570927047.0,2089600341.0,2722021.0,11421892.0,0.140054442,0.128205,0.012019,99.0,38656.0
100,587289273.0,2091247261.0,2713774.0,11691732.0,0.144166429,0.127708,0.015963,100.0,38680.0
