Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,571246360.0,2090539775.0,2698645.0,11463696.0,0.134423099,0.126432,0.008156,99.0,38468.0
2,570109381.0,2089855317.0,2676188.0,11344031.0,0.134374628,0.130587,0.00408,100.0,38440.0
3,561055546.0,2089894301.0,2658692.0,11309919.0,0.131588628,0.127796,0.003993,99.0,38464.0
4,559029431.0,2089940097.0,2642794.0,11293554.0,0.14723989,0.128074,0.019405,100.0,38388.0
5,561504259.0,2089906791.0,2620066.0,11383945.0,0.131988615,0.120168,0.012016,99.0,38476.0
6,557957204.0,2090130466.0,2709732.0,11382720.0,0.163418948,0.151735,0.011979,100.0,36748.0
7,560105958.0,2089986791.0,2538665.0,11549005.0,0.16173715,0.142197,0.019749,100.0,38472.0
8,561274809.0,2089912556.0,2723876.0,11318562.0,0.132528424,0.124625,0.00804,99.0,38480.0
9,559604923.0,2089913607.0,2713461.0,11401700.0,0.166326963,0.146352,0.020326,99.0,38384.0
10,566867478.0,2089905698.0,2587042.0,11267098.0,0.164334368,0.15658,0.008029,100.0,38504.0
11,561492577.0,2089823832.0,2791739.0,11490081.0,0.132084368,0.120113,0.012011,99.0,38380.0
12,574933628.0,2089902601.0,2821366.0,11336719.0,0.135935321,0.120178,0.016023,100.0,38440.0
13,563614690.0,2089903581.0,2760860.0,11530685.0,0.132567117,0.116667,0.016092,100.0,38376.0
14,565288907.0,2089785917.0,2619125.0,11598972.0,0.13258758,0.121107,0.01172,100.0,38404.0
15,565453868.0,2089872952.0,2542934.0,11342055.0,0.133201841,0.121644,0.011772,99.0,38468.0
16,560626108.0,2089900345.0,2544082.0,11193902.0,0.132608393,0.116789,0.016108,100.0,38444.0
17,560678666.0,2089979630.0,2755393.0,11427474.0,0.165651032,0.157794,0.008092,99.0,38464.0
18,571262214.0,2090001834.0,2738890.0,11409792.0,0.145480639,0.129427,0.016178,99.0,38376.0
19,557544632.0,2089913721.0,2519887.0,11227075.0,0.163342542,0.151696,0.011976,100.0,38344.0
20,558282140.0,2089937064.0,2526175.0,11200469.0,0.165454287,0.134302,0.0316,100.0,38376.0
21,565190848.0,2089888634.0,2594371.0,11283570.0,0.166821306,0.151329,0.015929,100.0,38380.0
22,560604867.0,2090123009.0,2534815.0,11209960.0,0.132600222,0.120687,0.012068,99.0,38468.0
23,564387091.0,2090036785.0,2751183.0,11392120.0,0.13409603,0.126136,0.008137,100.0,38448.0
24,562418444.0,2089940444.0,2601502.0,11227192.0,0.133230827,0.117686,0.015691,100.0,38504.0
25,562611199.0,2089887303.0,2476838.0,11195134.0,0.132460399,0.124561,0.008036,99.0,38448.0
26,569325935.0,2091509024.0,2560175.0,11246845.0,0.134710362,0.126409,0.0079,99.0,38496.0
27,561888842.0,2089951045.0,2580758.0,11184439.0,0.154898425,0.139203,0.015908,99.0,38496.0
28,561163415.0,2089868420.0,2726610.0,11891969.0,0.132706592,0.124911,0.008058,99.0,38464.0
29,560802848.0,2089928771.0,2726829.0,11348497.0,0.132311217,0.120537,0.012053,100.0,38472.0
30,560308174.0,2089871993.0,2733749.0,11347665.0,0.163554025,0.151764,0.011981,99.0,38380.0
31,561772532.0,2089899965.0,2545863.0,11196875.0,0.132961656,0.121355,0.012135,100.0,38460.0
32,560440442.0,2089917163.0,2612253.0,11210173.0,0.132251013,0.124462,0.008029,99.0,38476.0
33,561182924.0,2089942698.0,2795173.0,11514002.0,0.162787647,0.151108,0.011929,100.0,38440.0
34,559921942.0,2089948356.0,2672390.0,11389164.0,0.164139791,0.148421,0.016045,100.0,38452.0
35,565614230.0,2089951215.0,2558125.0,11274885.0,0.132899776,0.125073,0.008069,99.0,38476.0
36,566974868.0,2091360975.0,2542769.0,11215818.0,0.134341108,0.118241,0.015765,99.0,38388.0
37,565177820.0,2089915440.0,2466559.0,11107295.0,0.13361014,0.125626,0.008104,100.0,38388.0
38,560256367.0,2089876282.0,2519684.0,11143390.0,0.131814919,0.115982,0.015997,98.0,38376.0
39,560658008.0,2089900021.0,2567722.0,11236943.0,0.132351796,0.120901,0.0117,100.0,38476.0
40,559144890.0,2089935965.0,2731139.0,11386490.0,0.166499406,0.143114,0.023852,100.0,38444.0
41,561010529.0,2089937568.0,2698284.0,11392574.0,0.164907985,0.153045,0.012082,100.0,38452.0
42,561860686.0,2090186467.0,2750132.0,11337105.0,0.132250525,0.132779,0.0,100.0,36772.0
43,565742447.0,2089943665.0,2690155.0,11381850.0,0.165323545,0.149786,0.015767,100.0,38452.0
44,560502330.0,2089869958.0,2673118.0,11330758.0,0.132600363,0.120721,0.012072,100.0,38436.0
45,560657753.0,2089908208.0,2691039.0,11294122.0,0.132415073,0.128668,0.00402,100.0,38440.0
46,564140580.0,2089883224.0,2758388.0,11392787.0,0.163011074,0.155398,0.007969,100.0,38404.0
47,566172563.0,2090118573.0,2605523.0,11263239.0,0.133722237,0.118122,0.015749,100.0,36736.0
