Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,631111150.0,2414620937.0,2532053.0,11227797.0,0.148610766,0.128957,0.020149,100.0,38468.0
2,635500799.0,2414468841.0,2740070.0,11478621.0,0.15040564,0.138515,0.012221,100.0,38480.0
3,646295432.0,2416219694.0,2738478.0,12601917.0,0.152690735,0.144306,0.008017,98.0,38484.0
4,624997119.0,2414455707.0,2867561.0,12191131.0,0.181145408,0.157307,0.024201,99.0,38464.0
5,631318020.0,2414490614.0,2634745.0,11321725.0,0.179176418,0.163649,0.015965,100.0,38380.0
6,627179313.0,2414485255.0,2583587.0,11263651.0,0.148450409,0.144779,0.004021,100.0,38472.0
7,648233317.0,2414463785.0,2673789.0,11408049.0,0.152990708,0.145161,0.008064,100.0,38380.0
8,628575113.0,2414433548.0,2707247.0,11593960.0,0.147898586,0.1441,0.004002,100.0,38380.0
9,628413085.0,2414505979.0,2725153.0,11573340.0,0.17987435,0.176162,0.004003,100.0,38392.0
10,630341525.0,2414469933.0,2537940.0,11358907.0,0.180080734,0.156425,0.024065,99.0,38380.0
11,637795815.0,2416204189.0,2737750.0,11570855.0,0.150072144,0.137623,0.012143,99.0,38504.0
12,627191047.0,2414683018.0,2669813.0,11326554.0,0.182318547,0.158761,0.023814,99.0,38476.0
13,629692120.0,2414479684.0,2801683.0,11470628.0,0.148082201,0.136257,0.012022,99.0,38468.0
14,629694940.0,2414498119.0,2460021.0,11183407.0,0.179727333,0.171884,0.008184,100.0,38444.0
15,636367789.0,2416191945.0,2528899.0,11489656.0,0.151326649,0.146924,0.00397,99.0,38456.0
16,627824239.0,2414487783.0,2905055.0,11860637.0,0.180380008,0.164991,0.016096,100.0,38452.0
17,637601168.0,2416109365.0,2521625.0,11255219.0,0.150494271,0.146026,0.004056,99.0,38480.0
18,626360995.0,2414537939.0,2457089.0,11158245.0,0.178590792,0.15513,0.023866,99.0,38464.0
19,627298006.0,2414731369.0,2908446.0,11615209.0,0.179703936,0.167892,0.011992,99.0,38456.0
20,628021904.0,2414454741.0,2731481.0,11397998.0,0.163961584,0.14808,0.016008,100.0,38392.0
21,636104381.0,2414470757.0,2621332.0,11329493.0,0.151136329,0.147301,0.004091,99.0,38464.0
22,639549432.0,2416189328.0,2910774.0,11703137.0,0.150667549,0.142089,0.008119,99.0,38480.0
23,632669383.0,2414580727.0,2767404.0,11557811.0,0.150262604,0.13457,0.015831,99.0,38440.0
24,640393500.0,2414573801.0,2724085.0,11492899.0,0.152109161,0.140369,0.012031,100.0,38464.0
25,628291164.0,2414444287.0,2728532.0,11432110.0,0.148577243,0.125356,0.023504,99.0,38364.0
26,629934114.0,2414451821.0,2572102.0,11393770.0,0.147493223,0.135685,0.011972,100.0,38404.0
27,636404594.0,2414431302.0,2628428.0,11387874.0,0.149744096,0.137823,0.01216,99.0,38460.0
28,630817130.0,2414429365.0,2827735.0,11494501.0,0.147961585,0.140181,0.00801,100.0,38484.0
29,625573762.0,2414457875.0,2708428.0,11599869.0,0.171005934,0.147369,0.023897,100.0,38388.0
30,633207525.0,2414536216.0,2831197.0,11519979.0,0.179131789,0.167512,0.011965,99.0,38484.0
31,625110887.0,2414509828.0,2716658.0,11345877.0,0.179235156,0.167516,0.011965,99.0,38472.0
32,635412593.0,2414520962.0,2723278.0,11402615.0,0.18351627,0.164381,0.019569,100.0,38452.0
33,639237907.0,2414419791.0,2743724.0,11506569.0,0.150878403,0.139228,0.011933,100.0,38388.0
34,627992027.0,2414496498.0,2892778.0,11656359.0,0.178817151,0.167146,0.011939,99.0,38380.0
35,632528115.0,2414515274.0,2716703.0,11373706.0,0.170209245,0.146702,0.023789,99.0,38472.0
36,627934913.0,2414770798.0,2717230.0,11366695.0,0.148220141,0.136424,0.012037,99.0,36740.0
37,631776368.0,2414699919.0,2680683.0,11475680.0,0.148869672,0.136976,0.012086,100.0,38732.0
38,625676128.0,2414474432.0,2795238.0,11497119.0,0.179711131,0.164103,0.01601,100.0,38480.0
39,627033720.0,2414455668.0,2424209.0,15062755.0,0.147282789,0.131504,0.015939,100.0,38480.0
40,626326652.0,2414701983.0,2618660.0,11199220.0,0.177164477,0.145078,0.032239,100.0,36668.0
41,625709135.0,2414506846.0,2782047.0,11551891.0,0.180775875,0.16091,0.020113,99.0,38472.0
42,634809925.0,2416136343.0,2890590.0,11579188.0,0.15023823,0.141662,0.008094,98.0,38444.0
43,626454065.0,2414416477.0,2863926.0,11452601.0,0.178476741,0.166556,0.012187,99.0,38448.0
44,631193791.0,2414463284.0,2851908.0,11471213.0,0.149236484,0.129245,0.020194,99.0,38444.0
45,630533516.0,2414581114.0,2933662.0,11548237.0,0.181137657,0.16544,0.01614,100.0,38464.0
46,624255243.0,2414414718.0,2773097.0,11473973.0,0.180995738,0.165254,0.016122,100.0,38380.0
47,630382687.0,2414793151.0,2619726.0,11330093.0,0.148175652,0.144357,0.004009,100.0,36740.0
48,625819278.0,2414730325.0,2504628.0,11265362.0,0.177191646,0.157211,0.020155,100.0,38480.0
49,633462691.0,2414415326.0,2680187.0,12010759.0,0.150325952,0.142439,0.008139,99.0,38464.0
50,635653700.0,2416152442.0,2711437.0,11505733.0,0.150153163,0.137594,0.01214,99.0,38440.0
51,628629846.0,2414726995.0,2556412.0,11410026.0,0.18324745,0.171487,0.011964,100.0,38396.0
52,625501101.0,2414503336.0,2675829.0,11349725.0,0.180992316,0.157123,0.024172,100.0,38460.0
53,632294604.0,2414448412.0,2647411.0,11387403.0,0.149044768,0.126407,0.022983,99.0,38376.0
