Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,381081653.0,1420513963.0,2384794.0,8745584.0,0.090562446,0.078963,0.011844,99.0,22940.0
2,369478403.0,1420358772.0,2387452.0,8695480.0,0.120767295,0.117356,0.004046,100.0,22692.0
3,375108948.0,1420395396.0,2495479.0,8855348.0,0.120658272,0.104819,0.016126,100.0,22768.0
4,370772416.0,1420355559.0,2549546.0,8836719.0,0.120107851,0.104918,0.015543,100.0,22688.0
5,377656249.0,1420354357.0,2252724.0,8599652.0,0.089266955,0.08171,0.007781,99.0,22708.0
6,377735990.0,1420370171.0,2316380.0,8752088.0,0.089575375,0.07031,0.01953,100.0,22704.0
7,392383948.0,1420394026.0,2530446.0,8899363.0,0.125247627,0.125498,0.0,100.0,22684.0
8,392026172.0,1420315125.0,2524202.0,8887240.0,0.092555025,0.080754,0.012113,100.0,22692.0
9,399739508.0,1420358906.0,2531921.0,8959001.0,0.094115983,0.086582,0.007871,100.0,22764.0
10,374786782.0,1420323526.0,2512062.0,8902802.0,0.120282737,0.112462,0.008033,99.0,22788.0
11,373272102.0,1420451658.0,2521954.0,8868920.0,0.119123647,0.103454,0.015916,100.0,22740.0
12,370471314.0,1420362540.0,2504603.0,8849667.0,0.086931108,0.079184,0.007918,100.0,22768.0
13,369337561.0,1420383767.0,2522289.0,8848611.0,0.118249091,0.110612,0.0079,99.0,22708.0
14,372033616.0,1420286274.0,2425332.0,8765065.0,0.087847568,0.084016,0.004,100.0,22644.0
15,369341241.0,1420346492.0,2429906.0,8776004.0,0.120603099,0.104948,0.016145,100.0,22708.0
16,369904984.0,1420365721.0,2509143.0,8871052.0,0.118282896,0.110355,0.008174,99.0,22680.0
17,382069704.0,1420322216.0,2394684.0,8748100.0,0.089573562,0.081696,0.008169,100.0,22704.0
18,376287958.0,1420360268.0,2404182.0,8803136.0,0.095145379,0.083454,0.011922,99.0,22692.0
19,371080639.0,1420323444.0,2510091.0,8881999.0,0.087779055,0.080398,0.007657,99.0,22600.0
20,369473523.0,1420263214.0,2383739.0,8673845.0,0.087133998,0.083356,0.003969,98.0,22680.0
21,380958720.0,1420340227.0,2345438.0,8713749.0,0.122290822,0.114688,0.007909,99.0,22640.0
22,369737710.0,1420378816.0,2408510.0,8813136.0,0.086916721,0.083162,0.00396,98.0,22688.0
23,375242853.0,1420334799.0,2529184.0,8902353.0,0.088512321,0.08464,0.00403,100.0,22620.0
24,368258097.0,1420398961.0,2512130.0,8915281.0,0.119777296,0.11605,0.004001,99.0,22744.0
25,375378658.0,1420338684.0,2490650.0,8854251.0,0.090199693,0.086431,0.004115,100.0,22612.0
26,370600998.0,1420439055.0,2539999.0,8979271.0,0.086945288,0.083189,0.003961,98.0,22696.0
27,367818966.0,1420328109.0,2406129.0,8761244.0,0.120142708,0.108541,0.01206,100.0,22700.0
28,376733513.0,1420363908.0,2337700.0,8671852.0,0.122045471,0.098793,0.02371,99.0,22672.0
29,382172373.0,1420339251.0,2311417.0,8657261.0,0.090319193,0.082367,0.008236,99.0,22688.0
30,366958041.0,1420340103.0,2394146.0,8719091.0,0.114544772,0.106819,0.007912,99.0,22704.0
31,371704683.0,1420395242.0,2545200.0,8798918.0,0.087472173,0.083681,0.003984,98.0,22780.0
32,371009212.0,1420382583.0,2534543.0,9069714.0,0.120210524,0.108419,0.012046,100.0,22680.0
33,375437918.0,1420406329.0,2488067.0,8840196.0,0.088502336,0.080633,0.008063,98.0,22708.0
34,374535053.0,1421347333.0,2537075.0,8957684.0,0.08919293,0.084927,0.004044,100.0,22596.0
