Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,385843069.0,1420965267.0,2545874.0,8963703.0,0.090871282,0.083149,0.007919,99.0,22452.0
2,367043049.0,1420720976.0,2368569.0,8664720.0,0.086992333,0.075434,0.01191,99.0,22476.0
3,383077996.0,1420789357.0,2392755.0,8840137.0,0.090057135,0.082492,0.007856,100.0,22552.0
4,376176321.0,1420750483.0,2397365.0,12824885.0,0.088451541,0.084762,0.004036,100.0,22444.0
5,364824456.0,1420733485.0,2328127.0,8665911.0,0.119864607,0.104294,0.016045,100.0,22480.0
6,367023302.0,1420739641.0,2487885.0,8868768.0,0.114157756,0.110335,0.004086,100.0,22444.0
7,376979035.0,1420699640.0,2419718.0,8777470.0,0.088794324,0.077805,0.011115,98.0,22436.0
8,367097471.0,1420739375.0,2418434.0,8783683.0,0.087467957,0.083561,0.003979,100.0,22424.0
9,387236113.0,1420729329.0,2381219.0,8659465.0,0.096579739,0.085123,0.011607,100.0,22460.0
10,369512249.0,1420751464.0,2496942.0,8962466.0,0.087518314,0.083691,0.003985,98.0,22468.0
11,371411041.0,1420816232.0,2565640.0,8879394.0,0.120827867,0.10175,0.019567,99.0,22500.0
12,375759411.0,1420845648.0,2545814.0,12912971.0,0.122209828,0.102863,0.019781,99.0,22492.0
13,367959336.0,1420660598.0,2497274.0,8831380.0,0.086393161,0.082635,0.003935,100.0,22464.0
14,367814522.0,1420804297.0,2277594.0,8557569.0,0.087504066,0.083808,0.00399,99.0,22504.0
15,372977557.0,1420682065.0,2434074.0,8865649.0,0.087940299,0.080174,0.008017,100.0,22480.0
16,375667313.0,1420733519.0,2356754.0,8795342.0,0.088675175,0.08486,0.00404,100.0,22512.0
17,367494949.0,1420698864.0,2528037.0,8873918.0,0.087035148,0.079243,0.007924,100.0,22472.0
18,370770875.0,1420783008.0,2406584.0,8801884.0,0.120936681,0.109002,0.012111,99.0,22496.0
19,368051236.0,1420813153.0,2295888.0,8670285.0,0.110889087,0.090492,0.020566,99.0,22460.0
20,365746304.0,1420722925.0,2456615.0,8829959.0,0.117238484,0.097105,0.02023,99.0,22492.0
21,366783887.0,1420755038.0,2261197.0,8596367.0,0.087425076,0.079416,0.007941,100.0,22388.0
22,370746121.0,1420885756.0,2358360.0,8828184.0,0.118723952,0.106977,0.011886,100.0,22548.0
23,366474160.0,1420794440.0,2498186.0,8842238.0,0.115655518,0.099944,0.015991,100.0,22508.0
24,386474510.0,1420841058.0,2513453.0,9057504.0,0.0909574,0.079215,0.011882,100.0,22576.0
25,368746755.0,1420778301.0,2345862.0,8697135.0,0.114747433,0.099224,0.015875,99.0,22492.0
