Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,443461919.0,1747927334.0,2448137.0,8934395.0,0.13605609,0.120299,0.016039,100.0,22680.0
2,434452872.0,1747397544.0,2454915.0,8766270.0,0.102720112,0.102907,0.0,98.0,20712.0
3,440440623.0,1747257871.0,2473749.0,9058427.0,0.104246511,0.096395,0.008032,99.0,22528.0
4,434977572.0,1747253795.0,2383072.0,8788975.0,0.102975664,0.099143,0.00413,99.0,22504.0
5,433385473.0,1747231195.0,2536999.0,8926752.0,0.135969625,0.128283,0.008017,99.0,22528.0
6,433817997.0,1747248778.0,2508763.0,8927071.0,0.111696148,0.096013,0.016002,100.0,22480.0
7,439388694.0,1747327660.0,2495139.0,9393834.0,0.104682186,0.096901,0.008075,99.0,22524.0
8,435387892.0,1747335173.0,2476614.0,8988038.0,0.136966412,0.121638,0.015695,100.0,22524.0
9,438035100.0,1747322294.0,2522233.0,8893463.0,0.128016358,0.124235,0.004007,100.0,22500.0
10,434921542.0,1747278150.0,2555961.0,8919568.0,0.129740479,0.130166,0.0,100.0,22492.0
11,443881594.0,1748439063.0,2571990.0,9244898.0,0.10523813,0.105029,0.0,99.0,22492.0
12,441815465.0,1747265723.0,2445759.0,8928502.0,0.103573583,0.095782,0.007981,99.0,22572.0
13,437686770.0,1747259291.0,2446143.0,8984420.0,0.136330151,0.11334,0.023449,99.0,22492.0
14,435080564.0,1747275870.0,2480426.0,8822294.0,0.102817472,0.098976,0.004124,100.0,22428.0
15,432911947.0,1747286026.0,2393327.0,8735742.0,0.136136339,0.124536,0.012051,100.0,22492.0
16,434420756.0,1747288068.0,2365461.0,8767093.0,0.102675413,0.091005,0.01187,100.0,22564.0
17,436578168.0,1747247998.0,2497980.0,8909457.0,0.103419162,0.099635,0.003985,99.0,22460.0
18,441900918.0,1747244569.0,2582206.0,8953712.0,0.132639695,0.117396,0.015652,100.0,22496.0
19,440885807.0,1747249989.0,2523416.0,8899758.0,0.138032972,0.126614,0.01187,100.0,22472.0
20,443391725.0,1747349675.0,2532052.0,8953267.0,0.136646117,0.124832,0.01208,99.0,22592.0
21,455046342.0,1747316353.0,2548946.0,8956979.0,0.123633139,0.111895,0.011988,99.0,22508.0
22,436908705.0,1747279474.0,2608572.0,9012444.0,0.103533704,0.091723,0.011963,99.0,22424.0
23,437342905.0,1747276265.0,2582718.0,8968417.0,0.103563945,0.099782,0.003991,99.0,22524.0
24,438136179.0,1747212973.0,2513096.0,9170320.0,0.134297398,0.126339,0.00815,100.0,22452.0
25,435969931.0,1747414383.0,2585954.0,8959638.0,0.133158274,0.133425,0.0,99.0,22460.0
26,449201067.0,1747340879.0,2573180.0,8966406.0,0.106028812,0.102291,0.003934,99.0,22500.0
27,444661365.0,1747283279.0,2512327.0,8905984.0,0.13660079,0.124726,0.01207,100.0,22436.0
28,434049052.0,1747291018.0,2412702.0,8814467.0,0.136523475,0.112731,0.024156,100.0,22496.0
29,437818409.0,1747246885.0,2411350.0,8770489.0,0.132497009,0.116661,0.016091,99.0,22460.0
30,433580656.0,1747286155.0,2396069.0,8747358.0,0.102564295,0.099025,0.004126,99.0,22512.0
31,443203135.0,1747336413.0,2568030.0,8997250.0,0.136144931,0.128381,0.008023,100.0,22548.0
32,435325230.0,1747306939.0,2539225.0,8894185.0,0.133103867,0.13352,0.0,100.0,22572.0
33,437564157.0,1747203937.0,2586234.0,9032136.0,0.136694239,0.11794,0.019022,99.0,22496.0
34,433735620.0,1747266292.0,2459440.0,8774088.0,0.135727136,0.119966,0.015995,100.0,22444.0
35,436254961.0,1747246905.0,2518687.0,8945926.0,0.103197903,0.09146,0.011929,100.0,22460.0
36,435102199.0,1747216634.0,2539547.0,8974946.0,0.103382705,0.095679,0.007973,99.0,22440.0
37,434578206.0,1747308374.0,2469247.0,8847304.0,0.136221339,0.128458,0.008028,99.0,22384.0
38,435028454.0,1747247951.0,2570874.0,8980641.0,0.102779758,0.099019,0.00396,99.0,22532.0
39,440967997.0,1747371345.0,2553337.0,8901857.0,0.104549906,0.096693,0.008057,100.0,22460.0
40,434541577.0,1747230033.0,2451329.0,8812360.0,0.10197455,0.098029,0.004084,99.0,22500.0
41,436349918.0,1747212336.0,2428234.0,8788630.0,0.102958974,0.103106,0.0,99.0,22452.0
42,452919447.0,1747239508.0,2535477.0,8938736.0,0.133412919,0.121882,0.011795,100.0,22468.0
43,442637472.0,1747461721.0,2668505.0,12946157.0,0.104756989,0.10101,0.00404,99.0,20836.0
44,436228093.0,1747380894.0,2419528.0,8826138.0,0.102426986,0.094809,0.0079,100.0,22500.0
45,438797715.0,1748474494.0,2641233.0,8997873.0,0.103904287,0.10001,0.004167,99.0,20772.0
46,469128322.0,1747312338.0,2377432.0,8768846.0,0.122828909,0.119086,0.003969,99.0,22448.0
47,435450292.0,1747174307.0,2515470.0,9014990.0,0.102783042,0.098924,0.004121,99.0,22452.0
48,506331709.0,1747277468.0,2457238.0,14972801.0,0.118542141,0.102988,0.015844,99.0,22416.0
49,435317423.0,1747235701.0,2535765.0,8958177.0,0.128736782,0.113394,0.01564,100.0,22432.0
50,451757355.0,1747366852.0,2607307.0,8981540.0,0.107121912,0.099344,0.007947,99.0,22420.0
51,434398388.0,1747246698.0,2340890.0,8729809.0,0.102700279,0.098938,0.003957,100.0,22384.0
52,435475956.0,1747289140.0,2489146.0,8849677.0,0.102879355,0.095134,0.007927,99.0,22560.0
53,437358781.0,1747313378.0,2453831.0,8914367.0,0.135038005,0.127352,0.007959,99.0,22472.0
54,440282449.0,1748429901.0,2598162.0,9088583.0,0.104160887,0.095607,0.008313,99.0,22492.0
55,437913504.0,1747285530.0,2553757.0,9066020.0,0.10324861,0.099267,0.004136,99.0,22464.0
56,442050577.0,1748403960.0,2514476.0,9016251.0,0.104062619,0.099825,0.003993,99.0,22468.0
57,434915379.0,1747292530.0,2531008.0,8914650.0,0.10292133,0.095175,0.007931,99.0,22492.0
58,448913647.0,1747425839.0,2593684.0,8896999.0,0.106164308,0.094718,0.011839,100.0,20728.0
59,449900452.0,1747255442.0,2611099.0,9036374.0,0.106707889,0.095454,0.011454,99.0,22484.0
60,434300816.0,1747319584.0,2506436.0,8855059.0,0.132562732,0.124731,0.008047,99.0,22516.0
61,435369755.0,1747287710.0,2559393.0,8932305.0,0.103104875,0.091468,0.01193,100.0,22564.0
62,436175469.0,1747264629.0,2509631.0,8883101.0,0.102753709,0.098999,0.003959,99.0,22568.0
63,434569643.0,1747249171.0,2551423.0,8929853.0,0.103225772,0.09547,0.007955,100.0,22492.0
64,443673521.0,1747257436.0,2560491.0,8983235.0,0.133295097,0.113975,0.019651,99.0,22524.0
65,434329261.0,1747270300.0,2556742.0,8999395.0,0.134303686,0.118922,0.015856,100.0,22420.0
