Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,407590585.0,1621954314.0,1997498.0,5440348.0,0.097117948,0.092942,0.003872,98.0,12216.0
2,406387324.0,1620720578.0,1938143.0,5277558.0,0.126791911,0.126984,0.0,100.0,12216.0
3,401975128.0,1620601454.0,1859699.0,5212243.0,0.094292918,0.09447,0.0,99.0,12280.0
4,406147185.0,1620685971.0,1898715.0,5237870.0,0.128594667,0.129333,0.0,100.0,12188.0
5,406284212.0,1620703727.0,1949373.0,5330435.0,0.126962465,0.127175,0.0,100.0,12156.0
6,407479934.0,1620641425.0,2006051.0,5315935.0,0.118635088,0.11897,0.0,99.0,12236.0
7,405770004.0,1620825032.0,1975578.0,5356835.0,0.126648108,0.126797,0.0,99.0,12192.0
8,401967860.0,1620615026.0,1904412.0,5221756.0,0.094449364,0.094638,0.0,99.0,12280.0
9,404498047.0,1620687757.0,1956847.0,5307451.0,0.129187486,0.129405,0.0,100.0,12296.0
10,402631392.0,1620677350.0,1909898.0,5266371.0,0.100990747,0.101132,0.0,100.0,12164.0
11,401965293.0,1620642728.0,1888994.0,5270231.0,0.09427497,0.094458,0.0,100.0,12184.0
12,407080007.0,1621748061.0,1990712.0,5397515.0,0.096382445,0.092205,0.004008,99.0,12228.0
13,401996444.0,1620792355.0,1959111.0,5269469.0,0.094874212,0.094661,0.0,100.0,12252.0
14,404784329.0,1620656535.0,1983164.0,5310601.0,0.127432012,0.127733,0.0,100.0,12280.0
15,402428936.0,1620678962.0,1936584.0,5324913.0,0.095492802,0.091783,0.00399,99.0,12268.0
16,407941002.0,1621777984.0,1959715.0,5376633.0,0.097288225,0.097081,0.0,100.0,12180.0
17,403129016.0,1620881111.0,1901241.0,5174530.0,0.112993829,0.113198,0.0,100.0,12268.0
18,403955142.0,1620684883.0,1896869.0,5491446.0,0.095488332,0.095683,0.0,100.0,12228.0
19,407078708.0,1621773791.0,1879874.0,5238162.0,0.096380141,0.092219,0.004009,99.0,12300.0
20,402350125.0,1620678830.0,1963770.0,5326632.0,0.09442932,0.09456,0.0,100.0,12268.0
21,402658783.0,1620628076.0,1918626.0,5221268.0,0.095753033,0.096076,0.0,99.0,12252.0
22,407011461.0,1621784059.0,1514567.0,4826597.0,0.096095257,0.091878,0.003994,100.0,12228.0
23,408687400.0,1621887993.0,1975346.0,5351141.0,0.097260148,0.092996,0.004043,99.0,12192.0
24,406646476.0,1621740022.0,1968093.0,5316193.0,0.096681929,0.088775,0.007719,99.0,12224.0
25,407039048.0,1621877892.0,1958344.0,5281194.0,0.096865543,0.096728,0.0,99.0,12296.0
26,406941166.0,1621663555.0,1974435.0,5337085.0,0.096153018,0.095907,0.0,98.0,12256.0
27,408941477.0,1621855995.0,1947067.0,5480389.0,0.097875316,0.089889,0.007816,99.0,12244.0
28,402325806.0,1620632592.0,1893263.0,5213480.0,0.094460332,0.09075,0.003945,99.0,12280.0
29,404927237.0,1620720647.0,1907714.0,5186916.0,0.125186881,0.125468,0.0,100.0,12212.0
30,404904732.0,1620720628.0,1957561.0,5330541.0,0.128436549,0.121049,0.007809,99.0,12212.0
31,410782952.0,1620642571.0,2072164.0,7274393.0,0.096120122,0.096317,0.0,100.0,12228.0
32,401824740.0,1620622145.0,2013778.0,5388165.0,0.094179638,0.094357,0.0,100.0,12184.0
33,406424771.0,1620708651.0,1922732.0,5221206.0,0.124555792,0.116719,0.008049,99.0,12192.0
34,401531599.0,1620645423.0,1915995.0,5211636.0,0.094803954,0.095179,0.0,99.0,12188.0
35,404246623.0,1620679405.0,1911981.0,5334718.0,0.095028985,0.095207,0.0,76.0,12196.0
36,403769364.0,1620708064.0,1961805.0,5284946.0,0.126761955,0.119105,0.00794,100.0,12224.0
37,405013362.0,1620672201.0,543352.0,3848761.0,0.125321328,0.125579,0.0,100.0,12272.0
38,401792902.0,1620679217.0,1950713.0,5292396.0,0.094626137,0.090855,0.00395,99.0,12188.0
39,404647651.0,1620595436.0,1924050.0,5186815.0,0.111325172,0.111555,0.0,100.0,12232.0
40,402461026.0,1620657356.0,1935607.0,5304244.0,0.094814502,0.095014,0.0,100.0,12284.0
41,401947127.0,1620619655.0,1982132.0,5319684.0,0.094348727,0.094531,0.0,100.0,12272.0
42,402628361.0,1620679445.0,1955903.0,5271704.0,0.094489597,0.094688,0.0,100.0,12192.0
43,401569475.0,1620642861.0,1977799.0,5286620.0,0.094528639,0.094674,0.0,100.0,12228.0
44,406385135.0,1621961905.0,1910449.0,5219442.0,0.096432526,0.092172,0.004007,99.0,12228.0
45,402762255.0,1620652610.0,1526179.0,4809291.0,0.094787962,0.090992,0.003956,98.0,12164.0
46,402263195.0,1620666687.0,1949847.0,5288165.0,0.094590449,0.090813,0.003948,100.0,12112.0
47,409122041.0,1620868753.0,1938571.0,6876404.0,0.096384615,0.096495,0.0,99.0,12164.0
48,401709733.0,1620613927.0,1907991.0,5198748.0,0.094592195,0.090859,0.00395,99.0,12216.0
49,402950004.0,1620686147.0,462959.0,3730772.0,0.128344083,0.128613,0.0,99.0,12260.0
50,405885949.0,1620937839.0,1941673.0,5267215.0,0.128303995,0.128615,0.0,100.0,12288.0
51,402843900.0,1620609556.0,2007690.0,5420821.0,0.094941684,0.095157,0.0,100.0,12260.0
52,401775538.0,1620623021.0,1981151.0,5373848.0,0.094428976,0.094626,0.0,100.0,12272.0
53,402214355.0,1620751455.0,1923792.0,5199911.0,0.095774688,0.095967,0.0,99.0,12228.0
54,401573014.0,1620617644.0,1576829.0,4859819.0,0.094783074,0.09497,0.0,100.0,12260.0
55,402505339.0,1620711446.0,1902827.0,5176205.0,0.094844674,0.091079,0.003959,100.0,12256.0
56,404183745.0,1620658790.0,1940755.0,5270461.0,0.127501722,0.127837,0.0,100.0,12232.0
57,404885347.0,1620669932.0,1976375.0,5319977.0,0.129295121,0.130018,0.0,100.0,12224.0
58,404661507.0,1620871348.0,1854859.0,5175360.0,0.128819638,0.125228,0.003913,99.0,12284.0
59,406319320.0,1620730406.0,1968352.0,5330788.0,0.127319506,0.127558,0.0,100.0,12196.0
60,402152827.0,1620627467.0,1914831.0,5254185.0,0.095005032,0.095195,0.0,99.0,12264.0
61,404423105.0,1620689422.0,1960430.0,5329943.0,0.127535946,0.119905,0.007993,99.0,12276.0
62,406799559.0,1620730824.0,1975542.0,5337430.0,0.123166922,0.123647,0.0,100.0,12268.0
63,401642375.0,1620581681.0,1848146.0,5157685.0,0.094978981,0.095097,0.0,99.0,12268.0
64,401707092.0,1620658530.0,1985691.0,5321806.0,0.094393777,0.094578,0.0,100.0,12296.0
65,406229074.0,1621695413.0,1982666.0,5343949.0,0.096232573,0.095969,0.0,98.0,12224.0
66,401894246.0,1620633566.0,1855304.0,5157436.0,0.095142343,0.091356,0.003972,100.0,12264.0
67,401822768.0,1620626801.0,1927796.0,5294590.0,0.094801444,0.091103,0.003961,99.0,12304.0
68,402058180.0,1620625611.0,1904872.0,5280664.0,0.094976119,0.091221,0.003966,100.0,12156.0
69,404432531.0,1620657999.0,1977163.0,5335930.0,0.127502912,0.123872,0.003995,100.0,12280.0
70,405826144.0,1620903365.0,1953801.0,5277128.0,0.127576246,0.119848,0.007989,100.0,12252.0
71,404554683.0,1620701484.0,1945349.0,5282754.0,0.11662114,0.116851,0.0,100.0,12228.0
72,402870813.0,1620864649.0,1954046.0,5326323.0,0.095344046,0.091504,0.003978,99.0,12296.0
73,401701484.0,1620671620.0,1966179.0,5310438.0,0.094367239,0.090407,0.004109,99.0,12260.0
74,401200020.0,1620612840.0,1887872.0,5145613.0,0.094782938,0.094995,0.0,99.0,12248.0
75,404012431.0,1620647271.0,2015055.0,6219246.0,0.12714679,0.127475,0.0,100.0,12228.0
76,405068196.0,1620724331.0,1941078.0,5329320.0,0.127291084,0.123553,0.003985,99.0,12228.0
77,405987367.0,1620673824.0,1952490.0,5284839.0,0.128247148,0.120456,0.00803,99.0,12300.0
78,405152258.0,1620635261.0,2074075.0,5443742.0,0.127223826,0.123507,0.003984,100.0,12244.0
79,402119392.0,1620630908.0,1909107.0,5180282.0,0.095069847,0.095349,0.0,99.0,12272.0
80,402229524.0,1620635255.0,1934486.0,5267576.0,0.094380439,0.094562,0.0,99.0,12252.0
81,402563891.0,1620695534.0,1942103.0,5230820.0,0.103111224,0.103201,0.0,99.0,12272.0
82,402112480.0,1620621653.0,1897038.0,5229538.0,0.094884768,0.095078,0.0,100.0,12192.0
83,402084941.0,1620657324.0,1985320.0,5362488.0,0.094735027,0.094932,0.0,99.0,12280.0
84,403276589.0,1620720426.0,2023740.0,6267965.0,0.094920946,0.095034,0.0,100.0,12272.0
85,404678554.0,1620633985.0,1944651.0,5354918.0,0.12732412,0.123599,0.003987,100.0,12264.0
86,403042227.0,1620649537.0,1988894.0,5376801.0,0.095600437,0.091878,0.003994,99.0,12168.0
87,402474975.0,1620628749.0,1696500.0,5062860.0,0.095145767,0.091371,0.003972,99.0,12284.0
88,402887520.0,1620655387.0,1955574.0,5341435.0,0.095136058,0.095318,0.0,100.0,12228.0
89,402197547.0,1620666400.0,1964950.0,5259677.0,0.094693262,0.090955,0.003954,99.0,12280.0
90,404644539.0,1620655756.0,1936153.0,5246388.0,0.128646506,0.124944,0.00403,99.0,12216.0
91,404331811.0,1620714072.0,1913331.0,5216679.0,0.126664535,0.126906,0.0,100.0,12272.0
92,403802471.0,1620685492.0,1943239.0,5286794.0,0.101944938,0.102142,0.0,100.0,12256.0
93,407450584.0,1621770060.0,2026793.0,5377955.0,0.096909273,0.092656,0.004028,99.0,12168.0
94,405243093.0,1620680939.0,1940847.0,5275446.0,0.12891414,0.121304,0.007826,99.0,12304.0
95,401916445.0,1620615750.0,1948951.0,5342489.0,0.094931982,0.095181,0.0,99.0,12272.0
96,405736720.0,1620684208.0,1940426.0,5277813.0,0.127420643,0.123724,0.003991,100.0,12284.0
97,404715215.0,1620659155.0,1971289.0,5258137.0,0.128870211,0.129143,0.0,100.0,12284.0
98,401666914.0,1620671060.0,1932245.0,5239877.0,0.095046035,0.095205,0.0,99.0,12272.0
99,408110072.0,1620736585.0,2012904.0,5395479.0,0.127212795,0.123539,0.003985,100.0,12300.0
100,405670246.0,1620692379.0,2023395.0,5423328.0,0.12517537,0.125446,0.0,99.0,12260.0
