Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,405664498.0,1622029938.0,1354521.0,4682340.0,0.12740518,0.123824,0.003994,100.0,12216.0
2,406712342.0,1622371801.0,1949387.0,5321916.0,0.096353,0.096153,0.0,100.0,12264.0
3,405064193.0,1621291093.0,1934337.0,5655004.0,0.096421445,0.096703,0.0,100.0,12224.0
4,407565262.0,1621297964.0,1936028.0,5257858.0,0.127593264,0.124031,0.004001,100.0,12260.0
5,417532109.0,1621348312.0,1935630.0,6688775.0,0.129507773,0.118329,0.011451,100.0,12164.0
6,406576841.0,1622348500.0,1883026.0,5220801.0,0.097283994,0.097016,0.0,98.0,12268.0
7,404536530.0,1621289944.0,1922641.0,5216368.0,0.127517136,0.1239,0.003996,100.0,12276.0
8,402070791.0,1621252723.0,1910137.0,5200990.0,0.095560781,0.091754,0.003989,99.0,12272.0
9,405534368.0,1622536692.0,1726741.0,5040339.0,0.096533472,0.088236,0.008021,99.0,12256.0
10,405348285.0,1621248580.0,1943591.0,5245620.0,0.128666387,0.124945,0.00403,99.0,12220.0
11,406164526.0,1621528216.0,1923820.0,5253864.0,0.12991209,0.12604,0.004065,100.0,12260.0
12,403470667.0,1621280069.0,1928986.0,5211494.0,0.124715425,0.124985,0.0,100.0,12168.0
13,405578661.0,1621577828.0,1940978.0,5174214.0,0.127582998,0.1278,0.0,100.0,12196.0
14,401943001.0,1621297750.0,1947835.0,5288254.0,0.095293846,0.095569,0.0,100.0,12264.0
15,402000366.0,1621252447.0,1956392.0,5247643.0,0.094975297,0.091281,0.003968,100.0,12268.0
16,404582926.0,1621328271.0,2005072.0,5301907.0,0.128439961,0.128685,0.0,99.0,12284.0
17,407215290.0,1622412747.0,1943236.0,5245883.0,0.096673226,0.096476,0.0,100.0,12276.0
18,404505771.0,1621334776.0,1902743.0,6204833.0,0.127366698,0.127796,0.0,100.0,12256.0
19,410774420.0,1621494739.0,1898192.0,7007673.0,0.127775413,0.124115,0.004003,99.0,12216.0
20,402079522.0,1621318504.0,1960080.0,5304559.0,0.107206171,0.099404,0.007952,99.0,12224.0
21,403643871.0,1621268353.0,1898928.0,5201093.0,0.129873258,0.122416,0.007897,100.0,12252.0
22,401915040.0,1621332877.0,1974993.0,5246124.0,0.123450935,0.111857,0.011984,99.0,12276.0
23,404615524.0,1621282630.0,1976941.0,5273413.0,0.127617152,0.120046,0.008003,100.0,12276.0
24,404107528.0,1621343972.0,1916633.0,5208195.0,0.128035715,0.124276,0.004008,100.0,12224.0
25,411590503.0,1621402596.0,1972564.0,6491782.0,0.097738527,0.090144,0.007838,100.0,12260.0
26,406508049.0,1621343224.0,1897157.0,5203348.0,0.122024413,0.12228,0.0,99.0,12264.0
27,402450757.0,1621280910.0,1847671.0,5170025.0,0.095184335,0.09536,0.0,100.0,12228.0
28,403812148.0,1621334675.0,2000299.0,5303601.0,0.127188112,0.119583,0.007972,99.0,12228.0
29,402293086.0,1621263838.0,1898182.0,5172449.0,0.095009031,0.091209,0.003965,99.0,12252.0
30,402406810.0,1621275471.0,1899675.0,5208433.0,0.094937163,0.095093,0.0,99.0,12168.0
31,406080452.0,1622352951.0,1992497.0,5344477.0,0.096283509,0.09643,0.0,99.0,12264.0
32,406427457.0,1621319846.0,1936857.0,5272876.0,0.125300633,0.125648,0.0,100.0,12192.0
33,403423530.0,1621275475.0,1892609.0,5200112.0,0.112273979,0.108625,0.004023,99.0,12296.0
34,403809312.0,1621357933.0,1967938.0,5356134.0,0.09981542,0.092082,0.008007,99.0,12272.0
35,402030845.0,1621289239.0,1968526.0,5331848.0,0.094998346,0.095175,0.0,99.0,12304.0
36,402700756.0,1621258652.0,1914113.0,5211907.0,0.095603807,0.09579,0.0,100.0,12224.0
37,406124255.0,1621333209.0,1930511.0,5221953.0,0.128229458,0.124603,0.004019,100.0,12188.0
38,401821329.0,1621266696.0,1934321.0,5219986.0,0.094570005,0.094748,0.0,99.0,12176.0
39,402515840.0,1621731910.0,1966081.0,5169864.0,0.095423894,0.095578,0.0,100.0,12156.0
40,405959365.0,1621290654.0,1123426.0,4477539.0,0.128778626,0.121103,0.008073,100.0,12296.0
41,402324508.0,1621320741.0,1925623.0,5260074.0,0.094868999,0.095129,0.0,78.0,12184.0
42,405040354.0,1621320980.0,1950419.0,6210448.0,0.12930726,0.125691,0.003927,100.0,12192.0
43,406519681.0,1622377754.0,1965661.0,5354596.0,0.09699506,0.092662,0.004028,99.0,12276.0
44,406362505.0,1622358039.0,1987647.0,5354843.0,0.097257386,0.089368,0.007771,99.0,12260.0
45,403435685.0,1621326893.0,1958189.0,5277032.0,0.128078111,0.127955,0.0,98.0,12236.0
46,402009576.0,1621664483.0,1956457.0,5154282.0,0.095496251,0.091632,0.003984,99.0,12192.0
47,404521549.0,1621346166.0,1959161.0,5301972.0,0.128417544,0.124791,0.004025,99.0,12272.0
48,401442262.0,1621263186.0,2013984.0,5341912.0,0.094996601,0.095169,0.0,99.0,12164.0
49,405282349.0,1621309112.0,1968439.0,5331143.0,0.120591676,0.112705,0.007772,99.0,12264.0
50,402665137.0,1621243458.0,1951359.0,5239697.0,0.095698374,0.08762,0.007965,99.0,12272.0
51,405494573.0,1621367991.0,2021170.0,5365580.0,0.123703557,0.116019,0.008001,100.0,12208.0
52,404435537.0,1621294553.0,1980119.0,5325513.0,0.127354199,0.123861,0.003995,100.0,12244.0
53,406136682.0,1621367108.0,1931910.0,5201684.0,0.126674427,0.126894,0.0,100.0,12200.0
54,401749499.0,1621271448.0,1938734.0,5253124.0,0.095351748,0.095547,0.0,100.0,12184.0
55,403765206.0,1621297967.0,1953330.0,5318997.0,0.127478868,0.127801,0.0,100.0,12268.0
56,401993184.0,1621516837.0,1852554.0,5076000.0,0.095973342,0.09264,0.004027,100.0,12300.0
57,404105740.0,1621271934.0,1933712.0,5250503.0,0.126769482,0.119279,0.007951,100.0,12280.0
58,405971614.0,1621274376.0,2010217.0,5590929.0,0.128273739,0.124633,0.003894,99.0,12284.0
59,403954387.0,1621354879.0,1888734.0,5194249.0,0.127868517,0.128189,0.0,100.0,12184.0
60,401859948.0,1621303390.0,1889479.0,5202964.0,0.09552328,0.095338,0.0,98.0,12220.0
61,404886537.0,1621276505.0,876124.0,4115166.0,0.127944714,0.124374,0.004012,100.0,12284.0
62,401781973.0,1621247134.0,1978167.0,5300781.0,0.094892747,0.091107,0.003961,100.0,12164.0
63,401202007.0,1621319941.0,2029401.0,5382631.0,0.095632444,0.095833,0.0,99.0,12164.0
64,402683488.0,1621282728.0,1895882.0,5213719.0,0.095726172,0.091917,0.003996,100.0,12168.0
