Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,402970370.0,1621866597.0,1918340.0,5284976.0,0.095300236,0.095473,0.0,99.0,12240.0
2,406829874.0,1622781230.0,1961516.0,5339802.0,0.096833341,0.096534,0.0,99.0,12184.0
3,405226887.0,1621700897.0,1864459.0,5144263.0,0.126785005,0.122943,0.004098,100.0,12268.0
4,405774373.0,1621728378.0,1960948.0,5286814.0,0.128517719,0.124741,0.004023,100.0,12272.0
5,405231269.0,1621739487.0,1899516.0,5195590.0,0.127735418,0.128003,0.0,100.0,12224.0
6,402068851.0,1621677743.0,1871594.0,5138897.0,0.094681155,0.094864,0.0,99.0,12164.0
7,403255964.0,1621731211.0,1885117.0,5178855.0,0.12628305,0.122587,0.003954,99.0,12264.0
8,402920695.0,1621670974.0,1877549.0,5121390.0,0.096078907,0.092333,0.004014,100.0,12280.0
9,403523327.0,1621684953.0,1937444.0,5253369.0,0.128471065,0.124752,0.004024,100.0,12184.0
10,402627950.0,1621659933.0,1925182.0,5210032.0,0.095134431,0.091401,0.003973,99.0,12256.0
11,403960576.0,1621754084.0,1869139.0,5125935.0,0.129217398,0.125505,0.004048,100.0,12252.0
12,404372129.0,1621696472.0,1913514.0,5212660.0,0.126937192,0.123311,0.003977,100.0,12212.0
13,404734941.0,1621803708.0,1940709.0,5260734.0,0.124977142,0.121225,0.00404,99.0,12224.0
14,406858483.0,1622787421.0,1929435.0,5259166.0,0.096538119,0.096334,0.0,99.0,12252.0
15,406412512.0,1622796227.0,1943266.0,5271607.0,0.097029318,0.092802,0.004034,99.0,12192.0
16,402385164.0,1621689011.0,1902948.0,5183432.0,0.09479402,0.095056,0.0,99.0,12156.0
17,403446423.0,1621713669.0,1907674.0,5170211.0,0.127527637,0.123882,0.003996,100.0,12288.0
18,401865526.0,1621704959.0,1916840.0,5201730.0,0.094598114,0.094765,0.0,100.0,12244.0
19,405040936.0,1621731565.0,1884405.0,5132481.0,0.124618013,0.120764,0.004025,100.0,12276.0
20,404176511.0,1621741552.0,1925602.0,5197628.0,0.127097061,0.123372,0.003979,100.0,12300.0
21,418851235.0,1621789886.0,1979034.0,5338893.0,0.128397871,0.120672,0.008044,99.0,12272.0
22,403210311.0,1621913959.0,1872657.0,5163934.0,0.095466042,0.091652,0.003984,99.0,12220.0
