Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,204388998.0,781283650.0,1071812.0,3198999.0,0.049763822,0.049892,0.0,100.0,12192.0
2,233708317.0,781199350.0,1605299.0,4598331.0,0.056954903,0.053275,0.003805,100.0,12216.0
3,202745130.0,781144151.0,1122401.0,3305772.0,0.050215207,0.050328,0.0,98.0,12252.0
4,209269516.0,781079679.0,1116231.0,3243704.0,0.051057494,0.051153,0.0,98.0,12260.0
5,202060662.0,781079323.0,1048619.0,3121099.0,0.048926702,0.044912,0.004082,100.0,12188.0
6,203539043.0,781765866.0,1046675.0,3158343.0,0.049525802,0.049417,0.0,98.0,12296.0
7,202491182.0,781266201.0,1000519.0,3094462.0,0.049208931,0.049303,0.0,100.0,12216.0
8,213876679.0,781260545.0,1274332.0,3707174.0,0.051685299,0.051832,0.0,100.0,12212.0
9,211219428.0,781078770.0,1255309.0,3626779.0,0.051410404,0.047579,0.003964,98.0,12160.0
10,206226421.0,781136761.0,1031649.0,3161308.0,0.050180566,0.050295,0.0,100.0,12252.0
11,202385029.0,781754982.0,1088244.0,3201256.0,0.049543404,0.049365,0.0,98.0,12128.0
12,213722689.0,781290391.0,1278607.0,3642080.0,0.051934075,0.052062,0.0,98.0,12212.0
13,213258637.0,781108032.0,1241468.0,3610477.0,0.052048615,0.048166,0.004013,100.0,12272.0
14,212842941.0,781094657.0,1278523.0,3667679.0,0.051692144,0.05182,0.0,59.0,12284.0
15,200124538.0,781184418.0,1052459.0,3056709.0,0.051594925,0.051657,0.0,98.0,12196.0
16,201883612.0,781061167.0,1067743.0,3161258.0,0.049341562,0.045669,0.003805,100.0,12260.0
17,199890887.0,781089909.0,1055803.0,3150847.0,0.048549979,0.04869,0.0,98.0,12208.0
18,200420466.0,781096697.0,1064582.0,3216274.0,0.048600056,0.048769,0.0,98.0,12284.0
19,207563336.0,781346775.0,1099958.0,3233330.0,0.050485913,0.046724,0.003893,100.0,12176.0
20,209087213.0,781156405.0,1219259.0,3389628.0,0.050923959,0.043772,0.007295,100.0,12164.0
21,200199333.0,781045024.0,1051779.0,3168411.0,0.048805529,0.048932,0.0,98.0,12212.0
22,207798647.0,781146117.0,1216075.0,3489272.0,0.050600384,0.046814,0.003901,98.0,12264.0
23,202124593.0,781110504.0,1048019.0,3104256.0,0.049207187,0.049279,0.0,98.0,12268.0
24,200070166.0,781098494.0,1050517.0,3160543.0,0.048896393,0.045191,0.003765,98.0,12248.0
25,199942556.0,781078955.0,1068355.0,3146032.0,0.048431599,0.048484,0.0,98.0,12300.0
26,199230780.0,781158485.0,1070306.0,3122707.0,0.056848607,0.056883,0.0,98.0,12272.0
27,201980803.0,781128708.0,1064764.0,3155424.0,0.049211239,0.045198,0.004108,98.0,12224.0
28,205296164.0,781101593.0,1129748.0,3301661.0,0.050121552,0.046391,0.003865,100.0,12272.0
29,202231057.0,781168179.0,1068427.0,3128475.0,0.048998712,0.04911,0.0,100.0,12260.0
30,203767464.0,781133735.0,1113328.0,3317484.0,0.049844491,0.049972,0.0,98.0,12164.0
31,201728013.0,781124856.0,1087076.0,3203258.0,0.049372083,0.049417,0.0,98.0,12212.0
32,204806517.0,781107644.0,1093614.0,3237957.0,0.049883532,0.049974,0.0,101.0,12252.0
33,205200241.0,781670121.0,1089239.0,3187371.0,0.050393514,0.050268,0.0,100.0,12272.0
34,206269176.0,781108903.0,1113871.0,3201946.0,0.050218212,0.050352,0.0,100.0,12212.0
35,214716710.0,781186468.0,1282199.0,3736082.0,0.052495392,0.048606,0.00405,100.0,12228.0
36,214229208.0,781142434.0,1307901.0,3681007.0,0.052271131,0.048641,0.003741,100.0,12224.0
37,205579152.0,781680774.0,1158156.0,3374191.0,0.050466219,0.050353,0.0,100.0,12300.0
38,203746963.0,781195029.0,1085126.0,3179842.0,0.049864535,0.046122,0.003843,100.0,12272.0
39,203820759.0,781261639.0,1074482.0,3248789.0,0.049822002,0.045756,0.004159,98.0,12284.0
40,219155535.0,781671440.0,1324565.0,3735543.0,0.053508511,0.049622,0.003817,100.0,12212.0
41,204969625.0,781197966.0,1102217.0,3268159.0,0.050045565,0.050153,0.0,100.0,12256.0
42,201259225.0,781114499.0,1072170.0,3182474.0,0.04928618,0.049352,0.0,98.0,12212.0
43,214666775.0,781202340.0,1318867.0,3976879.0,0.052150586,0.048255,0.004021,98.0,12280.0
44,242600688.0,781218448.0,1723475.0,4949528.0,0.059323718,0.055459,0.003961,98.0,12260.0
45,211419954.0,781234157.0,1203047.0,3456327.0,0.051472286,0.051539,0.0,98.0,12280.0
46,214207490.0,781775565.0,1204836.0,3475148.0,0.052730828,0.052489,0.0,100.0,12300.0
47,216828194.0,781712095.0,1312396.0,3761202.0,0.052821413,0.045904,0.007062,100.0,12220.0
48,204155522.0,781143961.0,1085648.0,3285904.0,0.050003381,0.050072,0.0,100.0,12276.0
49,215877775.0,781698592.0,1290270.0,3705984.0,0.053037222,0.052867,0.0,98.0,12288.0
50,202538786.0,781133274.0,1052948.0,3142636.0,0.049723177,0.04971,0.0,98.0,12276.0
51,202358021.0,781161717.0,1060051.0,3142791.0,0.049272002,0.049355,0.0,100.0,12268.0
52,199748690.0,781134205.0,1081169.0,3183406.0,0.048738204,0.048832,0.0,100.0,12284.0
53,205031455.0,781140338.0,1052683.0,3193758.0,0.049774929,0.049866,0.0,98.0,12272.0
54,203140291.0,781097069.0,1076066.0,3213888.0,0.049628752,0.049743,0.0,98.0,12264.0
55,201413991.0,781185925.0,1071371.0,3202029.0,0.049032376,0.045357,0.003779,98.0,12268.0
56,200024818.0,781136132.0,1055367.0,3161650.0,0.048880332,0.048971,0.0,100.0,12256.0
57,212556695.0,781302927.0,1241027.0,3583201.0,0.051564198,0.047662,0.003971,98.0,12168.0
58,202241582.0,781142946.0,1054226.0,3164067.0,0.049486765,0.0454,0.004127,100.0,12272.0
59,207990291.0,781635576.0,1112988.0,3291763.0,0.050661708,0.050553,0.0,98.0,12224.0
60,201217331.0,781124721.0,976989.0,3036794.0,0.049120936,0.045407,0.003783,100.0,12212.0
61,200233070.0,781122219.0,1071005.0,3155133.0,0.048912459,0.049052,0.0,100.0,12300.0
62,212218004.0,781171407.0,1254302.0,3586759.0,0.052163228,0.048304,0.004025,100.0,12160.0
63,205225842.0,781139607.0,1099256.0,3251939.0,0.050493529,0.050642,0.0,98.0,12284.0
64,201257830.0,781101452.0,915523.0,3011128.0,0.049037894,0.049183,0.0,53.0,12276.0
65,200630553.0,781121235.0,1077769.0,3185459.0,0.048834586,0.044889,0.00408,100.0,12304.0
66,220061601.0,781149662.0,1354149.0,3896925.0,0.054050762,0.05034,0.003872,98.0,12220.0
67,207587134.0,781649596.0,1149773.0,3411530.0,0.050968451,0.050861,0.0,98.0,12272.0
68,206028003.0,781218409.0,1099427.0,3245002.0,0.050485079,0.046307,0.004209,100.0,12188.0
69,211260755.0,781211206.0,1212892.0,3629708.0,0.051589621,0.044353,0.007392,98.0,12260.0
70,199217918.0,781136744.0,1061016.0,3127816.0,0.048577988,0.048592,0.0,98.0,12268.0
71,199360339.0,781144768.0,987854.0,3057146.0,0.048829489,0.044836,0.004076,100.0,12228.0
72,200673618.0,781131229.0,1048811.0,3157438.0,0.048932295,0.044941,0.004085,98.0,12224.0
73,209323210.0,781183542.0,1255888.0,3582262.0,0.050885759,0.047065,0.003922,98.0,12224.0
74,199576757.0,781054578.0,1051536.0,3181450.0,0.048451647,0.048536,0.0,98.0,12304.0
75,204146518.0,781542724.0,1120856.0,3225576.0,0.049865516,0.046337,0.003564,100.0,12284.0
76,204857978.0,781126093.0,1110837.0,3222182.0,0.049971396,0.050061,0.0,98.0,12240.0
77,208992801.0,781144119.0,1248793.0,3536791.0,0.050375009,0.050481,0.0,98.0,12264.0
78,205257170.0,781081134.0,1127739.0,3278693.0,0.050151517,0.050259,0.0,100.0,12264.0
79,250957140.0,781547032.0,1844529.0,5103499.0,0.061037559,0.057035,0.004073,98.0,12248.0
80,210164001.0,781668559.0,1163023.0,3430456.0,0.051773724,0.047668,0.003972,98.0,12264.0
81,209810306.0,781227473.0,1119475.0,3324036.0,0.051595628,0.051593,0.0,36.0,12212.0
82,229102374.0,781116937.0,1536633.0,4277840.0,0.055786043,0.051862,0.003989,100.0,12284.0
83,202406119.0,781134691.0,1079226.0,3228842.0,0.04903608,0.049153,0.0,98.0,12132.0
84,224581875.0,781103135.0,1565133.0,4313098.0,0.054490834,0.046793,0.007798,100.0,12192.0
85,200720695.0,781141986.0,1053036.0,3119362.0,0.048981604,0.049085,0.0,98.0,12220.0
86,212065795.0,781144232.0,1307117.0,3653653.0,0.051553724,0.05163,0.0,100.0,12204.0
87,203143548.0,781076273.0,1065046.0,3148476.0,0.049749371,0.042803,0.007133,100.0,12284.0
88,202079574.0,781041205.0,1054364.0,3153809.0,0.049330113,0.049433,0.0,98.0,12224.0
89,205802988.0,781249129.0,1106090.0,3212281.0,0.050131823,0.046364,0.003863,98.0,12256.0
90,200830576.0,781089362.0,1041193.0,3114979.0,0.048958137,0.044945,0.004085,100.0,12228.0
91,265889608.0,781123473.0,2064860.0,5582428.0,0.064864661,0.065053,0.0,100.0,12248.0
92,200361184.0,781152575.0,1068396.0,3141384.0,0.048739115,0.048797,0.0,100.0,12260.0
93,202036945.0,781188831.0,1058168.0,3155675.0,0.049321942,0.049403,0.0,98.0,12220.0
94,203410154.0,781131805.0,1030502.0,3201940.0,0.049691193,0.04981,0.0,100.0,12276.0
95,212365341.0,781841518.0,1286756.0,3685541.0,0.051667985,0.051769,0.0,100.0,12296.0
96,213702425.0,781199250.0,1278537.0,3649401.0,0.051895808,0.052012,0.0,100.0,12280.0
97,202069722.0,781120987.0,1063928.0,3184678.0,0.049121148,0.049215,0.0,98.0,12192.0
98,203739960.0,781145271.0,1145501.0,3332792.0,0.049795746,0.0499,0.0,98.0,12300.0
99,254686597.0,781181798.0,1878583.0,5161824.0,0.061966871,0.062088,0.0,100.0,12300.0
100,222592053.0,781115912.0,1288380.0,3741580.0,0.05423801,0.054356,0.0,98.0,12232.0
