Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,202678470.0,782178863.0,1092997.0,3237893.0,0.080302676,0.080575,0.0,98.0,12228.0
2,199786879.0,781492720.0,1111089.0,3189931.0,0.081614307,0.070539,0.011137,100.0,12184.0
3,198587521.0,781401841.0,1044533.0,3126690.0,0.046951494,0.047099,0.0,98.0,12264.0
4,201286784.0,781407593.0,810160.0,2830678.0,0.079034557,0.07529,0.004182,100.0,12272.0
5,201335069.0,781358199.0,1036437.0,3123972.0,0.047853852,0.043999,0.003999,98.0,12236.0
6,198517569.0,781435126.0,1070739.0,3146299.0,0.047401277,0.043655,0.003968,100.0,12212.0
7,201590395.0,781915769.0,966760.0,3033329.0,0.048098439,0.044037,0.004003,100.0,12228.0
8,203253170.0,781577755.0,1073623.0,3156581.0,0.08157373,0.077976,0.003898,98.0,12268.0
9,203044784.0,781963327.0,1072577.0,3179895.0,0.049234975,0.045475,0.003789,98.0,12216.0
10,202424310.0,781438292.0,955868.0,3070710.0,0.04835874,0.04852,0.0,100.0,12160.0
11,199216211.0,781372227.0,1073495.0,3183655.0,0.047517074,0.043743,0.003976,100.0,12216.0
12,203479970.0,781491141.0,855867.0,2847457.0,0.081176469,0.081467,0.0,98.0,12296.0
13,200857972.0,781431743.0,1027131.0,3063836.0,0.048012254,0.04413,0.004011,100.0,12224.0
14,200654738.0,781517513.0,1029249.0,2979933.0,0.047816836,0.044045,0.004004,100.0,12252.0
15,203825164.0,781932820.0,728604.0,2822076.0,0.048489134,0.04445,0.00404,98.0,12216.0
16,204259714.0,781475241.0,735183.0,2833412.0,0.079554181,0.07575,0.003986,100.0,12260.0
17,199887147.0,781433692.0,1042480.0,3109229.0,0.047387519,0.043608,0.003964,98.0,12256.0
18,200137909.0,781382692.0,800774.0,2894672.0,0.04758531,0.043736,0.003976,100.0,12252.0
19,200862848.0,781415125.0,1044929.0,3118876.0,0.048362092,0.044519,0.004047,100.0,12252.0
20,202857331.0,781404725.0,1068749.0,3155329.0,0.049031038,0.038381,0.010467,100.0,12284.0
21,200060663.0,781399926.0,1061287.0,3113316.0,0.047937942,0.044125,0.004011,98.0,12224.0
22,204095748.0,781476248.0,1024865.0,3124265.0,0.048545637,0.048698,0.0,100.0,12300.0
23,200921383.0,781467915.0,775787.0,2735533.0,0.047622886,0.047759,0.0,100.0,12224.0
24,204792082.0,781502431.0,892544.0,2961945.0,0.048381997,0.04447,0.004042,98.0,12224.0
25,200882490.0,781412778.0,1055198.0,3135423.0,0.047948628,0.048072,0.0,100.0,12232.0
26,200616786.0,781460281.0,1052515.0,3156222.0,0.047475589,0.043618,0.003965,100.0,12164.0
27,202367770.0,781518057.0,1062172.0,3124488.0,0.048944713,0.041563,0.007556,100.0,12300.0
28,199452012.0,781443076.0,1023692.0,3095453.0,0.060928396,0.061196,0.0,100.0,12280.0
29,201348829.0,781404423.0,1051924.0,3395837.0,0.047614434,0.043783,0.00398,100.0,12300.0
