Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,199548610.0,782345496.0,1049888.0,3014255.0,0.047751646,0.043893,0.00399,98.0,12288.0
2,199760319.0,782027272.0,1046084.0,3122011.0,0.047623136,0.04382,0.003983,100.0,12228.0
3,200722474.0,782044446.0,1033187.0,3086990.0,0.04733804,0.047477,0.0,98.0,12256.0
4,198009179.0,782039886.0,1050801.0,3089094.0,0.046739005,0.046971,0.0,100.0,12296.0
5,197890932.0,782037895.0,1067322.0,3130070.0,0.047548196,0.043551,0.003959,98.0,12196.0
6,200082105.0,782147457.0,1052925.0,3056143.0,0.082142695,0.074659,0.007858,100.0,12188.0
7,200002470.0,782099560.0,870014.0,2912752.0,0.081017539,0.077407,0.00387,98.0,12292.0
8,200483707.0,782136761.0,1073236.0,3109498.0,0.04833378,0.044499,0.004045,98.0,12212.0
9,200771312.0,782087763.0,1021389.0,3037051.0,0.069552318,0.065955,0.003879,100.0,12268.0
10,200221254.0,782168254.0,964241.0,3086446.0,0.047720077,0.047595,0.0,98.0,12288.0
11,199144963.0,782023732.0,1064388.0,3125999.0,0.047179569,0.047305,0.0,98.0,12260.0
12,198554491.0,782041621.0,921504.0,2994856.0,0.047197867,0.04346,0.00395,98.0,12192.0
13,202782801.0,782186523.0,918735.0,2915022.0,0.069120624,0.065337,0.004083,100.0,12276.0
14,202520552.0,782515541.0,863944.0,2909404.0,0.048223639,0.04415,0.004013,98.0,12280.0
15,201241235.0,781998520.0,1057648.0,3143477.0,0.047523472,0.043684,0.003971,100.0,12300.0
16,199524828.0,782072216.0,968977.0,3046706.0,0.047429534,0.04361,0.003964,100.0,12184.0
17,198730548.0,782056004.0,1057368.0,3082987.0,0.047211836,0.047352,0.0,98.0,12272.0
18,200394252.0,782579293.0,1086017.0,3175454.0,0.047695772,0.04367,0.00397,98.0,12260.0
19,200904753.0,782532439.0,1061409.0,3144481.0,0.048881203,0.048706,0.0,98.0,12172.0
20,199877460.0,782014045.0,1051465.0,3144259.0,0.047436309,0.043611,0.003964,98.0,12220.0
21,201463055.0,782040668.0,969968.0,3029064.0,0.048051059,0.048186,0.0,100.0,12196.0
22,201994364.0,782080090.0,913671.0,2970706.0,0.081715471,0.081986,0.0,100.0,12276.0
