Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1076387806.0,4166998929.0,344962.0,2434806.0,0.265640631,0.250054,0.007938,96.0,12300.0
2,1064308420.0,4153704163.0,151163.0,1131193.0,0.255702497,0.255884,0.0,100.0,12292.0
3,1056496697.0,4153361728.0,148482.0,1144772.0,0.252340132,0.252935,0.0,99.0,12284.0
4,1092881054.0,4153467899.0,155863.0,1177379.0,0.261556808,0.258087,0.00397,99.0,12228.0
5,1078226097.0,4153424033.0,150096.0,1155893.0,0.257910255,0.258102,0.0,100.0,12184.0
6,1070721190.0,4153364888.0,151451.0,1145910.0,0.255655922,0.251824,0.003997,99.0,12304.0
7,1081538695.0,4153412004.0,153143.0,1209460.0,0.257824846,0.254056,0.003969,99.0,12228.0
8,1075720886.0,4153453249.0,153677.0,1161251.0,0.256661778,0.256857,0.0,100.0,12284.0
9,1087848578.0,4153465421.0,162714.0,1160572.0,0.269322468,0.269537,0.0,100.0,12276.0
10,1086216771.0,4153415756.0,160992.0,1165848.0,0.260037564,0.256183,0.004002,100.0,12168.0
11,1081283624.0,4153481677.0,152724.0,1148459.0,0.257840008,0.250479,0.007827,99.0,12280.0
12,1094829775.0,4153481652.0,148820.0,1142768.0,0.26107757,0.261302,0.0,100.0,12220.0
13,1094071070.0,4153392759.0,157797.0,1127618.0,0.272035183,0.272228,0.0,99.0,12160.0
14,1083210106.0,4153469640.0,155671.0,1159169.0,0.258143824,0.254371,0.003974,99.0,12256.0
15,1091093340.0,4156354786.0,190739.0,1326378.0,0.260863584,0.255986,0.003999,99.0,12224.0
16,1063964431.0,4153472166.0,159209.0,1184892.0,0.254891874,0.255036,0.0,99.0,12296.0
17,1100184562.0,4153460844.0,155856.0,1215350.0,0.263798249,0.263951,0.0,100.0,12284.0
18,1128407027.0,4153481420.0,198175.0,1603774.0,0.273474134,0.269675,0.004025,100.0,12276.0
19,1133366332.0,4153844018.0,211205.0,1685757.0,0.277037996,0.273001,0.003956,99.0,12164.0
20,1133360877.0,4155845083.0,271869.0,1730077.0,0.277555172,0.276432,0.0,99.0,12228.0
21,1112816378.0,4153845196.0,163217.0,1329949.0,0.270552261,0.266754,0.003981,99.0,12276.0
22,1174074023.0,4153590810.0,215803.0,1904785.0,0.287795868,0.283878,0.003998,99.0,12260.0
23,1087755472.0,4153479119.0,151992.0,1364570.0,0.266593307,0.26667,0.0,99.0,12304.0
24,1084969938.0,4153639768.0,154987.0,1171102.0,0.264210047,0.263989,0.0,99.0,12276.0
25,1107821075.0,4154720430.0,170558.0,1278690.0,0.26977696,0.261571,0.007926,99.0,12192.0
26,1131114458.0,4153528976.0,204931.0,1684263.0,0.277470258,0.277592,0.0,100.0,12112.0
27,1092965473.0,4153704606.0,180244.0,1387030.0,0.266092063,0.265806,0.0,99.0,12296.0
28,1078469370.0,4153467483.0,153246.0,1159904.0,0.263102653,0.263181,0.0,99.0,12280.0
29,1094305625.0,4156460560.0,170624.0,1309838.0,0.266937778,0.254161,0.011913,99.0,12164.0
30,1145198735.0,4153822936.0,219580.0,1529797.0,0.289422696,0.285664,0.003967,99.0,12252.0
31,1084353867.0,4153581833.0,154635.0,1245558.0,0.263648257,0.259771,0.003996,100.0,12284.0
32,1268671776.0,4153523078.0,155195.0,13813844.0,0.309811195,0.305996,0.003973,99.0,12280.0
33,1085053709.0,4156377458.0,170728.0,1291404.0,0.26503,0.256103,0.008003,99.0,12296.0
34,1177284747.0,4153947752.0,261336.0,2009664.0,0.287231643,0.287384,0.0,99.0,12180.0
35,1067378060.0,4153417375.0,152717.0,1207294.0,0.259458766,0.259581,0.0,100.0,12264.0
36,1079745706.0,4153414362.0,150455.0,1240196.0,0.261681185,0.261876,0.0,100.0,12224.0
37,1087485166.0,4153377554.0,168210.0,1204951.0,0.264050273,0.264241,0.0,100.0,12260.0
38,1107924960.0,4153564937.0,183899.0,1476770.0,0.271009544,0.271161,0.0,99.0,12232.0
39,1152847398.0,4153539227.0,235702.0,1717470.0,0.28269707,0.282869,0.0,99.0,12276.0
40,1071817603.0,4153384345.0,151579.0,1152388.0,0.260514215,0.260667,0.0,100.0,12276.0
41,1113137364.0,4153595073.0,189246.0,1497003.0,0.28217808,0.278302,0.003975,100.0,12264.0
42,1070493710.0,4153525142.0,154734.0,1220789.0,0.262064349,0.262177,0.0,100.0,12220.0
43,1056524094.0,4153410069.0,150912.0,1159285.0,0.259068226,0.2552,0.003987,100.0,12276.0
44,1084731765.0,4153403236.0,153054.0,1127634.0,0.273601015,0.265996,0.007823,99.0,12212.0
45,1107318427.0,4153438784.0,178205.0,1305562.0,0.26949875,0.269661,0.0,100.0,12276.0
46,1179196783.0,4156398657.0,217510.0,1741237.0,0.28779103,0.282808,0.003983,99.0,12272.0
47,1067559165.0,4153378553.0,147395.0,1139755.0,0.259846684,0.260045,0.0,99.0,12300.0
48,1051950588.0,4153335309.0,145118.0,1128364.0,0.256739095,0.25291,0.004014,100.0,12176.0
49,1071088985.0,4153402138.0,150967.0,1133603.0,0.25963158,0.255811,0.003997,100.0,12228.0
50,1071113853.0,4153444583.0,154422.0,1154205.0,0.260415059,0.252646,0.007895,100.0,12212.0
51,1093841955.0,4153497153.0,150392.0,1145677.0,0.266133107,0.266307,0.0,100.0,12300.0
52,1070158059.0,4153389745.0,149974.0,1145552.0,0.258674057,0.25103,0.007844,100.0,12264.0
53,1070359326.0,4153487240.0,152272.0,1186846.0,0.260980431,0.261162,0.0,100.0,12228.0
54,1150272432.0,4153460051.0,155929.0,1171777.0,0.279683725,0.275877,0.003998,99.0,12228.0
55,1060533262.0,4153464735.0,155076.0,1159671.0,0.257274093,0.257439,0.0,100.0,12220.0
56,1067357102.0,4153471115.0,151838.0,1156348.0,0.257374809,0.257559,0.0,100.0,12192.0
57,1090725660.0,4155790059.0,171914.0,1297084.0,0.266151279,0.257511,0.007923,99.0,12188.0
58,1055641059.0,4153362960.0,149386.0,1144648.0,0.256572473,0.256758,0.0,100.0,12260.0
59,1055068390.0,4153351429.0,147134.0,1160330.0,0.256130657,0.256313,0.0,100.0,12232.0
60,1066357871.0,4153534220.0,158980.0,1160569.0,0.257500601,0.253652,0.003963,99.0,12204.0
61,1102047680.0,4153415223.0,149721.0,1137226.0,0.270234628,0.270411,0.0,100.0,12184.0
62,1131598839.0,4153455363.0,157216.0,1164359.0,0.285197991,0.2854,0.0,99.0,12292.0
63,1076792246.0,4153377265.0,150996.0,1159722.0,0.25917072,0.259357,0.0,99.0,12272.0
64,1060918547.0,4153374923.0,152323.0,1148946.0,0.257873699,0.258045,0.0,100.0,12184.0
65,1075569446.0,4153393547.0,152415.0,1149567.0,0.264963571,0.26121,0.003957,100.0,12284.0
66,1126857674.0,4153397160.0,146845.0,1154727.0,0.2775077,0.2777,0.0,99.0,12228.0
67,1169835963.0,4153590100.0,168778.0,1453893.0,0.281326351,0.281113,0.0,100.0,12296.0
68,1097770014.0,4153466577.0,153202.0,1167257.0,0.266809903,0.266931,0.0,100.0,12192.0
69,1063723472.0,4153392160.0,148639.0,1197007.0,0.258662005,0.258825,0.0,100.0,12264.0
70,1096153222.0,4153483867.0,155487.0,1153275.0,0.263750017,0.263919,0.0,100.0,12188.0
