Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1085181020.0,4153970540.0,187568.0,1230814.0,0.285506969,0.286339,0.0,100.0,12228.0
2,1091077840.0,4153792015.0,158324.0,1152319.0,0.278409759,0.27868,0.0,99.0,12268.0
3,1087078348.0,4153790951.0,152024.0,1162749.0,0.258825071,0.255008,0.003984,100.0,12284.0
4,1130733934.0,4153802656.0,163985.0,1149358.0,0.288300791,0.288465,0.0,100.0,12164.0
5,1095408584.0,4153827710.0,158694.0,1190060.0,0.258996184,0.259189,0.0,100.0,12216.0
6,1081188253.0,4153849300.0,139795.0,1051837.0,0.253570644,0.254245,0.0,100.0,12272.0
7,1086278806.0,4153740832.0,159206.0,1203790.0,0.255224017,0.25084,0.003981,99.0,12276.0
8,1101380054.0,4153770449.0,160296.0,1155655.0,0.292617381,0.28494,0.008026,100.0,12288.0
9,1115709487.0,4153723990.0,155102.0,1207601.0,0.294551447,0.290743,0.003982,100.0,12164.0
10,1067433025.0,4153699697.0,143203.0,1106769.0,0.249384872,0.249685,0.0,100.0,12164.0
11,1085265165.0,4153661776.0,155403.0,1179907.0,0.286193938,0.282895,0.003984,100.0,12232.0
12,1092014469.0,4153754260.0,151179.0,1140025.0,0.255694543,0.248093,0.007875,99.0,12224.0
13,1073234628.0,4153700057.0,149690.0,1141832.0,0.251731426,0.25192,0.0,99.0,12228.0
14,1087417200.0,4153795650.0,159649.0,1147814.0,0.286929306,0.287255,0.0,99.0,12204.0
15,1075823145.0,4153676181.0,148678.0,1136181.0,0.253652922,0.249864,0.003966,99.0,12184.0
16,1097277016.0,4153730729.0,148627.0,1127069.0,0.256132315,0.252312,0.004004,99.0,12232.0
17,1071564913.0,4153679941.0,158773.0,1157937.0,0.279277203,0.275676,0.003995,99.0,12164.0
18,1087666544.0,4156594117.0,159181.0,1258282.0,0.255517566,0.254707,0.0,99.0,12224.0
19,1070452791.0,4153724197.0,152211.0,1126683.0,0.281189618,0.277418,0.00402,100.0,12184.0
20,1071063425.0,4153764111.0,153473.0,1137906.0,0.25078863,0.251093,0.0,100.0,12272.0
21,1068062832.0,4153658012.0,143268.0,1165895.0,0.248726336,0.248992,0.0,99.0,12272.0
22,1080729418.0,4153815088.0,155275.0,1166091.0,0.286660418,0.282872,0.003984,99.0,12260.0
23,1087486090.0,4153760716.0,159403.0,1156823.0,0.285014449,0.285285,0.0,100.0,12248.0
24,1071805848.0,4153715100.0,146787.0,1140757.0,0.250206289,0.250376,0.0,100.0,12244.0
25,1071627484.0,4153762403.0,159686.0,1153687.0,0.28301634,0.275329,0.00798,100.0,12276.0
26,1092738582.0,4153744943.0,158272.0,1156506.0,0.287506416,0.283793,0.003997,99.0,12248.0
27,1143627744.0,4153765792.0,148484.0,1145194.0,0.267170086,0.267377,0.0,99.0,12280.0
28,1071317525.0,4153715939.0,147311.0,1128989.0,0.249036645,0.249314,0.0,100.0,12228.0
29,1081934058.0,4153705279.0,151428.0,1152037.0,0.252680166,0.252953,0.0,100.0,12272.0
30,1066354332.0,4153739416.0,151747.0,1142324.0,0.249037833,0.249312,0.0,99.0,12212.0
31,1069037387.0,4153675006.0,161200.0,1130764.0,0.281439937,0.273906,0.007939,99.0,12184.0
32,1070088879.0,4153740526.0,150233.0,1132818.0,0.249423292,0.241767,0.007926,100.0,12176.0
33,1069036153.0,4153697092.0,141591.0,1122260.0,0.249208318,0.245425,0.003958,100.0,12260.0
34,1067675328.0,4153712000.0,156774.0,1143980.0,0.279021028,0.275301,0.003989,99.0,12196.0
35,1070492953.0,4153838839.0,151309.0,1137468.0,0.249565073,0.249813,0.0,99.0,12216.0
36,1067868424.0,4153731749.0,151157.0,1126282.0,0.25064951,0.2508,0.0,99.0,12252.0
37,1073982887.0,4153741941.0,155710.0,1145547.0,0.280538836,0.276859,0.004012,100.0,12164.0
38,1121763002.0,4153699959.0,150120.0,1132714.0,0.26257567,0.262759,0.0,99.0,12256.0
39,1099928560.0,4153677077.0,154035.0,1116250.0,0.290357093,0.28654,0.004035,99.0,12300.0
40,1096500250.0,4153752560.0,155970.0,1114764.0,0.288228727,0.288504,0.0,100.0,12276.0
41,1096617470.0,4153813860.0,158357.0,1517650.0,0.292106847,0.284876,0.007913,100.0,12248.0
42,1071456514.0,4153728063.0,147511.0,1099253.0,0.250219356,0.250503,0.0,99.0,12276.0
43,1070054726.0,4153785397.0,156374.0,1134635.0,0.279552599,0.275778,0.003996,99.0,12216.0
44,1094971932.0,4156569842.0,162725.0,1277933.0,0.25707142,0.244496,0.01183,99.0,12192.0
45,1074510069.0,4153679915.0,149776.0,1110430.0,0.250437124,0.246643,0.003978,99.0,12168.0
46,1076047973.0,4153759654.0,159899.0,1135942.0,0.281608331,0.273969,0.007827,100.0,12192.0
47,1092866845.0,4153753641.0,157831.0,1125551.0,0.286424291,0.282655,0.003981,99.0,12284.0
48,1136878381.0,4153735355.0,151846.0,1144087.0,0.26482759,0.265024,0.0,99.0,12276.0
49,1080271117.0,4153812916.0,134759.0,1035667.0,0.252118642,0.248269,0.004004,100.0,12272.0
50,1194856136.0,4153822122.0,156294.0,1134278.0,0.308943116,0.305229,0.004016,99.0,12232.0
51,1071064381.0,4153745351.0,152946.0,1113158.0,0.282526755,0.278735,0.004039,100.0,12276.0
52,1084039475.0,4153644704.0,150055.0,1140893.0,0.252859947,0.249068,0.003953,99.0,12188.0
53,1097684876.0,4153729605.0,150313.0,1139635.0,0.25616641,0.252341,0.004005,100.0,12276.0
54,1077026738.0,4153771648.0,156527.0,1148854.0,0.2855278,0.28571,0.0,100.0,12248.0
55,1106832175.0,4153760839.0,159618.0,1175262.0,0.288080528,0.284367,0.004005,99.0,12252.0
56,1080456774.0,4153665888.0,147294.0,1168960.0,0.25274855,0.249042,0.003953,100.0,12224.0
57,1135831398.0,4153837943.0,263040.0,1691831.0,0.296695127,0.293028,0.004014,99.0,12188.0
58,1071927574.0,4153773467.0,157280.0,1157439.0,0.284371217,0.28461,0.0,100.0,12212.0
59,1114583737.0,4153824241.0,149447.0,1138198.0,0.264117441,0.260283,0.004004,99.0,12220.0
60,1081055531.0,4153788523.0,151702.0,1149309.0,0.287267638,0.283524,0.003993,100.0,12228.0
61,1120889515.0,4153672670.0,147258.0,1142714.0,0.262060593,0.258354,0.003974,100.0,12276.0
62,1067432953.0,4153757519.0,150024.0,1138725.0,0.281862632,0.28223,0.0,100.0,12164.0
63,1070587777.0,4153724393.0,149801.0,1120292.0,0.25110468,0.247301,0.003988,100.0,12228.0
64,1068264458.0,4153748446.0,158079.0,1144078.0,0.280730982,0.28099,0.0,100.0,12256.0
65,1070072158.0,4153702452.0,147327.0,1138313.0,0.25087008,0.247079,0.003985,100.0,12268.0
66,1071261219.0,4153810092.0,148953.0,1720686.0,0.24993329,0.250164,0.0,100.0,12296.0
67,1084628051.0,4153742666.0,155045.0,1141850.0,0.286892728,0.283237,0.004046,100.0,12268.0
68,1103601332.0,4153792025.0,153913.0,1167283.0,0.289994554,0.286184,0.00403,99.0,12256.0
69,1112158174.0,4153737751.0,159316.0,1155490.0,0.289517882,0.285921,0.003971,99.0,12224.0
70,1080291449.0,4153716761.0,152709.0,1135931.0,0.252679132,0.248877,0.004014,100.0,12220.0
71,1100781779.0,4153747641.0,156529.0,1149314.0,0.288580393,0.284947,0.004013,100.0,12252.0
72,1074631030.0,4153713506.0,151932.0,1131731.0,0.250818469,0.251087,0.0,100.0,12164.0
73,1071234604.0,4153680559.0,146879.0,1105751.0,0.249949914,0.250138,0.0,99.0,12204.0
74,1105100410.0,4153723740.0,144517.0,1123410.0,0.258993483,0.259251,0.0,100.0,12300.0
75,1067512757.0,4153729892.0,156517.0,1115333.0,0.280700185,0.281107,0.0,99.0,12228.0
76,1079286589.0,4153846935.0,161477.0,1159237.0,0.288641925,0.280951,0.007914,100.0,12220.0
77,1111165300.0,4153698012.0,153784.0,1139537.0,0.259586164,0.255793,0.003996,100.0,12300.0
78,1067723861.0,4153693819.0,147527.0,1126808.0,0.24937302,0.241744,0.007926,99.0,12276.0
79,1075531176.0,4153707343.0,148455.0,1136281.0,0.251843474,0.252007,0.0,100.0,12256.0
80,1100007651.0,4156639064.0,160273.0,1269674.0,0.257824609,0.249077,0.007907,99.0,12292.0
81,1136910431.0,4153827840.0,157743.0,1139052.0,0.298245909,0.298534,0.0,100.0,12176.0
82,1101444574.0,4153744356.0,152399.0,1134203.0,0.257690652,0.253999,0.003968,99.0,12164.0
83,1069398489.0,4153733196.0,160264.0,1140956.0,0.283132019,0.279445,0.003992,99.0,12260.0
84,1089205081.0,4153728062.0,148566.0,1149439.0,0.253818329,0.253988,0.0,99.0,12272.0
85,1070668738.0,4153669692.0,156932.0,1147115.0,0.283711917,0.280218,0.003946,99.0,12232.0
86,1070430331.0,4153692763.0,149204.0,1140919.0,0.250200022,0.250346,0.0,100.0,12280.0
87,1065999968.0,4153760931.0,154691.0,1134432.0,0.280497438,0.280748,0.0,99.0,12296.0
88,1065624835.0,4153672087.0,148063.0,1141014.0,0.25006432,0.250205,0.0,100.0,12284.0
89,1089411662.0,4153766342.0,134599.0,1034520.0,0.254517799,0.250712,0.003979,99.0,12284.0
90,1137386580.0,4153737695.0,149083.0,1124449.0,0.297148344,0.29737,0.0,100.0,12188.0
91,1066347018.0,4153742440.0,156477.0,1103650.0,0.280916283,0.28124,0.0,100.0,12216.0
92,1069589554.0,4153721589.0,152204.0,1142353.0,0.255399138,0.251649,0.003994,99.0,12188.0
93,1084628021.0,4153751855.0,153581.0,1125372.0,0.284169316,0.280702,0.003953,100.0,12288.0
94,1073352867.0,4153732325.0,154950.0,1148434.0,0.25233384,0.252541,0.0,100.0,12172.0
95,1084686449.0,4153726462.0,157775.0,1135553.0,0.284199419,0.284531,0.0,99.0,12276.0
96,1087657573.0,4153722414.0,152691.0,1124725.0,0.254412829,0.250619,0.003978,100.0,12224.0
97,1104432758.0,4153735130.0,153672.0,1126705.0,0.28135587,0.281611,0.0,99.0,12288.0
98,1067564062.0,4153702886.0,150309.0,1105642.0,0.249676211,0.249951,0.0,100.0,12288.0
99,1104663788.0,4153728677.0,152895.0,1127743.0,0.289076631,0.285345,0.004018,100.0,12272.0
100,1085196296.0,4153721168.0,149488.0,1137497.0,0.253850321,0.250112,0.00397,100.0,12164.0
