Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,838563212.0,3072000335.0,376520.0,3324331.0,0.205891327,0.205963,0.0,100.0,12272.0
2,831296278.0,3071859123.0,278179.0,2942028.0,0.203215842,0.203356,0.0,99.0,12212.0
3,822894199.0,3071439969.0,275450.0,3014840.0,0.201854772,0.201985,0.0,99.0,12272.0
4,847980623.0,3071715102.0,249177.0,2518542.0,0.207379228,0.207381,0.0,99.0,12164.0
5,840955871.0,3071302998.0,305596.0,3170102.0,0.206716925,0.206882,0.0,100.0,12232.0
6,806338885.0,3071409517.0,268907.0,2677400.0,0.196080776,0.196202,0.0,100.0,12228.0
7,830119529.0,3071376714.0,320934.0,3151016.0,0.212811778,0.208965,0.003942,100.0,12224.0
8,811077666.0,3071452388.0,254963.0,2632250.0,0.198467886,0.198638,0.0,99.0,12272.0
9,866951158.0,3071571829.0,379003.0,3548058.0,0.212174406,0.208315,0.004006,100.0,12300.0
10,814158593.0,3071264767.0,255078.0,2699876.0,0.198829878,0.19899,0.0,100.0,12192.0
11,816274505.0,3071482736.0,271558.0,3369751.0,0.199814223,0.195959,0.003999,100.0,12184.0
12,825041047.0,3071422508.0,329782.0,3037239.0,0.201825656,0.201958,0.0,99.0,12300.0
13,818030564.0,3071299873.0,259245.0,2860747.0,0.199849634,0.200016,0.0,100.0,12292.0
14,820064989.0,3071414076.0,276842.0,2884099.0,0.200596099,0.196756,0.004015,100.0,12168.0
15,803679502.0,3071495644.0,256757.0,2630766.0,0.196744348,0.189022,0.007875,100.0,12168.0
16,806517995.0,3071631345.0,252765.0,2525503.0,0.196185128,0.196327,0.0,99.0,12164.0
17,837037759.0,3071558046.0,352183.0,3236777.0,0.204331431,0.204431,0.0,99.0,12284.0
18,834126699.0,3071339241.0,254988.0,2627973.0,0.203873621,0.200004,0.004,99.0,12192.0
19,802973022.0,3071245110.0,266652.0,2602258.0,0.210806084,0.206983,0.00398,100.0,12268.0
20,847940994.0,3071352643.0,276617.0,3307602.0,0.207339017,0.207502,0.0,100.0,12252.0
21,815079080.0,3071550021.0,255678.0,2825417.0,0.199929401,0.196012,0.004,99.0,12296.0
22,859900394.0,3071438166.0,389754.0,3645055.0,0.210414974,0.202562,0.007943,99.0,12280.0
23,838769870.0,3071686562.0,363187.0,3110243.0,0.204327595,0.204455,0.0,100.0,12272.0
24,833417648.0,3071238606.0,312884.0,3161551.0,0.204109345,0.196236,0.008009,99.0,12228.0
25,813442560.0,3071638169.0,284597.0,2722276.0,0.198977187,0.191138,0.007964,100.0,12288.0
26,891906182.0,3071982817.0,391054.0,3767028.0,0.217449687,0.213443,0.003952,99.0,12220.0
27,826847552.0,3073498806.0,324468.0,3121032.0,0.203337178,0.194612,0.007943,99.0,12272.0
28,850997938.0,3071740587.0,357844.0,3396755.0,0.208241515,0.204433,0.004008,99.0,12228.0
29,831539984.0,3071772308.0,313360.0,2881131.0,0.202554399,0.202716,0.0,99.0,12172.0
30,809967669.0,3071460794.0,262787.0,2769792.0,0.198054027,0.194125,0.004044,100.0,12296.0
31,822803805.0,3071440750.0,294538.0,3171890.0,0.201300537,0.201346,0.0,99.0,12184.0
32,848346196.0,3074059068.0,418892.0,3398917.0,0.208929526,0.207906,0.0,99.0,12300.0
33,806229305.0,3071376776.0,232894.0,2516158.0,0.197625204,0.197761,0.0,99.0,12280.0
