Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,787172419.0,3071814280.0,256078.0,2488161.0,0.184999408,0.185284,0.0,99.0,12248.0
2,784039886.0,3071668024.0,231628.0,2463949.0,0.184467072,0.18471,0.0,99.0,12228.0
3,788470587.0,3071934147.0,241085.0,2519283.0,0.18622388,0.177993,0.00791,100.0,12184.0
4,803706877.0,3073788808.0,282893.0,2592686.0,0.189989624,0.185376,0.003944,99.0,12184.0
5,784623014.0,3071655421.0,227964.0,2412465.0,0.184707329,0.184881,0.0,99.0,12292.0
6,792976049.0,3071663806.0,228123.0,2427772.0,0.219399629,0.219618,0.0,100.0,12260.0
7,788461468.0,3071703165.0,226521.0,2434039.0,0.185904772,0.186089,0.0,100.0,12280.0
8,798189309.0,3073830030.0,289963.0,2616984.0,0.188968325,0.188065,0.0,99.0,12304.0
9,788218007.0,3071721371.0,227679.0,2463836.0,0.185549206,0.177908,0.007907,99.0,12300.0
10,791092269.0,3071694643.0,231062.0,2453052.0,0.186022735,0.174673,0.011644,99.0,12296.0
11,789262807.0,3071696053.0,230372.0,2417839.0,0.186788763,0.186983,0.0,99.0,12284.0
12,788103437.0,3071676304.0,226040.0,2416846.0,0.218274405,0.214632,0.003974,100.0,12280.0
13,788752174.0,3071720291.0,239963.0,2433364.0,0.215943636,0.216156,0.0,100.0,12172.0
14,790773942.0,3071700548.0,247529.0,2462947.0,0.218419816,0.218659,0.0,99.0,12228.0
15,794981910.0,3071713710.0,239684.0,2446114.0,0.218194157,0.214114,0.003965,99.0,12232.0
16,784596707.0,3071670945.0,232729.0,2447921.0,0.184826412,0.177209,0.007875,99.0,12268.0
17,788135191.0,3072288056.0,222861.0,2385109.0,0.185509677,0.186323,0.0,100.0,12264.0
18,792675837.0,3071811118.0,233520.0,2608618.0,0.186899185,0.183107,0.00398,100.0,12212.0
19,790506895.0,3071726163.0,229632.0,2412928.0,0.218129204,0.214603,0.003974,100.0,12296.0
20,803285952.0,3071911241.0,265964.0,2508896.0,0.219211408,0.215315,0.003987,100.0,12268.0
21,790058755.0,3071682335.0,243157.0,2464564.0,0.218187314,0.214522,0.003972,99.0,12284.0
22,789438611.0,3071652657.0,240478.0,2455121.0,0.219398165,0.215819,0.003996,100.0,12220.0
23,785918699.0,3071678269.0,226841.0,2653439.0,0.184984255,0.185193,0.0,100.0,12280.0
24,789004918.0,3071622665.0,226376.0,2438861.0,0.185775497,0.182014,0.003956,100.0,12216.0
25,796636108.0,3071759115.0,228656.0,2532665.0,0.188280034,0.188492,0.0,99.0,12184.0
26,802051890.0,3073721418.0,284301.0,2581437.0,0.189433056,0.188771,0.0,99.0,12276.0
