Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,795580853.0,3072346507.0,255006.0,2512419.0,0.187355601,0.179694,0.007986,100.0,12260.0
2,786795628.0,3072481386.0,209897.0,2364318.0,0.18552951,0.181759,0.003951,100.0,12228.0
3,792543415.0,3072173054.0,230101.0,2417954.0,0.217921084,0.210477,0.007942,99.0,12284.0
4,790312207.0,3072184453.0,232752.0,2454145.0,0.220084863,0.220305,0.0,100.0,12248.0
5,789055379.0,3072116512.0,226309.0,2461615.0,0.184789254,0.185067,0.0,99.0,12252.0
6,790181948.0,3072440960.0,224791.0,2454854.0,0.186293304,0.182761,0.003973,99.0,12220.0
7,791784411.0,3072251951.0,244875.0,2484692.0,0.218923738,0.219153,0.0,100.0,12192.0
8,794104855.0,3072242760.0,241973.0,2473226.0,0.216354877,0.216632,0.0,100.0,12272.0
9,792591567.0,3072187874.0,230497.0,2481904.0,0.186727722,0.182932,0.003976,100.0,12240.0
10,788984349.0,3072138970.0,232263.0,2475145.0,0.185994869,0.186123,0.0,100.0,12304.0
11,793634192.0,3072212112.0,224008.0,2641743.0,0.220057137,0.215883,0.003997,99.0,12268.0
12,812152657.0,3074287196.0,279622.0,2598864.0,0.191536629,0.186793,0.00406,99.0,12212.0
13,790012962.0,3072119962.0,230781.0,2492699.0,0.186137836,0.182261,0.00405,100.0,12300.0
14,800748142.0,3074239331.0,282586.0,2605251.0,0.189454707,0.184831,0.004018,99.0,12300.0
15,793578681.0,3072116430.0,241314.0,2524439.0,0.187241481,0.17968,0.007812,100.0,12280.0
16,791224713.0,3072185378.0,235499.0,2481524.0,0.20069712,0.196979,0.004019,99.0,12260.0
17,797096388.0,3072142130.0,226313.0,2534367.0,0.188370478,0.184626,0.004013,100.0,12216.0
18,800451246.0,3072162769.0,227411.0,2468357.0,0.188186655,0.184369,0.004008,99.0,12300.0
19,790241728.0,3072087088.0,230995.0,2459250.0,0.186345198,0.178581,0.007936,100.0,12276.0
20,795590480.0,3072265949.0,237832.0,2442256.0,0.214713031,0.214907,0.0,100.0,12136.0
21,794416746.0,3072195463.0,241990.0,2465441.0,0.219632638,0.212027,0.008001,99.0,12276.0
22,796494569.0,3072409675.0,244804.0,2513709.0,0.186801197,0.182973,0.003977,100.0,12260.0
23,795140033.0,3072146136.0,225178.0,2438628.0,0.221264848,0.213495,0.008056,100.0,12220.0
24,799280946.0,3074590696.0,281357.0,2541966.0,0.188561289,0.183876,0.004086,99.0,12268.0
25,793183179.0,3072132383.0,234076.0,2479317.0,0.18583151,0.182061,0.003957,99.0,12288.0
26,790233410.0,3072190858.0,223563.0,2465252.0,0.185707681,0.181841,0.00404,100.0,12188.0
27,804967894.0,3072143215.0,232111.0,2479905.0,0.189110317,0.189294,0.0,100.0,12300.0
28,788905010.0,3072107428.0,233070.0,2433917.0,0.18575168,0.182086,0.003958,100.0,12228.0
29,792254526.0,3072508284.0,222745.0,2391027.0,0.218295652,0.214547,0.003973,100.0,12188.0
30,790914440.0,3072141352.0,229196.0,2429884.0,0.1868936,0.183268,0.003984,99.0,12184.0
31,790850352.0,3072251908.0,235873.0,2479470.0,0.186013799,0.182267,0.003962,99.0,12268.0
32,793600376.0,3072201874.0,235817.0,2465859.0,0.217729373,0.213981,0.004037,100.0,12172.0
33,793339284.0,3072162711.0,224266.0,2451208.0,0.186720042,0.186864,0.0,100.0,12284.0
34,788836683.0,3072186298.0,230488.0,2503062.0,0.18596945,0.182176,0.00396,99.0,12228.0
35,796108023.0,3072176905.0,249880.0,2568622.0,0.187036009,0.182981,0.003977,100.0,12288.0
36,794185839.0,3072279219.0,243711.0,2531827.0,0.219495122,0.215778,0.003995,100.0,12296.0
37,795382781.0,3072229312.0,238356.0,2471777.0,0.218262059,0.214722,0.003976,100.0,12256.0
38,792473212.0,3072231268.0,230422.0,2469355.0,0.219978359,0.216245,0.004004,100.0,12184.0
39,797774440.0,3072380039.0,241262.0,2484624.0,0.188973149,0.185183,0.004025,100.0,12260.0
40,789832842.0,3072109311.0,229537.0,2445167.0,0.186347715,0.182552,0.004056,99.0,12296.0
41,796419598.0,3072169342.0,228604.0,2494099.0,0.207725263,0.208239,0.0,100.0,12260.0
42,792084632.0,3072149275.0,229357.0,3027291.0,0.186222908,0.182472,0.003966,99.0,12268.0
43,789387065.0,3072125521.0,228918.0,2469030.0,0.185261182,0.185461,0.0,100.0,12184.0
44,788513902.0,3072152792.0,233633.0,2445101.0,0.185692108,0.181924,0.003954,99.0,12224.0
45,788686452.0,3072104790.0,220913.0,2470088.0,0.185674717,0.181919,0.003954,99.0,12296.0
46,797465882.0,3072124696.0,230638.0,2469223.0,0.187278781,0.18747,0.0,100.0,12220.0
47,792534521.0,3072195875.0,231033.0,2507911.0,0.208905385,0.205109,0.004021,100.0,12228.0
48,789456446.0,3072204541.0,235735.0,2449014.0,0.217660861,0.218031,0.0,100.0,12228.0
49,789867464.0,3072171577.0,225019.0,2454490.0,0.187104944,0.183326,0.003985,99.0,12232.0
50,793617498.0,3072179399.0,237206.0,2453414.0,0.220565174,0.220867,0.0,99.0,12208.0
51,791153991.0,3072151556.0,229240.0,2442943.0,0.185643149,0.185827,0.0,100.0,12228.0
52,787960926.0,3072124355.0,222982.0,2466908.0,0.185605575,0.181904,0.003954,99.0,12184.0
53,790683742.0,3072142119.0,223995.0,2634919.0,0.186515408,0.186699,0.0,100.0,12136.0
54,790294766.0,3072086320.0,235939.0,2459991.0,0.186683238,0.186879,0.0,99.0,12220.0
55,789601686.0,3072107640.0,228183.0,2478289.0,0.186437883,0.178679,0.007941,100.0,12272.0
56,795115576.0,3072158248.0,243814.0,2489480.0,0.21794442,0.218816,0.0,100.0,12276.0
57,790885302.0,3072116663.0,231895.0,2434947.0,0.186153557,0.18633,0.0,99.0,12216.0
58,798753606.0,3072339066.0,248937.0,2493612.0,0.214982068,0.211304,0.003986,100.0,12180.0
59,790472131.0,3072272352.0,235149.0,2506834.0,0.185854283,0.186028,0.0,100.0,12280.0
60,792100317.0,3072181536.0,242126.0,2472645.0,0.21715744,0.2097,0.007913,99.0,12184.0
