Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,817956588.0,2941895933.0,319526.0,2714901.0,0.199320169,0.199439,0.0,99.0,12284.0
2,779489363.0,2941010559.0,206329.0,2061936.0,0.191216268,0.187375,0.003986,99.0,12284.0
3,769102261.0,2940889185.0,199766.0,2040828.0,0.18932259,0.18947,0.0,99.0,12196.0
4,765659903.0,2941136786.0,210893.0,1790040.0,0.187650797,0.183715,0.003993,100.0,12220.0
5,799773011.0,2941213907.0,293956.0,2469886.0,0.195452359,0.195513,0.0,99.0,12164.0
6,760578111.0,2941175984.0,202337.0,1713021.0,0.185232959,0.181343,0.004029,99.0,12176.0
7,760978342.0,2941072948.0,191848.0,1704374.0,0.185331579,0.185454,0.0,99.0,12272.0
8,807779495.0,2942501661.0,287084.0,2615263.0,0.197541808,0.193137,0.003941,99.0,12272.0
9,783481973.0,2941077016.0,211380.0,2241511.0,0.192247063,0.192379,0.0,100.0,12256.0
10,793500249.0,2942290814.0,291801.0,3099954.0,0.193580545,0.185598,0.008069,99.0,12272.0
11,773957961.0,2941265943.0,217680.0,2090373.0,0.189358284,0.185334,0.004029,99.0,12184.0
12,771795856.0,2941426121.0,232876.0,1967160.0,0.189074941,0.185174,0.004025,99.0,12284.0
13,768994620.0,2941232299.0,225638.0,1898908.0,0.188160298,0.184284,0.004006,100.0,12272.0
14,782257288.0,2941142992.0,233986.0,2214513.0,0.190882297,0.191032,0.0,88.0,12280.0
15,780315136.0,2941084890.0,237112.0,2114717.0,0.19089857,0.191069,0.0,100.0,12260.0
16,770753398.0,2941438290.0,220073.0,1957439.0,0.188633265,0.184673,0.003929,100.0,12296.0
17,760910228.0,2941154276.0,210388.0,1758944.0,0.186197969,0.186364,0.0,99.0,12268.0
18,787980598.0,2941037702.0,234037.0,2163385.0,0.193045568,0.193141,0.0,100.0,12192.0
19,757406614.0,2941188410.0,195924.0,1733896.0,0.184809872,0.180856,0.004019,100.0,12300.0
20,769913095.0,2941145789.0,207327.0,1988191.0,0.190812809,0.186986,0.003978,99.0,12280.0
21,772606322.0,2941441250.0,230680.0,2027519.0,0.189226572,0.181679,0.007731,99.0,12184.0
22,841996922.0,2941340736.0,273292.0,2835684.0,0.20506793,0.205079,0.0,100.0,12276.0
23,821668118.0,2941111345.0,254637.0,2892400.0,0.201547365,0.193519,0.008063,100.0,12272.0
24,762373524.0,2941072504.0,201366.0,1764635.0,0.187380947,0.187473,0.0,99.0,12244.0
25,769633318.0,2940961609.0,230107.0,1993199.0,0.188406499,0.184539,0.004011,100.0,12260.0
26,795374840.0,2941331447.0,267027.0,2366174.0,0.196562857,0.196486,0.0,100.0,12184.0
27,796219768.0,2941126176.0,237289.0,2527917.0,0.195275264,0.191102,0.003981,99.0,12212.0
28,765391029.0,2941171727.0,190642.0,1746832.0,0.187763194,0.187791,0.0,99.0,12296.0
29,783132431.0,2941411578.0,208131.0,1668991.0,0.191981823,0.192145,0.0,100.0,12212.0
30,758755300.0,2941215587.0,194532.0,1725718.0,0.185146516,0.185285,0.0,100.0,12264.0
31,758399407.0,2941157002.0,204177.0,1708387.0,0.196011743,0.188307,0.007846,100.0,12232.0
32,766690949.0,2941166730.0,225934.0,1891814.0,0.187025952,0.17918,0.007963,99.0,12160.0
33,772953493.0,2941196649.0,237653.0,1964788.0,0.189266324,0.185352,0.004029,100.0,12228.0
34,820112669.0,2941289381.0,316225.0,2758112.0,0.199977689,0.192023,0.008,100.0,12188.0
35,758005718.0,2941195795.0,191061.0,1752923.0,0.184766514,0.184905,0.0,100.0,12288.0
36,769438912.0,2941156622.0,214202.0,1981746.0,0.187771302,0.187975,0.0,100.0,12256.0
37,812241645.0,2941206314.0,308388.0,2638828.0,0.198692053,0.198796,0.0,99.0,12252.0
38,759694982.0,2941043641.0,200998.0,1739480.0,0.186157409,0.186114,0.0,100.0,12248.0
39,758638864.0,2941221122.0,211350.0,1691861.0,0.184502517,0.173161,0.011544,100.0,12264.0
40,765719406.0,2941360080.0,205649.0,1801008.0,0.18627139,0.182476,0.003966,100.0,12224.0
41,801460810.0,2941164311.0,288524.0,2483842.0,0.196207309,0.192405,0.004008,100.0,12256.0
42,807017756.0,2941111305.0,231995.0,2410388.0,0.197349217,0.193549,0.003949,99.0,12184.0
43,783254705.0,2941211057.0,252117.0,2113750.0,0.191271409,0.191272,0.0,99.0,12276.0
44,757341801.0,2941194747.0,204793.0,1756581.0,0.194593974,0.194744,0.0,100.0,12184.0
45,757900960.0,2941205894.0,198874.0,1711559.0,0.185114681,0.185283,0.0,100.0,12272.0
46,764216851.0,2941267449.0,212301.0,1769367.0,0.200093638,0.200175,0.0,99.0,12164.0
47,765468109.0,2941152630.0,209852.0,1780370.0,0.187980278,0.18412,0.004002,100.0,12280.0
48,767186461.0,2940911891.0,225309.0,1832077.0,0.187786468,0.179939,0.007997,100.0,12224.0
49,792214203.0,2940908107.0,218561.0,2577770.0,0.194617865,0.194657,0.0,100.0,12164.0
50,828209628.0,2941338129.0,301634.0,2791417.0,0.204471368,0.200126,0.004002,99.0,12260.0
51,803662125.0,2943344066.0,354594.0,2804947.0,0.196111148,0.196237,0.0,100.0,12280.0
52,855875934.0,2941234453.0,265010.0,2791751.0,0.208737285,0.200906,0.007878,100.0,12264.0
53,821364337.0,2941252987.0,328677.0,3304218.0,0.19996311,0.196238,0.003924,100.0,12228.0
54,832402111.0,2944939225.0,471482.0,3646382.0,0.211529474,0.211689,0.0,100.0,12216.0
55,796436850.0,2941249451.0,281739.0,2429631.0,0.194495438,0.194586,0.0,100.0,12268.0
56,975729649.0,2941247620.0,406652.0,4198718.0,0.238470518,0.238523,0.0,100.0,12292.0
57,792053650.0,2941274417.0,212307.0,2552262.0,0.193920088,0.190135,0.003961,100.0,12280.0
58,810316848.0,2941176892.0,275448.0,2560118.0,0.199220142,0.195101,0.003981,99.0,12256.0
59,843827385.0,2941429964.0,268124.0,12482706.0,0.206916245,0.206866,0.0,99.0,12164.0
60,778104015.0,2941207801.0,251651.0,2057543.0,0.190720308,0.186783,0.003974,99.0,12256.0
61,775330336.0,2941290151.0,237722.0,2072521.0,0.189822078,0.189808,0.0,100.0,12284.0
62,830430740.0,2941184029.0,311856.0,2923083.0,0.204129857,0.204336,0.0,99.0,12296.0
63,769374484.0,2941200310.0,205647.0,1965696.0,0.188256025,0.188322,0.0,100.0,12276.0
64,786168711.0,2941350485.0,211606.0,2193426.0,0.193602872,0.193658,0.0,99.0,12300.0
65,812822117.0,2941255398.0,266590.0,2660327.0,0.19931723,0.199444,0.0,100.0,12300.0
66,789610702.0,2941248338.0,233738.0,2398545.0,0.194048884,0.190222,0.003962,99.0,12280.0
67,827635007.0,2941207828.0,310600.0,2879479.0,0.202429293,0.19845,0.003969,99.0,12192.0
68,764821399.0,2941337762.0,212540.0,1860942.0,0.187260789,0.187386,0.0,100.0,12264.0
