Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,745775881.0,2941453616.0,206421.0,1703356.0,0.208962273,0.209356,0.0,99.0,12184.0
2,750915954.0,2941274932.0,196368.0,1773799.0,0.209021429,0.205315,0.004025,99.0,12188.0
3,746567796.0,2941242759.0,195440.0,1701028.0,0.207582822,0.199857,0.007994,100.0,12228.0
4,745704794.0,2941279467.0,189393.0,1685792.0,0.207190589,0.207407,0.0,99.0,12224.0
5,749062965.0,2941263644.0,192645.0,1686837.0,0.204738365,0.200967,0.004019,99.0,12224.0
6,750768678.0,2941278125.0,197268.0,1679044.0,0.208214614,0.204554,0.00401,100.0,12260.0
7,746224640.0,2941415363.0,194981.0,1686755.0,0.175760825,0.171935,0.003998,99.0,12296.0
8,745687866.0,2941173568.0,182115.0,1678869.0,0.175203556,0.175403,0.0,99.0,12280.0
9,746477767.0,2941250890.0,189549.0,1670446.0,0.209933218,0.206418,0.003969,99.0,12300.0
10,751527513.0,2941310800.0,185458.0,1693487.0,0.177131407,0.173291,0.00403,100.0,12272.0
11,759505113.0,2941300542.0,197176.0,1675510.0,0.211606286,0.207945,0.004077,99.0,12156.0
12,751913065.0,2941417922.0,194777.0,1694440.0,0.209505367,0.205651,0.004032,100.0,12220.0
13,752099729.0,2941247180.0,192199.0,1684649.0,0.20834068,0.204619,0.004012,100.0,12284.0
14,744745617.0,2941367402.0,181232.0,1630462.0,0.175635041,0.175905,0.0,99.0,12264.0
15,745113324.0,2941211528.0,193447.0,1686836.0,0.17493718,0.175207,0.0,100.0,12196.0
16,756724138.0,2941368065.0,207738.0,1739338.0,0.202202193,0.194662,0.007945,99.0,12228.0
17,747568423.0,2941229974.0,192861.0,1696495.0,0.176132596,0.172287,0.004006,99.0,12280.0
18,751394400.0,2941204185.0,194011.0,1668343.0,0.211639391,0.208048,0.004,99.0,12300.0
19,749716540.0,2941261999.0,201518.0,1680149.0,0.206278664,0.202607,0.003972,100.0,12252.0
20,751863316.0,2941250972.0,197388.0,1697548.0,0.208682489,0.20886,0.0,100.0,12264.0
21,747789309.0,2941232356.0,188753.0,1671082.0,0.176725905,0.17689,0.0,100.0,12228.0
22,745478967.0,2941216772.0,186584.0,1665209.0,0.176046412,0.172235,0.004005,100.0,12168.0
23,745631582.0,2941299640.0,182343.0,1659030.0,0.174950799,0.171247,0.003982,100.0,12204.0
24,746400638.0,2941329213.0,194868.0,1698293.0,0.176186935,0.172321,0.004007,99.0,12256.0
25,742095809.0,2941242047.0,186724.0,1653551.0,0.174206144,0.170351,0.004055,100.0,12296.0
26,747993329.0,2941238394.0,188798.0,1670572.0,0.176442207,0.172611,0.004014,99.0,12192.0
27,746056031.0,2941240569.0,185343.0,1667475.0,0.175693641,0.171954,0.003998,99.0,12284.0
28,747170093.0,2941250992.0,195238.0,1717845.0,0.210682907,0.206993,0.00398,100.0,12220.0
29,747870061.0,2941349140.0,189442.0,1696928.0,0.176599492,0.176751,0.0,100.0,12272.0
30,745165777.0,2941224459.0,189851.0,1682307.0,0.174891085,0.175171,0.0,99.0,12260.0
31,745294155.0,2941208887.0,184173.0,1648141.0,0.17544647,0.17165,0.003991,99.0,12184.0
32,748503986.0,2941247616.0,190263.0,1668001.0,0.209634927,0.206007,0.003961,100.0,12248.0
33,745976806.0,2941368231.0,195081.0,1665579.0,0.175385847,0.171636,0.003991,100.0,12292.0
34,757825339.0,2943144304.0,235646.0,1836736.0,0.179241548,0.174886,0.003974,99.0,12220.0
35,750066269.0,2941367935.0,200537.0,1732400.0,0.202639128,0.202815,0.0,100.0,12228.0
36,749164873.0,2941274511.0,197953.0,1673629.0,0.207630251,0.203862,0.003997,99.0,12296.0
37,748047348.0,2941209030.0,189849.0,1688483.0,0.209040013,0.205303,0.004025,100.0,12280.0
38,745296272.0,2941186480.0,181194.0,1735565.0,0.176492635,0.172671,0.004015,99.0,12232.0
39,748725642.0,2941570106.0,183363.0,1573564.0,0.210006279,0.210694,0.0,100.0,12164.0
40,747687409.0,2941281595.0,190815.0,1654730.0,0.176152854,0.176361,0.0,99.0,12228.0
41,749563685.0,2941241065.0,198331.0,1710336.0,0.208876234,0.201239,0.007891,100.0,12172.0
42,743695750.0,2941239951.0,190427.0,1666237.0,0.17470852,0.170988,0.003976,100.0,12300.0
43,746969219.0,2941252728.0,196404.0,1674604.0,0.209392786,0.209651,0.0,99.0,12280.0
44,747290133.0,2941253958.0,189643.0,1653827.0,0.201200663,0.197503,0.00403,99.0,12228.0
45,748506375.0,2941237044.0,203524.0,1700269.0,0.207200445,0.20353,0.00399,100.0,12300.0
46,744585342.0,2941257784.0,187550.0,1681429.0,0.175559616,0.171831,0.003996,99.0,12260.0
47,747170263.0,2941201560.0,186988.0,1671441.0,0.176065343,0.172233,0.004005,100.0,12192.0
48,763427912.0,2941297959.0,197924.0,1678846.0,0.179758102,0.175998,0.003999,99.0,12176.0
49,751351253.0,2941281381.0,194772.0,1661410.0,0.210872741,0.203394,0.007976,99.0,12180.0
50,746513608.0,2941256258.0,191244.0,1705108.0,0.176662703,0.172917,0.004021,99.0,12168.0
51,749409081.0,2941268427.0,195751.0,1841357.0,0.20891409,0.209241,0.0,99.0,12300.0
52,745329650.0,2941224936.0,191577.0,1681765.0,0.17595178,0.172206,0.004004,99.0,12192.0
53,754626953.0,2941438956.0,201884.0,1690105.0,0.212257431,0.208603,0.004011,99.0,12184.0
54,746620861.0,2941219701.0,187987.0,1929184.0,0.17616885,0.172301,0.004007,100.0,12268.0
55,747510931.0,2941301625.0,200569.0,1714892.0,0.206482749,0.20661,0.0,100.0,12224.0
56,754027199.0,2941237575.0,187789.0,1732594.0,0.177929708,0.17808,0.0,99.0,12184.0
57,753508155.0,2941184973.0,201923.0,1722313.0,0.206812824,0.203033,0.003981,100.0,12280.0
58,772118282.0,2941221546.0,196433.0,15360614.0,0.182038447,0.182157,0.0,99.0,12276.0
59,746070490.0,2941305781.0,198224.0,1676960.0,0.21040068,0.202956,0.007806,99.0,12184.0
60,746419714.0,2941191974.0,189579.0,1664350.0,0.175974271,0.168392,0.007832,99.0,12272.0
61,746492856.0,2941253899.0,198924.0,1720804.0,0.207247452,0.203531,0.00399,99.0,12272.0
62,746450238.0,2941189687.0,191472.0,1693418.0,0.175247284,0.175424,0.0,99.0,12232.0
63,749028970.0,2941243873.0,187334.0,1633383.0,0.176860218,0.173236,0.003937,100.0,12272.0
64,747810285.0,2941248049.0,196636.0,1707152.0,0.208288937,0.208534,0.0,100.0,12216.0
65,749500845.0,2941582501.0,206923.0,1720871.0,0.210114469,0.202413,0.007937,100.0,12220.0
66,752655835.0,2941210536.0,192064.0,1725323.0,0.177963024,0.178134,0.0,100.0,12160.0
67,746431120.0,2941208943.0,192784.0,1663258.0,0.17653657,0.176773,0.0,99.0,12296.0
68,755648843.0,2943167001.0,226176.0,1804919.0,0.1789119,0.170086,0.007731,99.0,12272.0
69,754579234.0,2941474096.0,194834.0,1695808.0,0.205796275,0.202066,0.003962,99.0,12164.0
70,746623652.0,2941370848.0,173103.0,1566706.0,0.207134309,0.199384,0.007975,100.0,12296.0
71,751919418.0,2941241757.0,194485.0,1672409.0,0.209299971,0.205722,0.003956,100.0,12216.0
72,746369793.0,2941223939.0,189821.0,1676714.0,0.176480418,0.176659,0.0,99.0,12212.0
73,748085050.0,2941309203.0,189029.0,1709028.0,0.175932228,0.176074,0.0,100.0,12268.0
74,749106669.0,2941360812.0,204309.0,1679138.0,0.190559252,0.182794,0.007947,99.0,12304.0
75,756074811.0,2943153229.0,230471.0,1777598.0,0.178479857,0.170022,0.007908,98.0,12296.0
76,746811027.0,2941388573.0,199101.0,1672377.0,0.175657818,0.168036,0.007815,99.0,12280.0
77,756514883.0,2943505157.0,232529.0,1837658.0,0.179366153,0.170733,0.007941,99.0,12212.0
78,745643976.0,2941316568.0,188553.0,1687024.0,0.175976159,0.176339,0.0,100.0,12192.0
79,749196683.0,2941271682.0,191239.0,1700879.0,0.176869509,0.165349,0.011536,99.0,12212.0
80,746767512.0,2941403592.0,195067.0,1683591.0,0.17609929,0.176266,0.0,100.0,12192.0
81,749544330.0,2941336696.0,195338.0,1734088.0,0.211350327,0.20366,0.007986,100.0,12260.0
