Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,748159061.0,2941740058.0,197799.0,1724557.0,0.176784594,0.176975,0.0,100.0,12260.0
2,745561387.0,2941541856.0,188808.0,1700794.0,0.176177107,0.172433,0.00401,100.0,12188.0
3,753888163.0,2943550346.0,220826.0,1804091.0,0.178191633,0.177525,0.0,99.0,12296.0
4,746390193.0,2941549862.0,197773.0,1689922.0,0.185723196,0.182001,0.003956,99.0,12192.0
5,745033441.0,2941583867.0,185330.0,1660982.0,0.17572949,0.175903,0.0,99.0,12236.0
6,742714318.0,2941729080.0,173008.0,1654910.0,0.175414782,0.175577,0.0,99.0,12284.0
7,743465447.0,2941720586.0,174408.0,1602529.0,0.175398788,0.17605,0.0,100.0,12280.0
8,743861487.0,2941589794.0,196131.0,1700476.0,0.175330482,0.175507,0.0,100.0,12216.0
9,745479543.0,2941579234.0,182739.0,1688285.0,0.175972471,0.17624,0.0,100.0,12160.0
10,744595457.0,2941614737.0,188150.0,1680163.0,0.192368323,0.192611,0.0,99.0,12248.0
11,749280052.0,2941724514.0,202308.0,1746001.0,0.176253446,0.176436,0.0,100.0,12192.0
12,753378244.0,2941661141.0,201916.0,1725049.0,0.213164435,0.201643,0.011861,99.0,12216.0
13,745798538.0,2941709971.0,180080.0,1584091.0,0.206598789,0.202841,0.003977,99.0,12300.0
14,746181546.0,2941565111.0,201368.0,1682869.0,0.17571245,0.172066,0.00391,100.0,12184.0
15,744572263.0,2941556022.0,194694.0,1690098.0,0.175921277,0.176101,0.0,100.0,12264.0
16,749084215.0,2941572953.0,194603.0,1682530.0,0.177234938,0.177419,0.0,100.0,12216.0
17,756851796.0,2941596394.0,193851.0,1684390.0,0.179775024,0.18,0.0,99.0,12188.0
18,747502728.0,2941564109.0,191629.0,1689943.0,0.176343613,0.176568,0.0,100.0,12296.0
19,747258625.0,2941543147.0,190702.0,1772778.0,0.17507549,0.175254,0.0,99.0,12300.0
20,744815529.0,2941504112.0,184972.0,1680025.0,0.174800871,0.171126,0.003979,99.0,12276.0
21,754387874.0,2941611194.0,194657.0,1699503.0,0.210290155,0.210568,0.0,100.0,12216.0
22,741988375.0,2941542524.0,187695.0,1679364.0,0.175692196,0.171882,0.003997,100.0,12212.0
23,743781583.0,2941536788.0,189386.0,1675829.0,0.17477943,0.174932,0.0,98.0,12212.0
24,746614566.0,2941579476.0,196098.0,1689794.0,0.217920894,0.214361,0.003969,91.0,12276.0
25,744790849.0,2941653604.0,183778.0,1683382.0,0.175122075,0.175327,0.0,100.0,12280.0
26,742942760.0,2941536546.0,193184.0,1667978.0,0.176175084,0.172347,0.004008,100.0,12220.0
27,746549892.0,2941715892.0,180072.0,1579399.0,0.207308945,0.20755,0.0,100.0,12192.0
28,747556491.0,2941713224.0,186663.0,1694877.0,0.175569205,0.171757,0.003994,100.0,12276.0
29,745547351.0,2941603694.0,198814.0,1671508.0,0.208499335,0.204869,0.004017,100.0,12264.0
30,742889394.0,2941530161.0,186351.0,1675469.0,0.174238713,0.174397,0.0,99.0,12232.0
31,742132899.0,2941548217.0,186840.0,1665223.0,0.174622774,0.170836,0.003972,99.0,12176.0
32,745498886.0,2941604496.0,197724.0,1707131.0,0.20882012,0.20115,0.008046,99.0,12224.0
33,758831867.0,2941588513.0,192009.0,2288307.0,0.178843193,0.171206,0.007782,99.0,12276.0
34,748896136.0,2941654048.0,195532.0,1726712.0,0.210327662,0.210644,0.0,100.0,12300.0
35,742420605.0,2941545165.0,190548.0,1704953.0,0.17521804,0.171712,0.003993,99.0,12216.0
36,750542897.0,2941569773.0,200986.0,1702798.0,0.205751189,0.198101,0.007924,99.0,12164.0
37,743756443.0,2941583228.0,191573.0,1686795.0,0.177599655,0.177714,0.0,99.0,12164.0
38,758899972.0,2941512954.0,189030.0,1660841.0,0.178312464,0.178585,0.0,100.0,12188.0
39,744885146.0,2941543682.0,181687.0,1683448.0,0.175058311,0.175219,0.0,99.0,12284.0
40,760595267.0,2941760725.0,205425.0,1731511.0,0.228192713,0.217108,0.01163,83.0,12196.0
41,754489944.0,2941620463.0,192881.0,1672792.0,0.212154872,0.204505,0.008019,100.0,12264.0
42,743072428.0,2941604384.0,189667.0,1701771.0,0.174139119,0.170468,0.003964,100.0,12164.0
43,745554626.0,2941579751.0,196520.0,1720764.0,0.175058661,0.175233,0.0,99.0,12296.0
44,742329364.0,2941584208.0,190012.0,1698210.0,0.174550141,0.174763,0.0,99.0,12268.0
45,748788159.0,2941590496.0,195461.0,1693177.0,0.205271934,0.205491,0.0,99.0,12160.0
46,748385138.0,2941559784.0,192735.0,1718788.0,0.177029954,0.169326,0.008063,100.0,12224.0
47,745476004.0,2941542398.0,189275.0,1669847.0,0.175152668,0.171319,0.003984,99.0,12252.0
48,748671397.0,2941713103.0,198958.0,1692778.0,0.204945492,0.201176,0.004023,100.0,12220.0
49,743414390.0,2941549262.0,186518.0,1679412.0,0.175875745,0.172072,0.004001,99.0,12164.0
50,743931161.0,2941545157.0,197445.0,1704058.0,0.175713292,0.175947,0.0,100.0,12164.0
51,755092674.0,2941613863.0,204468.0,1708843.0,0.205152225,0.205345,0.0,86.0,12276.0
52,744236615.0,2941551097.0,190648.0,1995588.0,0.175402006,0.171709,0.003993,100.0,12276.0
53,744379675.0,2941586440.0,200162.0,1700862.0,0.174968985,0.171121,0.003979,99.0,12216.0
54,751719164.0,2941746344.0,175355.0,1587553.0,0.207270188,0.207518,0.0,100.0,12188.0
55,746213929.0,2941719789.0,201101.0,1680715.0,0.208936131,0.20922,0.0,100.0,12272.0
56,746150368.0,2941597210.0,196002.0,1691485.0,0.209661022,0.206174,0.003964,100.0,12268.0
57,747685585.0,2941587821.0,189771.0,1694406.0,0.176228937,0.172483,0.004011,99.0,12260.0
58,748781712.0,2941582524.0,204059.0,1696115.0,0.208746441,0.20504,0.003943,99.0,12216.0
59,743359657.0,2941589988.0,195305.0,1675642.0,0.174474713,0.174692,0.0,100.0,12272.0
60,743359505.0,2941665007.0,174062.0,1694629.0,0.175166779,0.167451,0.007973,100.0,12236.0
61,750337684.0,2941656693.0,204906.0,2249791.0,0.210852879,0.207317,0.003986,100.0,12280.0
62,746857530.0,2941580429.0,192640.0,1699978.0,0.205089229,0.201382,0.004027,100.0,12192.0
63,744768497.0,2941577965.0,191205.0,1674897.0,0.176273218,0.172503,0.004011,99.0,12220.0
64,746140903.0,2941557555.0,188092.0,1680303.0,0.175736899,0.171895,0.003997,99.0,12292.0
65,747636355.0,2941585237.0,205258.0,1698971.0,0.198412185,0.194748,0.003974,99.0,12228.0
66,744348052.0,2941567838.0,193354.0,1965388.0,0.175118937,0.175254,0.0,99.0,12228.0
67,744207525.0,2941608512.0,185308.0,1688725.0,0.175734526,0.171637,0.003991,99.0,12304.0
68,745827428.0,2941556494.0,198480.0,1700353.0,0.207218855,0.207489,0.0,99.0,12276.0
69,740319156.0,2941544585.0,187201.0,1675070.0,0.174628297,0.174799,0.0,100.0,12276.0
70,756066114.0,2941729600.0,219452.0,1794795.0,0.207461068,0.196123,0.011536,100.0,12264.0
71,749546018.0,2941675656.0,199702.0,1690338.0,0.20765474,0.20795,0.0,100.0,12276.0
