Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,700594386.0,2873155123.0,181922.0,1571113.0,0.165583201,0.165703,0.0,100.0,12192.0
2,704707103.0,2872972285.0,160804.0,1468455.0,0.197593441,0.193881,0.004039,99.0,12256.0
3,712058353.0,2872976689.0,159321.0,6938796.0,0.168969956,0.169083,0.0,100.0,12276.0
4,699666636.0,2872996781.0,157297.0,1609731.0,0.166065038,0.166214,0.0,99.0,12272.0
5,697827144.0,2872999789.0,157101.0,1438685.0,0.165875352,0.166058,0.0,99.0,12276.0
6,701112598.0,2873082309.0,165194.0,1636694.0,0.167174753,0.163381,0.003984,99.0,12184.0
7,717401045.0,2873042623.0,165877.0,6977240.0,0.201995345,0.20229,0.0,100.0,12280.0
8,698501383.0,2872966593.0,154837.0,1525189.0,0.165704729,0.166455,0.0,100.0,12188.0
9,705125397.0,2872980158.0,163318.0,1471341.0,0.167398735,0.167623,0.0,100.0,12296.0
10,703851504.0,2873073115.0,171351.0,1511666.0,0.197473112,0.197677,0.0,99.0,12184.0
11,702608912.0,2873011914.0,174310.0,1507361.0,0.193867196,0.19019,0.004046,100.0,12260.0
12,703121450.0,2872956797.0,150360.0,4104651.0,0.166217998,0.166474,0.0,99.0,12280.0
13,704255178.0,2872989724.0,174325.0,1501010.0,0.199919031,0.196333,0.004006,100.0,12248.0
14,710244696.0,2872982981.0,160896.0,6950021.0,0.168066702,0.164217,0.004005,99.0,12272.0
15,699215737.0,2872951003.0,157779.0,1437339.0,0.16605108,0.162439,0.003961,99.0,12212.0
16,712573849.0,2872971499.0,160263.0,6941002.0,0.169720133,0.169897,0.0,98.0,12300.0
17,711243849.0,2873006596.0,167502.0,1504273.0,0.167496729,0.167666,0.0,100.0,12220.0
18,715654541.0,2872950812.0,151525.0,6911228.0,0.169016271,0.169305,0.0,99.0,12188.0
19,703653860.0,2873008736.0,168562.0,1515083.0,0.198148134,0.190631,0.007942,99.0,12224.0
20,697659784.0,2872970750.0,168977.0,1457342.0,0.16900028,0.161255,0.007678,99.0,12276.0
21,706313533.0,2872967116.0,161458.0,1633826.0,0.167610365,0.160063,0.007807,99.0,12112.0
22,702126134.0,2873038020.0,166730.0,1487772.0,0.167502878,0.163682,0.003992,100.0,12212.0
23,712104866.0,2872956086.0,167995.0,6949276.0,0.169331539,0.169578,0.0,99.0,12300.0
24,705086884.0,2873104792.0,160562.0,1446574.0,0.198496228,0.194606,0.003971,99.0,12280.0
25,701081777.0,2872919454.0,153339.0,1450076.0,0.165708862,0.165893,0.0,100.0,12244.0
26,697288435.0,2872936140.0,159360.0,1479188.0,0.165988579,0.154319,0.011573,100.0,12212.0
27,706701368.0,2873140110.0,159114.0,1462761.0,0.169030106,0.165292,0.004031,100.0,12252.0
28,703213448.0,2872941289.0,160470.0,4137979.0,0.189810186,0.186085,0.004045,100.0,12280.0
29,712276079.0,2872956716.0,155949.0,6927121.0,0.168232656,0.168435,0.0,99.0,12272.0
