Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,699488011.0,2875883690.0,213700.0,1697814.0,0.165619046,0.165362,0.0,99.0,12220.0
2,774339999.0,2873566599.0,319547.0,2433996.0,0.214911138,0.211313,0.003987,99.0,12228.0
3,692728632.0,2873435482.0,160565.0,1480817.0,0.164390387,0.164636,0.0,100.0,12224.0
4,687769136.0,2873330926.0,159597.0,1679318.0,0.161384393,0.161631,0.0,100.0,12164.0
5,687680847.0,2873344312.0,158994.0,1503926.0,0.162584906,0.158799,0.003969,99.0,12232.0
6,692500786.0,2873404461.0,160758.0,1482112.0,0.197470855,0.197812,0.0,100.0,12296.0
7,688660786.0,2873513815.0,154915.0,1334105.0,0.162126255,0.162273,0.0,100.0,12276.0
8,688726452.0,2873421218.0,163684.0,1489323.0,0.194411851,0.194665,0.0,100.0,12160.0
9,699009805.0,2875348746.0,205757.0,1626185.0,0.166972094,0.162501,0.003963,99.0,12284.0
10,687519093.0,2873501520.0,146896.0,1282483.0,0.162685061,0.158875,0.003971,100.0,12284.0
11,691323589.0,2873506971.0,139081.0,1249774.0,0.163086653,0.1593,0.003982,99.0,12256.0
12,692395859.0,2873418739.0,172761.0,1478153.0,0.195338724,0.191777,0.003995,100.0,12184.0
13,698292315.0,2875200026.0,187970.0,1569423.0,0.165130575,0.156805,0.00784,99.0,12268.0
14,707301694.0,2873370011.0,160620.0,1449582.0,0.166539984,0.166709,0.0,100.0,12188.0
15,686275619.0,2873383847.0,174771.0,1499650.0,0.193037784,0.189321,0.004028,100.0,12276.0
16,691001118.0,2873383633.0,168852.0,1610599.0,0.183425028,0.179594,0.00399,99.0,12280.0
17,685849503.0,2873321637.0,164153.0,1470589.0,0.16181651,0.161966,0.0,98.0,12300.0
18,696185683.0,2873369558.0,162444.0,7058659.0,0.163930484,0.160113,0.004002,99.0,12240.0
19,698509687.0,2873440077.0,167250.0,8460044.0,0.197064938,0.193405,0.004029,99.0,12220.0
20,688145927.0,2873309001.0,158250.0,1472487.0,0.161836973,0.158051,0.004052,100.0,12212.0
21,689046752.0,2873327976.0,151590.0,1455511.0,0.163039931,0.163324,0.0,99.0,12228.0
22,690981952.0,2873356120.0,164753.0,1460641.0,0.194162171,0.190583,0.00397,99.0,12180.0
23,695231951.0,2873390682.0,164413.0,1464425.0,0.163700146,0.159857,0.003996,99.0,12212.0
24,691312531.0,2873401287.0,162273.0,1493583.0,0.195101405,0.191472,0.003989,99.0,12292.0
25,689297636.0,2873377936.0,163014.0,1472763.0,0.195470869,0.19177,0.003995,99.0,12164.0
26,698210730.0,2873392566.0,162923.0,1491781.0,0.19238791,0.188595,0.004012,99.0,12280.0
27,690195460.0,2873349674.0,157050.0,1463438.0,0.162819093,0.162991,0.0,99.0,12188.0
28,689714594.0,2873384161.0,164524.0,1453955.0,0.19424305,0.190592,0.00397,99.0,12276.0
29,691158251.0,2873369130.0,174137.0,1474839.0,0.19324878,0.193467,0.0,100.0,12300.0
30,694358134.0,2873429652.0,176342.0,1728725.0,0.17600503,0.172205,0.004004,100.0,12232.0
31,691678157.0,2873551737.0,141085.0,1260267.0,0.190589344,0.18677,0.00406,99.0,12272.0
32,696294442.0,2873455872.0,171437.0,1479649.0,0.210279306,0.202486,0.008099,84.0,12216.0
33,689943546.0,2873355743.0,157401.0,1478367.0,0.163242825,0.163452,0.0,100.0,12212.0
34,692016920.0,2873509171.0,171085.0,1528419.0,0.196585897,0.192561,0.004011,99.0,12300.0
35,694688883.0,2873384500.0,171038.0,1534659.0,0.164792687,0.161042,0.003927,99.0,12268.0
36,689914767.0,2873377495.0,162845.0,1469476.0,0.196464864,0.192736,0.004015,100.0,12276.0
