Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,692042938.0,2874091646.0,184605.0,1667404.0,0.195236646,0.191669,0.003993,100.0,12260.0
2,690234074.0,2873896421.0,166789.0,1478580.0,0.174628947,0.166625,0.00775,99.0,12288.0
3,687598121.0,2873797771.0,157912.0,1490765.0,0.162452315,0.16258,0.0,99.0,12228.0
4,693297814.0,2873814222.0,160858.0,1625576.0,0.195390648,0.191555,0.004075,100.0,12224.0
5,688438888.0,2873816363.0,154455.0,1499761.0,0.161561967,0.161737,0.0,100.0,12192.0
6,686688691.0,2873868891.0,159653.0,1454579.0,0.161493243,0.157631,0.004041,99.0,12216.0
7,688683542.0,2873893720.0,159210.0,1475475.0,0.196689921,0.196983,0.0,100.0,12272.0
8,689640173.0,2873849969.0,159022.0,1478372.0,0.162491567,0.162615,0.0,99.0,12176.0
9,691620406.0,2873834643.0,154802.0,1470308.0,0.196842458,0.193186,0.003942,100.0,12256.0
10,692191449.0,2873836192.0,158037.0,1482538.0,0.163549606,0.163684,0.0,99.0,12288.0
11,686864501.0,2873786815.0,153388.0,1465069.0,0.161222395,0.161402,0.0,99.0,12296.0
12,691747863.0,2873820009.0,169389.0,1459730.0,0.192195928,0.188417,0.004008,99.0,12296.0
13,697592179.0,2875657846.0,184583.0,1596589.0,0.164938138,0.164413,0.0,98.0,12216.0
14,690385592.0,2873879417.0,165397.0,1481823.0,0.194162544,0.194577,0.0,100.0,12284.0
15,691567298.0,2873870714.0,156996.0,1437003.0,0.162706121,0.162987,0.0,100.0,12192.0
16,689112430.0,2873888015.0,160897.0,1470475.0,0.194958326,0.191286,0.003985,100.0,12260.0
17,698424439.0,2875751753.0,188357.0,1566364.0,0.164714993,0.160092,0.004002,100.0,12272.0
18,696400539.0,2874034039.0,177464.0,1545823.0,0.197118823,0.193293,0.004026,100.0,12300.0
19,689523638.0,2873842772.0,159927.0,1449772.0,0.190283091,0.18663,0.00397,100.0,12244.0
20,688712110.0,2873790903.0,159081.0,1455186.0,0.162907547,0.159261,0.003981,99.0,12284.0
21,693708345.0,2873869427.0,163642.0,1489266.0,0.196096963,0.192143,0.004088,99.0,12272.0
22,693131426.0,2873943602.0,161303.0,1495223.0,0.163073562,0.15923,0.00398,99.0,12192.0
23,688760808.0,2873856644.0,165686.0,1466639.0,0.161978576,0.16221,0.0,100.0,12280.0
24,694649203.0,2873916783.0,172133.0,1482519.0,0.196648366,0.189034,0.007876,100.0,12276.0
25,689620740.0,2873844822.0,159850.0,1612065.0,0.161907128,0.158258,0.003956,100.0,12300.0
26,692594362.0,2873858673.0,160124.0,1453095.0,0.197793778,0.194102,0.004043,99.0,12276.0
27,689164022.0,2873813673.0,157917.0,1505176.0,0.162151505,0.158346,0.003958,99.0,12252.0
28,690197582.0,2873850645.0,161886.0,1547302.0,0.162908315,0.159167,0.003979,99.0,12268.0
29,689024088.0,2873854890.0,167695.0,1458568.0,0.194736298,0.183323,0.011701,100.0,12304.0
30,694319747.0,2873927996.0,177723.0,1535307.0,0.186196417,0.186448,0.0,100.0,12232.0
31,693916637.0,2873851188.0,162762.0,1470505.0,0.197055057,0.197409,0.0,99.0,12168.0
32,699646803.0,2875777396.0,187626.0,1588938.0,0.165979206,0.165351,0.0,98.0,12184.0
33,689199109.0,2873855232.0,168246.0,1508225.0,0.19415109,0.190654,0.003971,100.0,12304.0
34,712671325.0,2875683858.0,186452.0,1559024.0,0.168998343,0.168351,0.0,99.0,12272.0
35,698695272.0,2875831969.0,198127.0,1648168.0,0.165723584,0.16515,0.0,99.0,12284.0
36,689398058.0,2874051266.0,145538.0,1282445.0,0.193714368,0.190009,0.003958,100.0,12196.0
37,693321366.0,2873941656.0,165072.0,1504235.0,0.195810541,0.192212,0.004004,100.0,12280.0
38,689943195.0,2873925278.0,140893.0,1262346.0,0.16278267,0.158973,0.003974,100.0,12184.0
39,686236489.0,2873823898.0,157111.0,1479884.0,0.161802994,0.161976,0.0,99.0,12252.0
40,691710731.0,2873829207.0,158742.0,1660147.0,0.196069585,0.196534,0.0,99.0,12188.0
41,763534155.0,2873861982.0,151629.0,7005864.0,0.178986541,0.175193,0.003981,100.0,12300.0
42,689484327.0,2873810585.0,161627.0,1462355.0,0.162172668,0.162405,0.0,99.0,12260.0
43,695717585.0,2874419007.0,183011.0,1547190.0,0.164603734,0.160563,0.004014,99.0,12224.0
44,698453200.0,2873890261.0,174530.0,1672563.0,0.197276039,0.193647,0.004034,100.0,12196.0
45,697454594.0,2875711778.0,193405.0,1609646.0,0.166249285,0.161586,0.004039,98.0,12276.0
46,693678561.0,2873828260.0,168694.0,1521610.0,0.196158983,0.192559,0.004011,100.0,12272.0
47,716918242.0,2873881975.0,159705.0,1646580.0,0.202777018,0.199142,0.003982,100.0,12276.0
48,689587620.0,2873832739.0,162348.0,1643012.0,0.161922843,0.158279,0.00386,100.0,12296.0
49,688112259.0,2873829829.0,158507.0,1457043.0,0.162007213,0.162175,0.0,100.0,12196.0
50,699458701.0,2873869463.0,177182.0,1557220.0,0.1955413,0.191897,0.003997,100.0,12168.0
51,697803516.0,2873868330.0,164568.0,1481654.0,0.163472991,0.163705,0.0,100.0,12156.0
52,713918332.0,2873851366.0,166359.0,1540373.0,0.199122247,0.195491,0.003989,100.0,12264.0
53,690659168.0,2873866675.0,157346.0,1448017.0,0.162948895,0.159172,0.003979,99.0,12280.0
54,689946313.0,2873839897.0,155613.0,1533844.0,0.162514337,0.158798,0.003969,100.0,12208.0
55,699763665.0,2875695167.0,195857.0,1702025.0,0.165260112,0.160689,0.004017,99.0,12224.0
56,691126717.0,2873814356.0,158738.0,1449713.0,0.193783931,0.186132,0.00792,100.0,12188.0
57,694747730.0,2873883880.0,163080.0,1536537.0,0.195730083,0.192021,0.004,99.0,12272.0
58,691780653.0,2873875134.0,170435.0,1649403.0,0.16576074,0.166006,0.0,99.0,12228.0
59,692581714.0,2873875967.0,167638.0,1502467.0,0.196318783,0.188736,0.007864,100.0,12184.0
60,687180872.0,2873794629.0,149990.0,1455793.0,0.162773242,0.162951,0.0,100.0,12300.0
61,692782415.0,2873821355.0,167426.0,1486535.0,0.194765424,0.195037,0.0,99.0,12240.0
62,688291729.0,2873965340.0,166383.0,1485597.0,0.163105551,0.15949,0.00389,99.0,12300.0
63,686884447.0,2873799537.0,164326.0,1482465.0,0.161662403,0.1618,0.0,99.0,12260.0
64,686904170.0,2873811720.0,159705.0,1446260.0,0.16116338,0.1614,0.0,99.0,12168.0
65,696492257.0,2875261675.0,186376.0,1563318.0,0.165060084,0.160639,0.004015,99.0,12216.0
66,693592819.0,2873872378.0,163463.0,1609026.0,0.19153222,0.187783,0.003995,99.0,12216.0
67,692919101.0,2873898178.0,168769.0,1609596.0,0.19451085,0.183189,0.011692,99.0,12280.0
68,708966565.0,2873862205.0,163956.0,1490109.0,0.197526914,0.197774,0.0,99.0,12224.0
69,687405045.0,2873884085.0,150067.0,1276457.0,0.161707591,0.161845,0.0,100.0,12284.0
70,692275388.0,2873936622.0,165798.0,1480205.0,0.194703055,0.194967,0.0,99.0,12256.0
71,688858218.0,2873871341.0,156780.0,1541787.0,0.161872698,0.162049,0.0,100.0,12164.0
72,688321474.0,2873959450.0,141508.0,1263427.0,0.162378914,0.162957,0.0,99.0,12192.0
73,695231438.0,2873820881.0,157489.0,6951905.0,0.164132231,0.164324,0.0,100.0,12280.0
74,700514298.0,2875832642.0,171570.0,1376304.0,0.16630963,0.161981,0.004049,99.0,12228.0
75,692600406.0,2873770489.0,154595.0,1486191.0,0.162941003,0.163194,0.0,99.0,12268.0
76,693587844.0,2873810553.0,168638.0,1492983.0,0.198160382,0.198512,0.0,100.0,12300.0
77,692239124.0,2873828119.0,160507.0,1454021.0,0.195991574,0.192493,0.00401,99.0,12228.0
78,689558306.0,2873941783.0,159419.0,1476314.0,0.162360266,0.158675,0.003966,100.0,12228.0
79,687218557.0,2873787302.0,153038.0,1460640.0,0.162099545,0.158347,0.003958,100.0,12268.0
80,687326498.0,2873818142.0,155994.0,1466246.0,0.161746633,0.161925,0.0,99.0,12192.0
81,696166261.0,2873837144.0,166311.0,1506272.0,0.195430252,0.191802,0.003995,100.0,12280.0
82,689235121.0,2873835357.0,154351.0,1452718.0,0.16179238,0.162068,0.0,99.0,12268.0
83,690916703.0,2873932756.0,172073.0,1482276.0,0.196060647,0.19232,0.004006,100.0,12284.0
84,689476391.0,2873861030.0,161241.0,1483176.0,0.161874514,0.158115,0.003952,99.0,12224.0
85,696163621.0,2875727859.0,186255.0,1622081.0,0.164828698,0.164305,0.0,99.0,12184.0
86,689695628.0,2873886292.0,164573.0,1454316.0,0.190234205,0.186317,0.00405,100.0,12296.0
87,689526621.0,2873797360.0,159627.0,1464056.0,0.16190287,0.162166,0.0,100.0,12216.0
88,699406979.0,2875792819.0,187055.0,1657024.0,0.165142569,0.160559,0.004013,99.0,12284.0
89,699832513.0,2873862830.0,156391.0,1458151.0,0.193910487,0.190164,0.003961,100.0,12260.0
90,694842588.0,2873882110.0,164461.0,1468100.0,0.193711996,0.189963,0.003957,99.0,12300.0
91,690465236.0,2873767898.0,156992.0,1477851.0,0.162335402,0.162493,0.0,100.0,12300.0
92,691555142.0,2873841048.0,155987.0,1464684.0,0.163081457,0.159332,0.003983,100.0,12228.0
93,691068664.0,2873868742.0,164788.0,1482076.0,0.175429272,0.17171,0.003993,99.0,12280.0
94,697816739.0,2874005758.0,189716.0,1559200.0,0.19806882,0.194363,0.004049,100.0,12260.0
95,687998922.0,2873862078.0,164636.0,1457824.0,0.194466292,0.19082,0.003975,100.0,12164.0
96,691137905.0,2873864725.0,164044.0,1496891.0,0.163631045,0.16383,0.0,87.0,12224.0
97,689935961.0,2873863378.0,159026.0,1503631.0,0.164990942,0.161097,0.004027,100.0,12272.0
98,689651961.0,2873966122.0,141062.0,1263308.0,0.163052333,0.159544,0.003988,100.0,12176.0
99,687213458.0,2873852618.0,162513.0,1482014.0,0.162423823,0.16258,0.0,99.0,12216.0
100,688939791.0,2873759446.0,158815.0,1460743.0,0.161596682,0.157914,0.003947,100.0,12228.0
