Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,8975786292.0,32318568554.0,204770.0,1953990.0,2.099947124,2.085813,0.012033,99.0,12272.0
2,9052711143.0,32336949352.0,265893.0,3159143.0,2.127967437,2.113989,0.00402,99.0,12144.0
3,8996301448.0,32312733914.0,172629.0,1360952.0,2.135290968,2.131591,0.003999,100.0,12284.0
4,8982173783.0,32315719567.0,181633.0,1771676.0,2.100772401,2.091826,0.007999,99.0,12300.0
5,8822076081.0,32312677495.0,177234.0,1368582.0,2.091890722,2.088161,0.004,99.0,12264.0
6,8754311243.0,32312587591.0,160905.0,1406889.0,2.044260366,2.04437,0.0,100.0,12284.0
7,8809133797.0,32312712909.0,172792.0,1359598.0,2.087983514,2.084167,0.004,100.0,12280.0
8,8936805600.0,32312751141.0,183818.0,1444640.0,2.108536087,2.108671,0.0,99.0,12284.0
9,8774880509.0,32312695759.0,176200.0,1356627.0,2.084804824,2.081363,0.004002,100.0,12188.0
10,8808082287.0,32316265144.0,182342.0,1781845.0,2.058970418,2.041713,0.015982,99.0,12220.0
11,8758455401.0,32312671569.0,169556.0,1354836.0,2.08170596,2.081909,0.0,99.0,12256.0
12,8983223090.0,32312858555.0,180777.0,1438855.0,2.127162864,2.127325,0.0,100.0,12232.0
13,8906304327.0,32312690936.0,171523.0,1398533.0,2.076908339,2.069057,0.007988,100.0,12192.0
14,8875836001.0,32312663005.0,166874.0,1357097.0,2.079294202,2.075362,0.003998,99.0,12264.0
15,8851194659.0,32312694399.0,166107.0,1355314.0,2.071556381,2.071579,0.0,99.0,12272.0
16,8767602784.0,32312638516.0,177749.0,1375404.0,2.083837264,2.080115,0.004,100.0,12272.0
17,8846415759.0,32312637514.0,169912.0,1348602.0,2.093098475,2.089256,0.003994,99.0,12264.0
18,8783722652.0,32312485839.0,164462.0,1351093.0,2.052257119,2.052488,0.0,100.0,12244.0
19,8805851851.0,32312621020.0,176201.0,1392845.0,2.086440127,2.08662,0.0,100.0,12284.0
20,8916793469.0,32312642277.0,201288.0,1489497.0,2.111918984,2.108102,0.004,99.0,12284.0
21,9014440731.0,32332695881.0,214012.0,2312981.0,2.116835139,2.105059,0.003986,99.0,12272.0
22,8966864733.0,32336539843.0,199625.0,2396392.0,2.103996365,2.089927,0.004026,99.0,12284.0
23,8883470699.0,32319524475.0,181271.0,1856679.0,2.077809455,2.075013,0.0,99.0,12276.0
24,9175108434.0,32312951367.0,200914.0,1472121.0,2.168369828,2.168405,0.0,99.0,12168.0
25,8722324764.0,32312561165.0,172924.0,1367403.0,2.07235266,2.072559,0.0,99.0,12140.0
26,8851693473.0,32324024414.0,192453.0,2017089.0,2.072932414,2.064506,0.003985,99.0,12264.0
27,8822682829.0,32312743682.0,178167.0,1388810.0,2.086753586,2.0869,0.0,99.0,12276.0
28,8720781395.0,32312661331.0,173060.0,1427948.0,2.033989336,2.030117,0.003996,99.0,12272.0
29,8880685559.0,32312627227.0,164113.0,1377077.0,2.069648245,2.069831,0.0,99.0,12296.0
30,8901631594.0,32312559966.0,172863.0,1344892.0,2.10507598,2.101373,0.003995,99.0,12284.0
31,8798527874.0,32312530739.0,164969.0,1342791.0,2.051163948,2.051311,0.0,100.0,12272.0
32,8728187356.0,32312519505.0,168156.0,1353252.0,2.071604992,2.067789,0.003999,99.0,12296.0
33,8791411705.0,32312737548.0,168321.0,1406573.0,2.047781578,2.047817,0.0,99.0,12264.0
34,8807407575.0,32312477550.0,158289.0,1333958.0,2.051432827,2.051612,0.0,99.0,12248.0
35,8881354009.0,32312595958.0,166114.0,1345031.0,2.074286202,2.074418,0.0,100.0,12168.0
36,8718727464.0,32312525012.0,173366.0,1364173.0,2.072223983,2.072444,0.0,100.0,12184.0
37,8878992928.0,32312594380.0,163812.0,1322234.0,2.073850243,2.070062,0.003996,99.0,12164.0
38,8924844052.0,32312671370.0,171881.0,1354662.0,2.077926896,2.077974,0.0,100.0,12276.0
39,8937264755.0,32312576455.0,164928.0,1342907.0,2.080154074,2.080223,0.0,99.0,12220.0
40,9092081850.0,32312715553.0,236927.0,1888684.0,2.149073067,2.149397,0.0,100.0,12284.0
41,8718708178.0,32312553441.0,167850.0,1326332.0,2.068402646,2.068545,0.0,99.0,12168.0
42,8753626242.0,32312538450.0,174939.0,1355578.0,2.080374133,2.080722,0.0,100.0,12252.0
43,9379142880.0,32312781330.0,172241.0,1374980.0,2.223816236,2.223966,0.0,100.0,12296.0
44,8806701331.0,32312552939.0,160976.0,1408459.0,2.047238787,2.047464,0.0,99.0,12272.0
45,9155799172.0,32312728856.0,171530.0,1386317.0,2.163292757,2.159315,0.003998,100.0,12304.0
46,8762359507.0,32312505928.0,165516.0,1347741.0,2.036984688,2.037047,0.0,99.0,12216.0
47,8876274039.0,32312595474.0,164312.0,1365347.0,2.065396349,2.065526,0.0,99.0,12300.0
48,8830369606.0,32312745964.0,176472.0,1386124.0,2.096586455,2.09675,0.0,99.0,12264.0
49,8821724391.0,32312496921.0,160793.0,1318951.0,2.060993584,2.061224,0.0,100.0,12192.0
50,8900822200.0,32312628997.0,163029.0,1449959.0,2.083009914,2.083107,0.0,100.0,12164.0
51,8772192122.0,32312625552.0,166003.0,1337249.0,2.040676547,2.040698,0.0,100.0,12284.0
52,8801663709.0,32312501245.0,168315.0,1303404.0,2.085428447,2.08562,0.0,99.0,12264.0
53,8834885007.0,32312575241.0,165699.0,1342003.0,2.065580824,2.061729,0.003995,100.0,12260.0
54,9172196997.0,32312711582.0,170301.0,1366037.0,2.174600996,2.174851,0.0,100.0,12300.0
55,8841535929.0,32312567098.0,170314.0,1344768.0,2.098293618,2.0985,0.0,99.0,12296.0
56,9056963287.0,32312744198.0,176342.0,1389164.0,2.150216104,2.150346,0.0,99.0,12164.0
57,8925688436.0,32312580582.0,169773.0,1317723.0,2.116876458,2.117126,0.0,99.0,12164.0
58,8780740648.0,32312745703.0,168190.0,1358971.0,2.045473006,2.04169,0.004003,100.0,12300.0
59,8745771084.0,32312702810.0,176352.0,1367256.0,2.07816702,2.070301,0.007993,99.0,12264.0
60,8716309062.0,32312600782.0,171065.0,1381362.0,2.071637718,2.072076,0.0,100.0,12232.0
61,8988170481.0,32312651385.0,168017.0,1387656.0,2.129210195,2.129363,0.0,100.0,12304.0
62,8983301125.0,32312623320.0,166941.0,1349954.0,2.098044785,2.098181,0.0,99.0,12224.0
63,9037924874.0,32312617956.0,164366.0,1339166.0,2.113227039,2.109295,0.00401,99.0,12276.0
64,8848002831.0,32312514921.0,159673.0,1301961.0,2.06615608,2.066303,0.0,100.0,12276.0
65,8817392247.0,32312739821.0,192913.0,1396179.0,2.052619135,2.052605,0.0,99.0,12164.0
66,8809904118.0,32312691717.0,174078.0,1323843.0,2.084732071,2.080923,0.004001,99.0,12184.0
