Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,9127236402.0,32313799791.0,190667.0,1429406.0,2.154067815,2.150124,0.004003,99.0,12284.0
2,8901252252.0,32312950375.0,170567.0,1348790.0,2.09977435,2.092028,0.008,100.0,12224.0
3,8847881916.0,32313003319.0,173756.0,2212463.0,2.094889782,2.095074,0.0,100.0,12252.0
4,8944563169.0,32336316169.0,186893.0,2359550.0,2.093639158,2.076781,0.008049,99.0,12268.0
5,8893603109.0,32312956469.0,160196.0,1346698.0,2.079945847,2.076167,0.004,99.0,12272.0
6,8863346298.0,32312966530.0,170722.0,1347013.0,2.096723518,2.096918,0.0,100.0,12296.0
7,8849757302.0,32312917966.0,158070.0,1336675.0,2.061194197,2.053345,0.007989,99.0,12220.0
8,8914849823.0,32312894622.0,165362.0,1320267.0,2.075619314,2.071788,0.003999,99.0,12180.0
9,8967954160.0,32313070662.0,148278.0,1233066.0,2.089714916,2.090045,0.0,100.0,12140.0
10,9065626599.0,32313310162.0,212790.0,1491018.0,2.138620646,2.134647,0.003997,100.0,12264.0
11,8868614180.0,32312957395.0,162566.0,1351498.0,2.065481234,2.065577,0.0,100.0,12228.0
12,8841503643.0,32312963808.0,166784.0,1340248.0,2.096091659,2.096289,0.0,99.0,12280.0
13,8726054734.0,32312951858.0,170473.0,1357614.0,2.075404583,2.071518,0.003999,99.0,12272.0
14,8757661669.0,32312955776.0,170155.0,1365278.0,2.06520972,2.061576,0.004003,100.0,12212.0
15,9105383858.0,32312959434.0,168088.0,1359164.0,2.121906528,2.117975,0.004003,100.0,12224.0
16,9038105442.0,32312980989.0,147045.0,1209369.0,2.106821752,2.103199,0.003998,100.0,12272.0
17,8943090923.0,32312925969.0,162153.0,1469780.0,2.07499747,2.071252,0.003998,99.0,12164.0
18,8768386909.0,32312902702.0,174189.0,1497810.0,2.074466634,2.070613,0.003997,99.0,12164.0
19,9075752440.0,32312957660.0,160232.0,1461195.0,2.117265041,2.117406,0.0,99.0,12288.0
20,8849638825.0,32312989920.0,162705.0,1379517.0,2.065595098,2.065612,0.0,100.0,12300.0
21,8887426948.0,32312879441.0,166329.0,1356904.0,2.065166092,2.065477,0.0,99.0,12192.0
22,8874497445.0,32312966080.0,166114.0,1350852.0,2.062081904,2.058239,0.003996,99.0,12192.0
23,8968830564.0,32313055507.0,169108.0,1386168.0,2.090074727,2.090109,0.0,99.0,12280.0
24,8866382834.0,32313038747.0,151591.0,1204767.0,2.069574612,2.069545,0.0,99.0,12224.0
25,8751995747.0,32312970059.0,178308.0,1370674.0,2.069486085,2.065575,0.003995,100.0,12224.0
26,8981122932.0,32312990042.0,162299.0,1388376.0,2.085072884,2.085205,0.0,100.0,12300.0
27,8695708424.0,32312829699.0,170267.0,1339082.0,2.059977726,2.056352,0.004,99.0,12300.0
28,8992159940.0,32312955043.0,170337.0,1353988.0,2.123240666,2.119502,0.003999,99.0,12188.0
29,8839233654.0,32312969886.0,167844.0,1380260.0,2.055137673,2.051267,0.003998,99.0,12296.0
30,9036436160.0,32313116452.0,171315.0,1367895.0,2.146603004,2.142623,0.003997,99.0,12256.0
31,8987694952.0,32312991692.0,148598.0,1216790.0,2.123186846,2.123359,0.0,100.0,12272.0
32,8963029020.0,32336615197.0,211362.0,2389623.0,2.100664315,2.079243,0.012088,99.0,12204.0
33,8820058629.0,32312929603.0,169173.0,1322476.0,2.087779345,2.084192,0.004,100.0,12272.0
34,8805901896.0,32312885485.0,173806.0,1351618.0,2.076489005,2.076599,0.0,99.0,12252.0
35,9201729115.0,32317026709.0,235500.0,2978157.0,2.150469618,2.133546,0.015981,99.0,12164.0
36,8765475489.0,32312825095.0,163014.0,1316488.0,2.076523081,2.068865,0.007987,100.0,12248.0
37,9078045979.0,32313049539.0,162972.0,1357664.0,2.116177072,2.112312,0.004,100.0,12304.0
38,9368763092.0,32313196196.0,167547.0,1338341.0,2.2212382,2.217413,0.004002,100.0,12276.0
39,8832094065.0,32313130533.0,167961.0,1357966.0,2.058456457,2.058485,0.0,99.0,12212.0
