Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,8700065784.0,32313885164.0,184549.0,1363461.0,2.021608299,2.013662,0.00799,99.0,12212.0
2,8715950091.0,32313215702.0,165821.0,1403806.0,2.029443688,2.029557,0.0,99.0,12224.0
3,8792801038.0,32313359045.0,143326.0,1185464.0,2.043778165,2.040225,0.004,100.0,12184.0
4,8968798722.0,32313437825.0,165897.0,1357262.0,2.094359022,2.094349,0.0,99.0,12172.0
5,8778509888.0,32313211148.0,172298.0,1364699.0,2.084788569,2.08105,0.003994,100.0,12256.0
6,8982929765.0,32313247994.0,166762.0,1381787.0,2.096895014,2.097103,0.0,99.0,12296.0
7,8719944215.0,32313192165.0,174548.0,1361937.0,2.068213313,2.064369,0.004,99.0,12260.0
8,8792725714.0,32313316789.0,173059.0,1379965.0,2.073798389,2.074,0.0,99.0,12252.0
9,8887893590.0,32313288883.0,215515.0,2002421.0,2.067616326,2.063789,0.003999,99.0,12224.0
10,8793007907.0,32313419291.0,171485.0,1364917.0,2.044211825,2.040354,0.004,100.0,12300.0
11,8762357291.0,32313248822.0,164020.0,1354792.0,2.047026753,2.043111,0.003998,99.0,12292.0
12,8789143120.0,32313297629.0,187588.0,1395854.0,2.063342092,2.055719,0.007998,99.0,12144.0
13,8695409887.0,32313075886.0,157817.0,1296828.0,2.020483977,2.016718,0.004001,99.0,12216.0
14,8839029692.0,32313212188.0,165542.0,1336344.0,2.055863699,2.051916,0.003999,99.0,12172.0
15,8795951604.0,32313382063.0,168177.0,1372979.0,2.055219697,2.051179,0.003998,99.0,12300.0
16,8757925408.0,32313192149.0,173640.0,1376686.0,2.033851651,2.033891,0.0,100.0,12196.0
17,8820665851.0,32313409893.0,181011.0,1417725.0,2.051714552,2.051794,0.0,100.0,12196.0
18,9122625258.0,32313318286.0,172284.0,1347574.0,2.156334147,2.152426,0.004,99.0,12284.0
19,8818902835.0,32313414066.0,181056.0,1439781.0,2.085041768,2.073411,0.011985,99.0,12168.0
20,8808493989.0,32313134965.0,168159.0,1406911.0,2.046008834,2.04614,0.0,100.0,12260.0
21,8751285908.0,32313163598.0,167081.0,1314766.0,2.072362233,2.072615,0.0,99.0,12256.0
22,8939714804.0,32313327572.0,168820.0,1352478.0,2.086976778,2.083141,0.003998,99.0,12272.0
23,9938588653.0,32313535364.0,169712.0,76666736.0,2.326471497,2.322757,0.004004,99.0,12256.0
24,8806677646.0,32313217403.0,169114.0,1339012.0,2.088865402,2.085219,0.003994,100.0,12228.0
25,8755462580.0,32313180334.0,174981.0,1344183.0,2.067371709,2.067494,0.0,99.0,12212.0
26,8796836505.0,32313244174.0,163115.0,1361044.0,2.043205508,2.039357,0.003998,99.0,12272.0
27,8721161140.0,32313209994.0,165043.0,1316098.0,2.03936057,2.035555,0.003999,99.0,12300.0
28,8867841966.0,32313259866.0,174117.0,1397614.0,2.07082718,2.066938,0.00399,99.0,12280.0
29,8905745431.0,32313548900.0,187801.0,1393753.0,2.103680297,2.099836,0.003999,100.0,12296.0
30,8779321809.0,32313236651.0,164715.0,1350077.0,2.039535555,2.035682,0.003999,100.0,12228.0
31,8690004981.0,32313269160.0,169673.0,1343446.0,2.059767641,2.059966,0.0,99.0,12164.0
32,8723845462.0,32313272186.0,173539.0,1360966.0,2.072012932,2.068263,0.004,100.0,12288.0
33,9001426278.0,32313264099.0,162960.0,1345282.0,2.101358718,2.101366,0.0,100.0,12220.0
34,9020482218.0,32313328737.0,166737.0,1373093.0,2.103341896,2.099514,0.003999,99.0,12276.0
35,8778352030.0,32313342344.0,165562.0,1334988.0,2.048487133,2.040632,0.007986,100.0,12300.0
36,8794335118.0,32313291224.0,172751.0,1406205.0,2.075013671,2.075247,0.0,99.0,12216.0
37,8821368560.0,32313351664.0,178143.0,1387738.0,2.074508933,2.074701,0.0,100.0,12168.0
38,8694711404.0,32313207413.0,166226.0,1329172.0,2.030029496,2.018216,0.011965,100.0,12192.0
39,8782706150.0,32313263301.0,166194.0,1347751.0,2.086395594,2.082718,0.003997,100.0,12200.0
40,8929768575.0,32313340195.0,170194.0,1359770.0,2.112574529,2.112695,0.0,100.0,12168.0
41,8693905922.0,32313209056.0,166465.0,1360524.0,2.057795822,2.058034,0.0,100.0,12252.0
42,9181197360.0,32313449281.0,244606.0,2108125.0,2.139530328,2.135696,0.003999,100.0,12248.0
43,8771328003.0,32313217026.0,163739.0,1338286.0,2.04701173,2.047025,0.0,99.0,12252.0
44,8690797077.0,32313351155.0,169127.0,1385425.0,2.030581518,2.030557,0.0,100.0,12192.0
45,8951527055.0,32313352056.0,171343.0,1341793.0,2.109326922,2.109782,0.0,100.0,12272.0
46,8700891208.0,32313271907.0,173834.0,1353285.0,2.062546046,2.054951,0.007995,100.0,12192.0
47,8801148237.0,32313245917.0,168229.0,1361283.0,2.087779737,2.084042,0.004,99.0,12280.0
48,8777012086.0,32313229231.0,168789.0,1319566.0,2.072363564,2.06463,0.007986,99.0,12276.0
49,8769815704.0,32313413174.0,182305.0,1421628.0,2.071829841,2.068127,0.004,99.0,12260.0
