Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1040503083.0,3953431150.0,158327.0,1073220.0,0.249061813,0.245231,0.00402,99.0,12224.0
2,1028208063.0,3952804788.0,159611.0,1172555.0,0.246376762,0.24651,0.0,100.0,12184.0
3,1034594087.0,3952705147.0,151331.0,1170931.0,0.246731769,0.246952,0.0,99.0,12272.0
4,1035780795.0,3952721476.0,151479.0,1166170.0,0.246812998,0.246979,0.0,99.0,12260.0
5,1027882527.0,3952696221.0,151382.0,1157441.0,0.246386476,0.246598,0.0,100.0,12176.0
6,1034285326.0,3952730073.0,157592.0,1150017.0,0.246591112,0.242813,0.00398,99.0,12280.0
7,1032785266.0,3952707758.0,144312.0,1181661.0,0.248153046,0.248318,0.0,100.0,12220.0
8,1024586772.0,3952685312.0,152227.0,1152516.0,0.246662285,0.246811,0.0,99.0,12220.0
9,1037423499.0,3952766769.0,160797.0,1181728.0,0.256998524,0.25716,0.0,100.0,12256.0
10,1048372031.0,3955557441.0,164881.0,1263365.0,0.250292498,0.245425,0.004023,99.0,12272.0
11,1030507275.0,3952709584.0,154086.0,1146668.0,0.246488455,0.246667,0.0,100.0,12256.0
12,1044968458.0,3955547734.0,163684.0,1275111.0,0.250159667,0.237357,0.011867,99.0,12272.0
13,1045217635.0,3952740976.0,153058.0,1157399.0,0.251168525,0.247371,0.003989,99.0,12188.0
14,1040896359.0,3952705857.0,155173.0,1153407.0,0.250256816,0.246428,0.003974,100.0,12280.0
15,1035710671.0,3952723341.0,152161.0,1164145.0,0.249354541,0.249521,0.0,99.0,12224.0
16,1037131485.0,3952775187.0,156439.0,1176171.0,0.252799047,0.252986,0.0,100.0,12188.0
17,1032989934.0,3952885830.0,152922.0,1170486.0,0.250487089,0.246687,0.003978,99.0,12256.0
18,1040755982.0,3952726512.0,152438.0,1152592.0,0.24900799,0.245176,0.004019,100.0,12212.0
19,1033261339.0,3952658744.0,151165.0,1140936.0,0.246826641,0.246969,0.0,100.0,12280.0
20,1026411525.0,3952812996.0,153741.0,1152653.0,0.246356329,0.242577,0.003976,99.0,12268.0
21,1060518554.0,3952821029.0,153509.0,1168512.0,0.25404635,0.254261,0.0,99.0,12300.0
22,1046306881.0,3952738968.0,148721.0,1153453.0,0.249078886,0.249267,0.0,100.0,12220.0
23,1044793805.0,3955514785.0,158034.0,1293226.0,0.249508484,0.248725,0.0,99.0,12252.0
24,1034075416.0,3952754725.0,149829.0,1305670.0,0.247654266,0.243864,0.003997,100.0,12260.0
25,1037205852.0,3952693870.0,151922.0,1156476.0,0.248189321,0.244367,0.004006,100.0,12272.0
26,1013161733.0,3952789450.0,128810.0,1015930.0,0.242396823,0.243188,0.0,99.0,12228.0
27,1056619246.0,3952891828.0,136438.0,1056478.0,0.253909333,0.250112,0.00397,99.0,12172.0
28,1028591656.0,3952688699.0,153464.0,1157183.0,0.245340498,0.245517,0.0,100.0,12184.0
29,1025669639.0,3952765366.0,153382.0,1162002.0,0.246670487,0.242828,0.00398,100.0,12228.0
30,1046900781.0,3955478116.0,160107.0,1280524.0,0.249355402,0.24856,0.0,99.0,12220.0
31,1043704929.0,3955561807.0,168334.0,1302275.0,0.249952408,0.249033,0.0,99.0,12284.0
32,1057271583.0,3952800127.0,154460.0,1157592.0,0.253820781,0.250017,0.003968,99.0,12160.0
33,1038451221.0,3952744840.0,157783.0,1163300.0,0.256902111,0.257083,0.0,100.0,12240.0
34,1042784405.0,3952684679.0,150933.0,1146911.0,0.249041473,0.245297,0.003956,100.0,12280.0
35,1057641040.0,3955095404.0,176740.0,1291599.0,0.257135877,0.252498,0.004007,99.0,12272.0
36,1027147032.0,3952741001.0,154588.0,1150833.0,0.247733833,0.2479,0.0,99.0,12184.0
37,1022866476.0,3952693581.0,155499.0,1164317.0,0.245735393,0.241981,0.003966,100.0,12248.0
38,1032395080.0,3952746957.0,151135.0,1171757.0,0.248270431,0.248451,0.0,99.0,12224.0
39,1032331250.0,3952848487.0,160080.0,1183079.0,0.247196062,0.24332,0.003988,99.0,12280.0
40,1050924207.0,3955578953.0,167461.0,1353723.0,0.251179393,0.24633,0.003973,99.0,12220.0
41,1029790994.0,3952744797.0,151248.0,1367013.0,0.246346232,0.246524,0.0,100.0,12284.0
42,1028772878.0,3952709386.0,152590.0,1185550.0,0.246229463,0.246411,0.0,100.0,12272.0
43,1060655803.0,3954758796.0,165553.0,7249805.0,0.253316754,0.248745,0.004012,99.0,12224.0
44,1029551552.0,3952726415.0,165749.0,1151456.0,0.255882864,0.25604,0.0,99.0,12276.0
45,1061101109.0,3952703112.0,155774.0,1168854.0,0.253447918,0.253617,0.0,100.0,12292.0
46,1033611000.0,3952818036.0,153251.0,1145775.0,0.247444778,0.243583,0.003993,100.0,12196.0
47,1038149035.0,3952774094.0,153458.0,1161801.0,0.24954819,0.249705,0.0,99.0,12284.0
48,1043591980.0,3955617193.0,149464.0,1150657.0,0.24908584,0.244767,0.004012,99.0,12224.0
49,1018593170.0,3952702499.0,157759.0,1160129.0,0.244281247,0.240382,0.004006,100.0,12284.0
50,1041509899.0,3952766808.0,151664.0,1155580.0,0.250332445,0.250498,0.0,100.0,12256.0
51,1026060972.0,3952705192.0,150488.0,1165452.0,0.246925164,0.243097,0.003985,100.0,12280.0
52,1035350844.0,3952724533.0,157482.0,1152699.0,0.255441898,0.251656,0.003994,99.0,12220.0
53,1054794432.0,3952744109.0,152750.0,1153476.0,0.252463169,0.248637,0.00401,100.0,12172.0
54,1036018378.0,3952747899.0,163803.0,1198775.0,0.259028189,0.259198,0.0,100.0,12296.0
55,1038491055.0,3952753486.0,153751.0,1162455.0,0.251418204,0.247611,0.003993,99.0,12276.0
56,1039225657.0,3952696861.0,155911.0,1191566.0,0.247106199,0.243301,0.003988,99.0,12272.0
57,1024757374.0,3952648935.0,152743.0,1152891.0,0.244839294,0.237146,0.007904,100.0,12296.0
58,1032291322.0,3952827983.0,152962.0,1161825.0,0.247772143,0.247901,0.0,99.0,12232.0
59,1054701327.0,3952716409.0,148378.0,1138871.0,0.253133165,0.249345,0.004021,99.0,12180.0
