Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1019078075.0,3953723740.0,174569.0,1191173.0,0.268961282,0.265204,0.004018,100.0,12228.0
2,1045765527.0,3953113866.0,147793.0,1135779.0,0.245573349,0.241717,0.004028,100.0,12188.0
3,1028153502.0,3952988753.0,151646.0,1118110.0,0.241194322,0.237443,0.004024,100.0,12188.0
4,1074029083.0,3953009879.0,146013.0,1136807.0,0.252640804,0.252829,0.0,100.0,12228.0
5,1014758680.0,3953015750.0,144652.0,1223815.0,0.238974813,0.235173,0.003985,99.0,12252.0
6,1033948950.0,3953002813.0,148754.0,1147247.0,0.243449454,0.243741,0.0,100.0,12228.0
7,1060040618.0,3953107651.0,147984.0,1148759.0,0.247747043,0.247916,0.0,100.0,12272.0
8,1050832768.0,3953056052.0,151022.0,1156577.0,0.245846501,0.241985,0.004033,100.0,12296.0
9,1036278498.0,3953018065.0,153122.0,1144548.0,0.242069445,0.238325,0.003972,99.0,12296.0
10,1051458754.0,3952981424.0,148577.0,1121903.0,0.246668405,0.242933,0.003982,100.0,12252.0
11,1033128020.0,3953228707.0,134457.0,1034827.0,0.271989008,0.268512,0.004007,100.0,12272.0
12,1036926253.0,3953165387.0,164785.0,1186608.0,0.277646842,0.274015,0.004029,99.0,12164.0
13,1044523643.0,3953153295.0,155812.0,1130824.0,0.277174851,0.273374,0.00402,100.0,12192.0
14,1031884345.0,3953171829.0,161474.0,1146585.0,0.245218834,0.245394,0.0,99.0,12224.0
15,1021915042.0,3953118034.0,151564.0,1138068.0,0.240735812,0.240896,0.0,100.0,12192.0
16,1042605664.0,3953079445.0,158896.0,1140819.0,0.27874944,0.279169,0.0,100.0,12296.0
17,1037387363.0,3952989328.0,147945.0,1139202.0,0.244578733,0.24074,0.004012,99.0,12232.0
18,1064307528.0,3953062603.0,153431.0,1151403.0,0.248801662,0.245015,0.003951,99.0,12276.0
19,1045327713.0,3953020596.0,151040.0,1144483.0,0.245996735,0.24234,0.003972,99.0,12268.0
20,1055065408.0,3955813135.0,164179.0,1279229.0,0.248018384,0.243292,0.003988,99.0,12192.0
21,1026559033.0,3953055154.0,161052.0,1206805.0,0.274798757,0.275204,0.0,99.0,12284.0
22,1068089441.0,3955893702.0,163978.0,1280782.0,0.252458872,0.247525,0.003992,99.0,12276.0
23,1034369478.0,3953097807.0,155552.0,1148974.0,0.242436539,0.238578,0.003976,99.0,12280.0
24,1032916985.0,3953148842.0,156509.0,1297226.0,0.270642458,0.270886,0.0,100.0,12276.0
25,1027746837.0,3953053977.0,150149.0,1171456.0,0.241404833,0.23766,0.003961,99.0,12280.0
26,1032930125.0,3953051624.0,150507.0,1132941.0,0.242664155,0.24283,0.0,100.0,12288.0
27,1027186618.0,3953079586.0,155638.0,1143588.0,0.273904781,0.266162,0.008065,100.0,12212.0
28,1025947876.0,3952988126.0,148553.0,1142430.0,0.240475236,0.232775,0.00789,100.0,12288.0
29,1034292254.0,3953156045.0,155218.0,1149138.0,0.243048217,0.239285,0.003988,100.0,12224.0
30,1054972421.0,3953155531.0,134679.0,1028400.0,0.277158792,0.273722,0.004085,100.0,12192.0
31,1032129722.0,3953206335.0,166024.0,1182818.0,0.275805813,0.264349,0.011836,100.0,12284.0
32,1024962316.0,3953080257.0,158821.0,1141179.0,0.273144971,0.269457,0.004021,100.0,12268.0
33,1032804498.0,3953100755.0,159278.0,1150813.0,0.273989572,0.266459,0.007954,99.0,12224.0
34,1020750413.0,3953041522.0,153580.0,1154693.0,0.239727649,0.239929,0.0,100.0,12176.0
35,1033527966.0,3954182875.0,159581.0,1215395.0,0.24230978,0.238066,0.004035,99.0,12184.0
36,1023420904.0,3953078103.0,158242.0,1201965.0,0.273755253,0.274066,0.0,100.0,12220.0
37,1100447129.0,3953138362.0,132502.0,1023238.0,0.258688508,0.255172,0.003987,100.0,12272.0
38,1053105258.0,3955852808.0,157660.0,1269144.0,0.247738184,0.242853,0.004047,99.0,12160.0
39,1046409444.0,3953034837.0,152083.0,1132368.0,0.24614369,0.246298,0.0,100.0,12272.0
40,1039393710.0,3955873747.0,143455.0,1181131.0,0.245749083,0.244936,0.0,98.0,12256.0
41,1045289297.0,3953121229.0,151013.0,1129977.0,0.245340996,0.245572,0.0,99.0,12172.0
42,1071844146.0,3953123649.0,152921.0,1136763.0,0.284312997,0.284607,0.0,99.0,12272.0
