Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1038527301.0,3953826180.0,170605.0,1205386.0,0.274394066,0.27069,0.00398,99.0,12288.0
2,1030911181.0,3953661441.0,150607.0,1162109.0,0.242254169,0.242431,0.0,99.0,12228.0
3,1048956087.0,3953633668.0,174527.0,1263966.0,0.245370038,0.245465,0.0,99.0,12188.0
4,1022427110.0,3953597240.0,160535.0,1157233.0,0.272149827,0.268474,0.004007,100.0,12280.0
5,1049699012.0,3953634054.0,148673.0,1151170.0,0.277455527,0.273732,0.003967,100.0,12164.0
6,1037315975.0,3956265967.0,161885.0,1290469.0,0.24463055,0.228113,0.015731,99.0,12228.0
7,1043069421.0,3953737110.0,161025.0,1182343.0,0.27459549,0.274957,0.0,100.0,12180.0
8,1018727693.0,3953750111.0,152998.0,1176729.0,0.24012154,0.240168,0.0,100.0,12248.0
9,1030778808.0,3953623003.0,151460.0,2213965.0,0.241849086,0.238083,0.003968,99.0,12268.0
10,1021497228.0,3953636488.0,151206.0,1172721.0,0.240730005,0.240867,0.0,100.0,12164.0
11,1025454421.0,3953678019.0,152289.0,1171343.0,0.273592418,0.274061,0.0,100.0,12276.0
12,1053538193.0,3955868035.0,166362.0,1274265.0,0.247926751,0.239327,0.007977,99.0,12212.0
13,1034528985.0,3953632269.0,160446.0,1184826.0,0.245346782,0.24562,0.0,99.0,12224.0
14,1018261970.0,3953594698.0,148705.0,1155610.0,0.239087807,0.235359,0.003989,99.0,12224.0
15,1036832635.0,3955931000.0,177422.0,1291674.0,0.244455246,0.235706,0.00799,99.0,12184.0
16,1052337115.0,3953594698.0,149308.0,1163119.0,0.246466491,0.242722,0.003979,99.0,12184.0
17,1028647137.0,3953686938.0,157519.0,1187493.0,0.271302923,0.267551,0.003993,100.0,12192.0
18,1021118877.0,3953581201.0,147334.0,1182750.0,0.240414598,0.236576,0.004009,99.0,12220.0
19,1038161297.0,3953641109.0,159499.0,1169049.0,0.274751799,0.271174,0.003987,100.0,12228.0
