Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,213652813.0,907483780.0,204219.0,1372039.0,0.052286403,0.052402,0.0,98.0,12280.0
2,201199147.0,907373757.0,146321.0,1179295.0,0.049359557,0.049427,0.0,100.0,12224.0
3,200746396.0,907455784.0,144122.0,1159586.0,0.049262058,0.045542,0.003795,98.0,12216.0
4,202698072.0,907344744.0,148141.0,1158021.0,0.049555951,0.049638,0.0,98.0,12284.0
5,200653864.0,907324609.0,148238.0,1149746.0,0.049420039,0.045688,0.003807,98.0,12192.0
6,203396668.0,907838639.0,158871.0,1209774.0,0.050353191,0.050199,0.0,98.0,12252.0
7,206868918.0,907322959.0,171934.0,1158912.0,0.050733408,0.046928,0.00391,100.0,12284.0
8,237729376.0,907421136.0,202923.0,1399497.0,0.058468981,0.058604,0.0,100.0,12300.0
9,200777953.0,907344224.0,148636.0,1165483.0,0.049160369,0.049257,0.0,100.0,12192.0
10,200871186.0,907410838.0,149179.0,1133745.0,0.049435824,0.049529,0.0,100.0,12164.0
11,206898950.0,907297721.0,151027.0,1206748.0,0.0508828,0.051041,0.0,100.0,12300.0
12,201173853.0,907355291.0,145434.0,1127048.0,0.049559164,0.049619,0.0,98.0,12180.0
13,212521165.0,907954083.0,173482.0,1269504.0,0.052560113,0.052316,0.0,98.0,12280.0
14,202583734.0,907296336.0,148757.0,1176041.0,0.049595342,0.04971,0.0,98.0,12164.0
15,204977548.0,907394725.0,158809.0,1174870.0,0.050618381,0.050763,0.0,100.0,12252.0
16,204233983.0,907251033.0,146465.0,1156682.0,0.050261979,0.0504,0.0,98.0,12216.0
17,213491186.0,907309791.0,164483.0,1292474.0,0.052217052,0.052336,0.0,98.0,12220.0
18,213056559.0,907315965.0,167945.0,1239289.0,0.052211185,0.052212,0.0,98.0,12204.0
19,200624945.0,907372584.0,149048.0,1114682.0,0.049264992,0.049387,0.0,98.0,12172.0
20,201836380.0,907288066.0,145611.0,1142698.0,0.049461387,0.045427,0.004129,100.0,12188.0
21,200585399.0,907280369.0,142003.0,1117016.0,0.049104775,0.049224,0.0,100.0,12300.0
22,201265345.0,907366291.0,145722.0,1135918.0,0.049357323,0.049484,0.0,98.0,12212.0
23,204712833.0,907341860.0,160561.0,1160514.0,0.049896709,0.050025,0.0,98.0,12196.0
24,202168621.0,907288125.0,150536.0,1141350.0,0.049360396,0.049461,0.0,100.0,12220.0
25,209021810.0,907377111.0,150351.0,1212131.0,0.051428123,0.047589,0.003965,98.0,12192.0
26,201610314.0,907352384.0,147334.0,1136640.0,0.049414524,0.045729,0.00381,100.0,12232.0
27,200568380.0,907434413.0,146555.0,1131880.0,0.049106522,0.049177,0.0,98.0,12260.0
28,200713552.0,907282817.0,145072.0,1150092.0,0.049259057,0.045577,0.003798,100.0,12224.0
29,200639912.0,907320468.0,143357.0,1123814.0,0.048980598,0.049086,0.0,100.0,12196.0
30,208882977.0,907269458.0,151763.0,1199249.0,0.051389012,0.05153,0.0,100.0,12276.0
31,213091845.0,907378048.0,171563.0,1275730.0,0.052597898,0.052695,0.0,100.0,12268.0
32,213549126.0,907341709.0,165269.0,1157714.0,0.052265313,0.048354,0.004029,98.0,12232.0
33,201850376.0,907424197.0,148096.0,1182542.0,0.04949065,0.0496,0.0,100.0,12284.0
34,225410392.0,907393028.0,198362.0,1520050.0,0.055156471,0.055285,0.0,98.0,12188.0
35,200588838.0,907253116.0,145164.0,1145252.0,0.049064618,0.049159,0.0,100.0,12220.0
36,202303500.0,907304337.0,149694.0,1156673.0,0.049652124,0.045935,0.003827,98.0,12300.0
