Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,200695134.0,907811867.0,171977.0,1187017.0,0.079690064,0.080088,0.0,100.0,12280.0
2,198489993.0,907709026.0,163984.0,1178203.0,0.078547592,0.071333,0.007508,100.0,12252.0
3,201302144.0,907640061.0,155357.0,1142239.0,0.077631336,0.074006,0.003895,100.0,12260.0
4,195695279.0,907556801.0,142001.0,1118118.0,0.047074469,0.047305,0.0,98.0,12268.0
5,200215337.0,907692465.0,157625.0,1154042.0,0.08071709,0.076677,0.004035,100.0,12296.0
6,197831185.0,907616511.0,153316.0,1140015.0,0.082595347,0.083091,0.0,100.0,12280.0
7,200808896.0,907706710.0,156516.0,1191805.0,0.079367885,0.075568,0.003977,100.0,12280.0
8,199609047.0,907602192.0,153577.0,1135374.0,0.080056316,0.07629,0.004015,100.0,12280.0
9,196089979.0,907553159.0,137485.0,1131178.0,0.047980039,0.044202,0.004018,100.0,12300.0
10,196935681.0,907557477.0,143349.0,1139698.0,0.046722257,0.047174,0.0,98.0,12240.0
11,195951082.0,907543888.0,139103.0,1116926.0,0.046755363,0.043001,0.003909,96.0,12184.0
12,196216935.0,907644905.0,141696.0,1121921.0,0.047113581,0.042912,0.003901,98.0,12276.0
13,197104631.0,907671286.0,149740.0,1132593.0,0.048243762,0.047726,0.0,97.0,12224.0
14,198619706.0,907618080.0,161739.0,1173006.0,0.081765207,0.077994,0.004104,100.0,12284.0
15,196401196.0,907543661.0,140357.0,1112311.0,0.046619939,0.039579,0.007196,98.0,12264.0
16,196800264.0,907602769.0,145458.0,1132605.0,0.047140261,0.047212,0.0,98.0,12192.0
17,196134087.0,907556012.0,139008.0,1115711.0,0.047197461,0.043483,0.003953,100.0,12252.0
18,199361141.0,907597057.0,159324.0,1154325.0,0.080283302,0.076606,0.004031,99.0,12252.0
19,198632464.0,907634575.0,160072.0,1138003.0,0.081122592,0.081353,0.0,100.0,12224.0
20,198184496.0,907596807.0,154662.0,1148476.0,0.082269885,0.078644,0.003932,98.0,12264.0
