Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,201425770.0,908132963.0,175050.0,1194190.0,0.080991553,0.077198,0.004063,99.0,12228.0
2,200013902.0,908109397.0,157547.0,1140682.0,0.079660432,0.072195,0.007599,100.0,12272.0
3,199986739.0,907926216.0,153707.0,1133608.0,0.080502867,0.080844,0.0,100.0,12264.0
4,201055642.0,908051513.0,131630.0,1008858.0,0.079117059,0.079374,0.0,100.0,12260.0
5,201422380.0,908071237.0,132677.0,1010404.0,0.079423806,0.079684,0.0,100.0,12228.0
6,197537392.0,907915182.0,140267.0,1128123.0,0.047383785,0.043572,0.003961,100.0,12264.0
7,196988832.0,908009873.0,125673.0,1000653.0,0.047384134,0.043645,0.003967,98.0,12224.0
8,204383593.0,907985890.0,148420.0,1127999.0,0.048796133,0.048905,0.0,98.0,12260.0
9,201307654.0,907946740.0,154753.0,1155333.0,0.08014332,0.080402,0.0,98.0,12276.0
10,200938294.0,907893400.0,146224.0,1294876.0,0.048441614,0.0486,0.0,98.0,12276.0
11,197651109.0,907904526.0,139813.0,1133981.0,0.046945036,0.047078,0.0,98.0,12296.0
12,200978871.0,907946954.0,152390.0,1137336.0,0.080824281,0.070113,0.01107,100.0,12212.0
13,197453717.0,907919420.0,141908.0,1161495.0,0.047657496,0.047891,0.0,98.0,12224.0
14,197642949.0,907941792.0,144416.0,1132997.0,0.047780139,0.043979,0.003998,100.0,12296.0
15,197383663.0,907891405.0,141854.0,1123843.0,0.047147509,0.047292,0.0,98.0,12224.0
16,197934957.0,907909068.0,150554.0,1180569.0,0.047653306,0.040251,0.007318,100.0,12272.0
17,201675873.0,907993419.0,156561.0,1141093.0,0.0805989,0.080875,0.0,97.0,12248.0
18,198253616.0,907940898.0,144843.0,1133210.0,0.047465221,0.043706,0.003973,100.0,12180.0
19,197405725.0,907893141.0,143628.0,1142633.0,0.046999094,0.047154,0.0,100.0,12232.0
20,200575075.0,907991156.0,152318.0,1167949.0,0.080495604,0.080773,0.0,98.0,12252.0
21,197267655.0,907911240.0,146472.0,1152603.0,0.047616918,0.043728,0.003975,98.0,12276.0
22,201105037.0,908005583.0,156384.0,1158705.0,0.079499934,0.076278,0.004014,100.0,12212.0
23,198147841.0,907929415.0,144007.0,1128800.0,0.048239421,0.044431,0.004039,98.0,12280.0
24,201950149.0,907964355.0,159067.0,1145943.0,0.078377151,0.078567,0.0,98.0,12228.0
25,201059310.0,908449872.0,157031.0,1322230.0,0.048196539,0.040068,0.008013,98.0,12216.0
26,197955303.0,907957155.0,145276.0,1122878.0,0.047077178,0.047238,0.0,100.0,12184.0
27,198306164.0,907980765.0,127347.0,1161233.0,0.047759885,0.047933,0.0,98.0,12296.0
28,198603600.0,907917704.0,143425.0,1197531.0,0.047504472,0.043675,0.00397,100.0,12284.0
29,198188432.0,908028872.0,144877.0,1140758.0,0.047980238,0.044105,0.004009,100.0,12168.0
30,197278701.0,907929717.0,144713.0,1129361.0,0.047242005,0.043426,0.003947,98.0,12260.0
31,197773788.0,907923327.0,147628.0,1134311.0,0.047232926,0.04343,0.003948,98.0,12184.0
32,202155005.0,907935487.0,155285.0,1161930.0,0.078167345,0.074372,0.004131,100.0,12264.0
33,196817964.0,907892877.0,140533.0,1124733.0,0.047086467,0.043284,0.003934,98.0,12224.0
34,197688612.0,907926413.0,139381.0,1126908.0,0.047131096,0.043336,0.003939,100.0,12220.0
35,204803523.0,907912660.0,145250.0,1151105.0,0.048583673,0.048731,0.0,98.0,12220.0
36,196989259.0,907943531.0,127704.0,1009683.0,0.04735068,0.043615,0.003965,100.0,12164.0
37,196883036.0,907900072.0,145098.0,1128755.0,0.047750666,0.043319,0.003938,98.0,12268.0
38,197419015.0,907888303.0,142583.0,1137217.0,0.047675236,0.043552,0.003959,96.0,12256.0
39,197054352.0,907920101.0,142248.0,1131120.0,0.047023539,0.047163,0.0,98.0,12288.0
40,201403919.0,907908249.0,161484.0,1139952.0,0.080654635,0.081038,0.0,100.0,12224.0
41,198079725.0,907860448.0,146091.0,1146311.0,0.047201497,0.047337,0.0,98.0,12164.0
42,197594566.0,907905711.0,142970.0,1125791.0,0.047012225,0.047156,0.0,98.0,12224.0
43,199578617.0,908456962.0,155506.0,1165135.0,0.047851099,0.047788,0.0,98.0,12224.0
