Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1066528879.0,4198663710.0,182816.0,1182815.0,0.284580444,0.284818,0.0,100.0,12260.0
2,1096235370.0,4201277942.0,163380.0,1254824.0,0.257399398,0.256448,0.0,99.0,12284.0
3,1095370611.0,4198571873.0,154336.0,1139767.0,0.254701058,0.254893,0.0,99.0,12268.0
4,1089222213.0,4198347765.0,155331.0,1145879.0,0.253839768,0.250067,0.003969,99.0,12268.0
5,1109070301.0,4201420008.0,165147.0,1273592.0,0.261055549,0.259911,0.0,99.0,12260.0
6,1069688352.0,4198507725.0,162599.0,1132682.0,0.277759834,0.269981,0.007825,100.0,12304.0
7,1079062323.0,4198357122.0,154432.0,1141115.0,0.251233203,0.251307,0.0,100.0,12304.0
8,1094878126.0,4201497899.0,178795.0,1297667.0,0.259053534,0.258136,0.0,98.0,12224.0
9,1068197160.0,4198383889.0,154281.0,1132799.0,0.282043097,0.28263,0.0,99.0,12224.0
10,1061088175.0,4198400345.0,148914.0,1120179.0,0.247124549,0.247319,0.0,99.0,12224.0
11,1129171898.0,4198364819.0,152599.0,1148104.0,0.262859359,0.255232,0.007853,100.0,12228.0
12,1090989052.0,4201262047.0,161960.0,1279662.0,0.257179401,0.256106,0.0,99.0,12192.0
13,1117596349.0,4201416382.0,173502.0,1299032.0,0.262597525,0.25772,0.003964,99.0,12276.0
14,1069032691.0,4198514998.0,165160.0,1193043.0,0.281932053,0.282106,0.0,100.0,12228.0
15,1118954983.0,4198372190.0,152654.0,1141881.0,0.261403997,0.261462,0.0,100.0,12280.0
16,1075585823.0,4198410495.0,154289.0,1168031.0,0.28471602,0.280997,0.004014,100.0,12224.0
17,1069952756.0,4198389695.0,157079.0,1145837.0,0.279486195,0.275743,0.003996,99.0,12196.0
18,1072888499.0,4198360075.0,151670.0,1139756.0,0.250710933,0.247004,0.003983,100.0,12156.0
19,1083221792.0,4198375398.0,151312.0,1147720.0,0.251568102,0.251766,0.0,100.0,12228.0
20,1062528985.0,4198358769.0,145764.0,1129084.0,0.247984589,0.24817,0.0,100.0,12304.0
21,1076065526.0,4198405875.0,161612.0,1132135.0,0.282246976,0.274712,0.007848,100.0,12232.0
22,1062439723.0,4198405090.0,160848.0,1143672.0,0.272880485,0.269187,0.004017,99.0,12256.0
23,1077877643.0,4198447115.0,154113.0,1142716.0,0.252374291,0.248538,0.004008,100.0,12136.0
24,1140608790.0,4198454449.0,154655.0,1119419.0,0.298594721,0.298835,0.0,99.0,12268.0
25,1116177468.0,4198384852.0,150563.0,1299505.0,0.259393329,0.259597,0.0,99.0,12192.0
26,1098317928.0,4201393214.0,172242.0,1303672.0,0.258972112,0.242509,0.015645,99.0,12252.0
27,1093894716.0,4198414437.0,163421.0,1157574.0,0.285238028,0.285441,0.0,99.0,12232.0
28,1080820569.0,4198427718.0,155054.0,1117019.0,0.252809969,0.249117,0.003954,100.0,12224.0
29,1082665395.0,4198357756.0,150918.0,1133231.0,0.253077602,0.253264,0.0,100.0,12252.0
30,1075562818.0,4198399761.0,155558.0,1131953.0,0.273068505,0.269282,0.004019,99.0,12228.0
31,1066310358.0,4198434860.0,158714.0,1122890.0,0.280359298,0.280597,0.0,99.0,12160.0
32,1078813718.0,4198480984.0,160783.0,1133888.0,0.279220248,0.279471,0.0,100.0,12220.0
33,1073236427.0,4198410651.0,154082.0,1137019.0,0.25176367,0.247909,0.003998,99.0,12192.0
34,1090043445.0,4198423902.0,156063.0,1132394.0,0.28621596,0.286563,0.0,99.0,12296.0
35,1111285151.0,4198466328.0,150995.0,1146424.0,0.258196666,0.258373,0.0,99.0,12228.0
36,1095562003.0,4198387536.0,150375.0,1185329.0,0.254957122,0.25512,0.0,100.0,12164.0
37,1085122127.0,4201272265.0,167480.0,1251048.0,0.254183693,0.249198,0.004019,99.0,12240.0
38,1064473320.0,4198421385.0,153584.0,1128604.0,0.281074624,0.281357,0.0,99.0,12184.0
39,1095852256.0,4201342796.0,170284.0,1261820.0,0.256882594,0.256089,0.0,99.0,12256.0
40,1096075884.0,4198478666.0,157443.0,1155033.0,0.28762146,0.288061,0.0,99.0,12224.0
41,1092982291.0,4201326870.0,167344.0,1253804.0,0.256457818,0.251594,0.003993,99.0,12232.0
42,1091228894.0,4201312678.0,162405.0,1272434.0,0.256090869,0.255239,0.0,99.0,12272.0
43,1102702510.0,4201324299.0,166323.0,1259999.0,0.259227886,0.258471,0.0,99.0,12164.0
44,1103727478.0,4198492288.0,162126.0,1154745.0,0.292921831,0.293169,0.0,99.0,12280.0
45,1089254030.0,4201233769.0,162634.0,1312055.0,0.255736634,0.247009,0.007968,99.0,12184.0
46,1087724619.0,4200438071.0,163106.0,1234008.0,0.255034234,0.250409,0.004038,99.0,12276.0
47,1148349316.0,4198390091.0,147175.0,1139191.0,0.269024187,0.269233,0.0,99.0,12232.0
48,1128025390.0,4198395538.0,150414.0,1135138.0,0.263762932,0.259968,0.003999,99.0,12276.0
49,1066350888.0,4198404813.0,155107.0,1139835.0,0.279930623,0.276146,0.004002,100.0,12256.0
50,1108082079.0,4198418492.0,158015.0,1117219.0,0.259058175,0.259165,0.0,99.0,12292.0
51,1086655851.0,4198388441.0,156219.0,1134422.0,0.254382333,0.254528,0.0,99.0,12136.0
52,1062733138.0,4198387691.0,162163.0,1136353.0,0.269686013,0.270081,0.0,100.0,12164.0
53,1065622543.0,4198425582.0,152907.0,1123163.0,0.28306031,0.283318,0.0,99.0,12264.0
54,1066971326.0,4198413469.0,160285.0,1126350.0,0.282611506,0.282827,0.0,99.0,12296.0
55,1074794807.0,4198432249.0,156286.0,1134204.0,0.26910542,0.26152,0.007924,99.0,12192.0
56,1067668653.0,4198544000.0,156701.0,1154196.0,0.283628755,0.279861,0.003998,100.0,12176.0
57,1111845953.0,4198482268.0,155431.0,1133253.0,0.290117622,0.28633,0.004032,99.0,12272.0
58,1095387877.0,4198397618.0,151167.0,1135246.0,0.255270309,0.251477,0.003991,99.0,12288.0
59,1063514065.0,4198419363.0,153691.0,1146607.0,0.247814273,0.248002,0.0,100.0,12272.0
60,1061499934.0,4198402424.0,152248.0,1146405.0,0.281632818,0.281887,0.0,100.0,12188.0
61,1092750630.0,4198393229.0,150249.0,1145144.0,0.256528371,0.256721,0.0,100.0,12252.0
62,1098348903.0,4198457375.0,159578.0,1164050.0,0.281885159,0.282073,0.0,99.0,12180.0
63,1080608871.0,4198418275.0,154275.0,1140027.0,0.283546208,0.279827,0.003997,99.0,12288.0
64,1064391219.0,4198480679.0,152597.0,1145055.0,0.27982664,0.280119,0.0,100.0,12168.0
65,1080705003.0,4198367151.0,158725.0,1177772.0,0.25218072,0.25238,0.0,100.0,12296.0
66,1104970510.0,4201309365.0,167699.0,1267570.0,0.259273162,0.258274,0.0,99.0,12164.0
67,1079318543.0,4198375122.0,152490.0,1106346.0,0.251990681,0.248269,0.004004,99.0,12256.0
68,1110944515.0,4198428933.0,152530.0,1136252.0,0.291969906,0.292271,0.0,100.0,12212.0
69,1062561643.0,4198350450.0,152453.0,1105351.0,0.247763855,0.247916,0.0,100.0,12228.0
70,1088714353.0,4198426459.0,162935.0,1142689.0,0.286251608,0.28259,0.00398,100.0,12224.0
71,1063259376.0,4198370685.0,150765.0,1233473.0,0.248699456,0.244938,0.004015,99.0,12188.0
72,1096711571.0,4201277200.0,164301.0,1249784.0,0.257855096,0.256737,0.0,99.0,12192.0
73,1096646901.0,4201446858.0,171986.0,1272519.0,0.257372002,0.244924,0.011663,99.0,12272.0
74,1064064129.0,4198422179.0,157122.0,1133030.0,0.281556143,0.277913,0.00397,100.0,12268.0
75,1072561253.0,4198405733.0,157336.0,1137246.0,0.25185177,0.252111,0.0,99.0,12304.0
76,1064213082.0,4198414759.0,151286.0,1144582.0,0.248965209,0.249046,0.0,100.0,12276.0
77,1087121012.0,4198555173.0,167679.0,1143200.0,0.287418112,0.283721,0.003996,100.0,12272.0
78,1108977741.0,4198396299.0,152659.0,1122827.0,0.257931018,0.254304,0.003973,99.0,12192.0
79,1079380058.0,4198382588.0,153338.0,1157967.0,0.251968619,0.248134,0.004002,100.0,12272.0
80,1090954909.0,4198560805.0,157915.0,1144088.0,0.288766971,0.285001,0.004014,99.0,12276.0
