Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1134888749.0,4201942919.0,189988.0,1336047.0,0.266322536,0.265274,0.0,99.0,12284.0
2,1096560840.0,4198769908.0,150137.0,1116146.0,0.287961442,0.280433,0.007899,99.0,12228.0
3,1105132884.0,4201191274.0,164771.0,1251805.0,0.258619534,0.249918,0.008061,99.0,12136.0
4,1091506042.0,4198726019.0,156193.0,1197868.0,0.287056712,0.283247,0.004046,99.0,12268.0
5,1077910511.0,4198754159.0,154226.0,1135203.0,0.278410145,0.278622,0.0,99.0,12192.0
6,1139358934.0,4198702289.0,144562.0,1148159.0,0.266085285,0.262376,0.003975,99.0,12224.0
7,1109772703.0,4198813350.0,153983.0,1131564.0,0.290894528,0.283286,0.007979,100.0,12280.0
8,1090959248.0,4198818654.0,157971.0,1127901.0,0.286724757,0.287004,0.0,100.0,12164.0
9,1075443873.0,4198812663.0,157307.0,1138043.0,0.283331628,0.27967,0.003995,100.0,12284.0
10,1076319656.0,4198726518.0,150163.0,1141936.0,0.250953482,0.251147,0.0,99.0,12304.0
11,1105445790.0,4198776415.0,165046.0,1138353.0,0.291754773,0.288066,0.004,100.0,12264.0
12,1121284796.0,4198756726.0,150657.0,1126739.0,0.261864184,0.258156,0.003971,99.0,12208.0
13,1084956986.0,4198714746.0,156529.0,1178051.0,0.254394873,0.254572,0.0,100.0,12180.0
14,1090549908.0,4198777125.0,133110.0,998331.0,0.255188279,0.255435,0.0,99.0,12212.0
15,1143293210.0,4198654573.0,146712.0,1127642.0,0.26813152,0.264293,0.004004,99.0,12276.0
16,1100838620.0,4198730957.0,160679.0,1151606.0,0.276470713,0.277118,0.0,100.0,12224.0
17,1107251070.0,4198735775.0,150560.0,1152620.0,0.257427551,0.253663,0.003963,100.0,12280.0
18,1082757602.0,4198705339.0,149286.0,1158860.0,0.252465983,0.248821,0.003949,99.0,12276.0
19,1075878890.0,4198722534.0,152755.0,1245293.0,0.278789397,0.275048,0.003986,100.0,12272.0
20,1106581066.0,4198714572.0,145206.0,1127191.0,0.257907227,0.25809,0.0,99.0,12252.0
21,1075490154.0,4198775461.0,156043.0,1144058.0,0.283125603,0.279565,0.003993,100.0,12232.0
22,1206179399.0,4198776365.0,149852.0,1146903.0,0.28042328,0.280593,0.0,100.0,12276.0
23,1073463602.0,4198704644.0,149834.0,1143708.0,0.250688438,0.250867,0.0,100.0,12188.0
24,1076088843.0,4198718416.0,152145.0,1134732.0,0.283792036,0.28407,0.0,100.0,12164.0
25,1084348418.0,4198890141.0,160903.0,1164205.0,0.286089068,0.282504,0.003978,99.0,12300.0
26,1084415048.0,4198758948.0,159031.0,1147622.0,0.283462943,0.27982,0.003997,99.0,12212.0
27,1084172614.0,4198680159.0,150336.0,1138081.0,0.268095489,0.264297,0.004004,99.0,12284.0
28,1094623280.0,4198725955.0,146523.0,1144228.0,0.255446702,0.251626,0.003994,100.0,12284.0
29,1077868206.0,4198789668.0,155534.0,1131501.0,0.281612413,0.281835,0.0,100.0,12272.0
30,1097617624.0,4198862421.0,166256.0,1183546.0,0.290834129,0.287197,0.004045,100.0,12296.0
31,1101785095.0,4198757158.0,149004.0,1139536.0,0.257999007,0.258117,0.0,100.0,12220.0
32,1102581330.0,4201687154.0,162630.0,1254547.0,0.258872241,0.2538,0.003965,99.0,12184.0
33,1091949993.0,4198735351.0,151322.0,1125934.0,0.288285321,0.280735,0.008021,100.0,12284.0
34,1101024697.0,4198713365.0,155266.0,1119006.0,0.288146477,0.288578,0.0,100.0,12260.0
35,1081113013.0,4198830648.0,153598.0,1152466.0,0.253206038,0.249352,0.004021,100.0,12276.0
36,1137212691.0,4198738971.0,157460.0,1139714.0,0.298460941,0.294636,0.004036,100.0,12192.0
37,1103643639.0,4200352588.0,158896.0,1214159.0,0.257923021,0.253427,0.004022,99.0,12228.0
38,1109521594.0,4198685167.0,146423.0,1132707.0,0.25934675,0.255531,0.003992,99.0,12168.0
39,1099147442.0,4198804223.0,150284.0,1115261.0,0.258276423,0.254478,0.003976,100.0,12252.0
40,1095613843.0,4198827034.0,152846.0,1124855.0,0.257349062,0.257508,0.0,99.0,12208.0
41,1092335707.0,4198707093.0,148820.0,1115675.0,0.254796132,0.243234,0.011769,100.0,12220.0
42,1090407845.0,4200643570.0,143505.0,1107644.0,0.255749266,0.251409,0.00399,99.0,12180.0
43,1074104025.0,4198734157.0,156146.0,1128042.0,0.281347513,0.277905,0.00397,99.0,12164.0
44,1168652748.0,4198693567.0,144017.0,1108080.0,0.271769464,0.271969,0.0,99.0,12268.0
45,1078803280.0,4198678172.0,150778.0,1139667.0,0.251458601,0.251756,0.0,100.0,12212.0
46,1099757272.0,4198782441.0,149634.0,1144318.0,0.256975693,0.257142,0.0,100.0,12272.0
47,1092247143.0,4198756068.0,152700.0,1140699.0,0.285610246,0.281916,0.004027,100.0,12228.0
48,1097184760.0,4198899046.0,158254.0,1171663.0,0.258621239,0.258385,0.0,100.0,12128.0
49,1088584511.0,4198836620.0,176172.0,1242013.0,0.286881791,0.279177,0.007976,100.0,12280.0
50,1093198843.0,4198732883.0,153147.0,1139574.0,0.288578739,0.284882,0.004012,100.0,12256.0
51,1091021719.0,4198714004.0,146282.0,1174136.0,0.254785591,0.25498,0.0,99.0,12212.0
52,1107970214.0,4198853711.0,134159.0,1004134.0,0.264240163,0.253101,0.011864,99.0,12184.0
53,1077297950.0,4198762869.0,156388.0,1126263.0,0.283148813,0.283272,0.0,100.0,12276.0
54,1098985835.0,4201584619.0,154420.0,1258815.0,0.257849768,0.256969,0.0,99.0,12164.0
55,1112200985.0,4201635894.0,165425.0,1245552.0,0.261073812,0.260019,0.0,99.0,12296.0
56,1109036308.0,4198744812.0,153985.0,1141805.0,0.258511173,0.254671,0.003979,99.0,12228.0
57,1114797680.0,4198781552.0,149850.0,1141288.0,0.259613977,0.255769,0.003996,99.0,12176.0
58,1074376477.0,4198705900.0,157834.0,1125035.0,0.285557942,0.281952,0.003971,100.0,12264.0
59,1074329839.0,4198751678.0,150365.0,1108888.0,0.282384468,0.278571,0.004037,99.0,12284.0
60,1094970337.0,4201619354.0,159618.0,1240221.0,0.257954745,0.249117,0.007908,99.0,12188.0
61,1103053271.0,4198792053.0,149031.0,1136466.0,0.257390911,0.249778,0.007805,100.0,12220.0
62,1095270429.0,4198734323.0,150954.0,1143742.0,0.255890917,0.256295,0.0,99.0,12192.0
63,1073696086.0,4198699034.0,152398.0,1108993.0,0.282577514,0.282908,0.0,100.0,12168.0
64,1090181436.0,4198817581.0,150470.0,1133261.0,0.253266538,0.253446,0.0,100.0,12284.0
65,1105344068.0,4198794796.0,148726.0,1119361.0,0.257461453,0.249773,0.007929,100.0,12228.0
66,1076103086.0,4198799615.0,158323.0,1171653.0,0.283789691,0.284051,0.0,100.0,12280.0
67,1080026653.0,4198706608.0,162021.0,1118158.0,0.268842544,0.261155,0.007913,99.0,12268.0
68,1096547897.0,4198722021.0,149876.0,1103230.0,0.255478085,0.255773,0.0,100.0,12272.0
69,1085207277.0,4198674140.0,148366.0,1109926.0,0.253337082,0.253533,0.0,99.0,12296.0
70,1101323946.0,4198886033.0,155779.0,1140258.0,0.256876183,0.257072,0.0,99.0,12228.0
71,1111324202.0,4201756966.0,146264.0,1126861.0,0.261199956,0.25612,0.00394,99.0,12296.0
72,1071124514.0,4198727930.0,147490.0,1129044.0,0.249540756,0.241969,0.007933,100.0,12304.0
73,1080513873.0,4198716932.0,158036.0,1113592.0,0.284265808,0.280485,0.004006,100.0,12296.0
74,1101268992.0,4198766313.0,154887.0,1159648.0,0.259142555,0.255285,0.003953,100.0,12164.0
75,1079943409.0,4198808791.0,134079.0,1032719.0,0.252765499,0.248616,0.004009,100.0,12260.0
76,1125200235.0,4198760243.0,150785.0,1107551.0,0.29495246,0.291323,0.00399,100.0,12304.0
77,1095362243.0,4198826825.0,156394.0,1158155.0,0.286560956,0.282876,0.003984,99.0,12284.0
78,1136982531.0,4198729656.0,156357.0,1127815.0,0.296889039,0.293157,0.004015,100.0,12284.0
79,1073950460.0,4198710848.0,146706.0,1119374.0,0.251121353,0.251326,0.0,100.0,12224.0
80,1079341308.0,4198815379.0,152876.0,1127264.0,0.251200136,0.251453,0.0,100.0,12268.0
81,1103369043.0,4201553648.0,163847.0,1276055.0,0.259801378,0.250817,0.007962,99.0,12228.0
82,1101709577.0,4200881938.0,161848.0,1239967.0,0.25854583,0.254007,0.003968,99.0,12228.0
83,1086304478.0,4198769788.0,152254.0,1185207.0,0.272573788,0.272708,0.0,99.0,12196.0
84,1109831937.0,4198840823.0,157049.0,1155104.0,0.293334858,0.289618,0.003967,99.0,12164.0
85,1096423450.0,4198669725.0,144552.0,1131203.0,0.256989545,0.257177,0.0,99.0,12280.0
86,1079465200.0,4198713567.0,154588.0,1149916.0,0.25211856,0.248336,0.004005,99.0,12300.0
87,1144899509.0,4198760745.0,145766.0,1154415.0,0.288999493,0.285384,0.003963,100.0,12260.0
88,1078086809.0,4198738950.0,152414.0,1141487.0,0.251747632,0.251918,0.0,99.0,12280.0
89,1076397509.0,4198678044.0,160467.0,1135531.0,0.277922915,0.27446,0.003977,100.0,12176.0
90,1073713022.0,4198686062.0,145672.0,1134904.0,0.25093111,0.24714,0.003986,99.0,12276.0
91,1072890506.0,4198689486.0,155124.0,1130634.0,0.280869757,0.277171,0.004016,100.0,12276.0
92,1086567245.0,4198673714.0,148983.0,1126377.0,0.253156554,0.253337,0.0,100.0,12184.0
93,1086503695.0,4198717387.0,151117.0,1374420.0,0.287137371,0.283602,0.003994,99.0,12240.0
94,1073167793.0,4198728518.0,152810.0,1132554.0,0.282102469,0.282446,0.0,100.0,12260.0
95,1107629497.0,4198677788.0,147846.0,1135012.0,0.258453298,0.254665,0.003979,100.0,12204.0
96,1119970869.0,4198707040.0,154622.0,1118899.0,0.294004929,0.294435,0.0,99.0,12228.0
97,1097643884.0,4198754484.0,158787.0,1111767.0,0.287486304,0.283811,0.004054,99.0,12220.0
98,1075174626.0,4198709073.0,153879.0,1148392.0,0.282010978,0.278393,0.004034,99.0,12300.0
99,1126691545.0,4198694795.0,146190.0,1119398.0,0.263205554,0.263379,0.0,99.0,12212.0
100,1079187723.0,4198746341.0,161022.0,1143206.0,0.285782862,0.282095,0.004029,99.0,12248.0
