Iteration,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
1,1108828455.0,4199458238.0,171409.0,1244345.0,0.288727646,0.284899,0.004012,100.0,12300.0
2,1088245163.0,4199421288.0,148553.0,1148289.0,0.281280238,0.277728,0.004025,100.0,12220.0
3,1140087677.0,4199526577.0,131734.0,1023408.0,0.298193283,0.294531,0.004034,100.0,12220.0
4,1075102083.0,4199469198.0,155374.0,1132728.0,0.252117231,0.248258,0.004004,99.0,12268.0
5,1067739011.0,4199498611.0,160600.0,1154136.0,0.278834436,0.271071,0.007972,100.0,12228.0
6,1096644228.0,4202187896.0,168189.0,1279425.0,0.256975661,0.256035,0.0,99.0,12228.0
7,1065530588.0,4199373664.0,159265.0,1153529.0,0.27849654,0.270831,0.007965,100.0,12228.0
8,1066717161.0,4199338489.0,151704.0,1133772.0,0.249663328,0.249817,0.0,100.0,12256.0
9,1083552845.0,4199325952.0,152364.0,1156700.0,0.252937318,0.249138,0.003954,99.0,12228.0
10,1122865169.0,4199417558.0,150489.0,1131804.0,0.260490747,0.260656,0.0,99.0,12268.0
11,1088179970.0,4199395839.0,153034.0,1169450.0,0.253160743,0.249375,0.004022,99.0,12220.0
12,1067349821.0,4199361356.0,157728.0,1127786.0,0.280437803,0.28082,0.0,100.0,12252.0
13,1139919885.0,4199395236.0,154522.0,1149374.0,0.299044241,0.291511,0.007986,100.0,12260.0
14,1069054882.0,4199365504.0,151160.0,1150619.0,0.247698878,0.247881,0.0,100.0,12260.0
15,1077811988.0,4199386656.0,163280.0,1142686.0,0.282670448,0.283076,0.0,100.0,12284.0
16,1083780450.0,4199375349.0,151838.0,1143507.0,0.253105149,0.249384,0.003958,100.0,12264.0
17,1081205622.0,4199435012.0,162130.0,1179553.0,0.284804894,0.281017,0.004014,100.0,12196.0
18,1089172273.0,4199417703.0,157101.0,1192224.0,0.255398766,0.25566,0.0,99.0,12280.0
19,1063879844.0,4199388923.0,152335.0,1143903.0,0.28150157,0.277807,0.004026,99.0,12212.0
20,1093058573.0,4202185720.0,165765.0,1278719.0,0.256707119,0.24793,0.007997,99.0,12240.0
21,1113807213.0,4199570881.0,162030.0,1200742.0,0.26057812,0.261016,0.0,99.0,12232.0
22,1078134024.0,4199384293.0,158162.0,1168231.0,0.285366985,0.28157,0.004022,100.0,12224.0
23,1072649550.0,4199411101.0,152979.0,1144338.0,0.279603471,0.279857,0.0,100.0,12224.0
24,1075519815.0,4199333211.0,152125.0,1148030.0,0.25206995,0.248234,0.004003,100.0,12260.0
25,1065066545.0,4199305812.0,148788.0,1142860.0,0.248711521,0.248957,0.0,100.0,12212.0
26,1130961399.0,4199446565.0,159236.0,1148071.0,0.262837724,0.258972,0.003984,99.0,12176.0
27,1068024437.0,4199346317.0,145543.0,1147812.0,0.249403447,0.24566,0.004027,100.0,12280.0
28,1074927469.0,4199326700.0,146423.0,1139748.0,0.250502972,0.250776,0.0,99.0,12256.0
29,1068821393.0,4199427282.0,154556.0,1149415.0,0.248750423,0.240974,0.0079,99.0,12224.0
30,1067868378.0,4199335595.0,149016.0,1151756.0,0.249112276,0.249284,0.0,100.0,12280.0
31,1075879558.0,4199379769.0,159627.0,1198446.0,0.282260267,0.278547,0.003979,99.0,12212.0
32,1105308304.0,4199479483.0,150145.0,1144533.0,0.25657498,0.256753,0.0,100.0,12268.0
33,1080194694.0,4199379448.0,159021.0,1145364.0,0.28297573,0.28322,0.0,99.0,12196.0
34,1071540366.0,4199336669.0,153457.0,1161647.0,0.24879645,0.248931,0.0,100.0,12260.0
35,1085735001.0,4202162852.0,162041.0,1287741.0,0.254541666,0.245703,0.007925,99.0,12268.0
36,1104340547.0,4199395635.0,154314.0,1192382.0,0.258277033,0.254403,0.003975,99.0,12272.0
37,1077487640.0,4199401123.0,148162.0,1135535.0,0.283291976,0.279644,0.003994,99.0,12228.0
38,1089427771.0,4199393990.0,159082.0,1162330.0,0.281497173,0.277768,0.004025,99.0,12256.0
39,1082158974.0,4200986351.0,172486.0,1265767.0,0.253698183,0.245308,0.007913,99.0,12260.0
40,1082598476.0,4199365122.0,147615.0,1150285.0,0.252850228,0.253023,0.0,99.0,12224.0
41,1076425118.0,4199655848.0,166494.0,1221771.0,0.253361264,0.249495,0.004024,99.0,12260.0
42,1070462032.0,4199404614.0,155026.0,1150167.0,0.277406659,0.273741,0.004025,99.0,12228.0
43,1086129293.0,4199362563.0,154580.0,1140727.0,0.288338631,0.284697,0.004009,100.0,12260.0
