File Name,File Type,Cycles,Instructions,Cache Misses,Cache References,Elapsed Time,User Time,System Time,CPU Percentage,Maximum resident set size (kbytes)
obscure_string,no_extension,1077603448.2,4153709610.0,157437.7,1179845.9,0.0015185,0.0,0.0,99.55,12395.0
reverse_string,no_extension,1036911993.55,3952803285.4,152946.1,1161304.3,0.0015512,0.0,0.0,99.6,12378.2
qsort_int32,no_extension,758773353.0,2940990445.2,201110.65,1720691.45,0.00143585,0.0,0.0,99.6,12377.2
matmult_int32,no_extension,199502253.45,781198163.6,1028549.6,3117435.2,0.0010188,0.0,0.0,99.65,12373.8
qsort_double,no_extension,797889946.0,3071806619.5,257717.25,2565376.85,0.0012496,0.0,0.0,99.35,12374.2
dijkstra_double,no_extension,570047250.3,2089430646.3,2655860.65,11441313.95,0.0013481,0.0,0.0,99.55,38850.8
search_string,no_extension,199823392.4,907314693.35,147883.5,1122614.45,0.0011908,0.0,0.0,99.8,12374.4
qsort_string,no_extension,701946343.9,2873101205.3,168740.05,2352506.95,0.00145075,0.0,0.0,99.45,12379.4
dijkstra_int32,no_extension,378129195.6,1420449346.65,2463556.55,8934498.5,0.0012939,0.0,0.0,99.65,22854.4
coulomb_float,no_extension,1547895408.85,5329832753.0,645910.9,19408116.95,0.0014626,0.0,0.0,99.25,12402.0
reorder_string,no_extension,8848481336.75,32312679398.15,174306.65,1861724.85,0.003505,0.0,0.0,99.15,12388.0
matmult_double,no_extension,400289590.8,1620701327.65,1885553.3,5230602.85,0.001554,0.0,0.0,99.65,12384.4
coulomb_double,no_extension,2177125992.5,7065094918.35,713964.55,18625810.35,0.0016943,0.0,0.0,99.4,12386.2
toupper_string,no_extension,1092436712.3,4198695058.35,155610.5,1772551.95,0.00153835,0.0,0.0,99.55,12376.6
search_string,original,195939961.9,907604520.95,146363.4,1133607.8,0.0012296,0.0,0.0,99.9,12246.0
qsort_string,original,695686420.1,2873550734.4,168172.15,2875215.4,0.00151,0.0,0.0,99.5,12253.4
dijkstra_int32,original,366338113.35,1420778093.65,2438792.1,8848861.05,0.0012592,0.0,0.0,99.55,22671.0
matmult_int32,original,197921848.65,781480271.75,948601.7,2934811.95,0.0010897,0.0,0.0,99.8,12256.0
toupper_string,original,1084556115.75,4198993410.8,151740.55,1162566.95,0.0014265,0.0,0.0,99.15,12253.0
reorder_string,original,8827414770.55,32312892704.25,170351.15,1453428.05,0.0042609999999999,0.0,0.0,99.25,12255.0
matmult_double,original,402123195.15,1621255006.65,1829181.7,5114659.05,0.0015689999999999,0.0,0.0,99.75,12249.4
coulomb_double,original,2181833478.15,7065984375.3,824666.95,16301230.9,0.001914,0.0,0.0,99.5,12253.2
reverse_string,original,1039255991.25,3953000521.05,154655.3,1195634.5,0.0017115,0.0,0.0,99.45,12249.8
obscure_string,original,1071038415.75,4153632234.15,151231.95,1196117.45,0.001699,0.0,0.0,99.5,12264.8
qsort_int32,original,747049307.45,2941205087.2,198376.85,1726711.35,0.0016925,0.0,0.0,99.7,12269.2
qsort_double,original,793761590.0,3071651466.3,234357.0,2497467.85,0.0016064999999999,0.0,0.0,99.6,12256.0
coulomb_float,original,1523592066.95,5330374916.2,617392.3,19053240.1,0.0017579999999999,0.0,0.0,99.75,12254.4
dijkstra_double,original,573335969.0,2089906503.8,2657850.2,11405371.65,0.001579,0.0,0.0,99.9,38609.8
dijkstra_int32,protected,435055788.25,1747154610.85,2540878.85,8988573.05,0.0014765,0.0,0.0,100.0,22714.2
qsort_double,protected,800240297.35,3072213639.35,232803.85,4282296.15,0.001637,0.0,0.0,99.7,12259.4
qsort_int32,protected,750688837.6,2941481027.55,191719.8,2639407.3,0.001651,0.0,0.0,99.75,12248.6
coulomb_double,protected,2207632735.85,7065746716.05,758563.05,17675807.9,0.0018459999999999,0.0,0.0,99.35,12271.6
reorder_string,protected,8781839890.25,32313453233.45,177575.5,1529294.45,0.0043215,0.0,0.0,99.4,12251.4
matmult_double,protected,401162985.75,1621679372.25,1845183.45,5091986.65,0.0016095,0.0,0.0,99.6,12240.8
toupper_string,protected,1077360519.25,4199298618.2,154531.75,1171938.1,0.001714,0.0,0.0,99.3,12256.6
coulomb_float,protected,1513123784.1,5330241247.9,612863.1,19701812.45,0.001648,0.0,0.0,99.75,12243.6
dijkstra_double,protected,635331268.95,2414539796.8,2719667.1,11819294.2,0.00162,0.0,0.0,99.55,38614.4
obscure_string,protected,1085295253.3,4154268683.85,152029.4,1204292.15,0.0017579999999999,0.0,0.0,99.6,12259.2
search_string,protected,195691384.15,907919001.4,148025.5,1128293.35,0.0013336,0.0,0.0,99.9,12249.6
reverse_string,protected,1024309737.95,3953519227.55,155132.35,1142878.55,0.0017195,0.0,0.0,99.85,12250.2
matmult_int32,protected,198288633.65,782026299.05,965389.15,2932308.4,0.00131075,0.0,0.0,100.0,12259.8
qsort_string,protected,690144574.0,2873782498.8,164418.8,1576232.6,0.0016555,0.0,0.0,99.7,12255.2
Average,no_extension,1413346872.6857142,5194129105.057143,772081.9964285715,5749599.607142858,0.0015579821428571,0.0,0.0,99.51428571428572,15021.042857142858
Average,original,1407131946.0,5194450703.317858,763695.2357142856,5492780.289285715,0.0017361071428571,0.0,0.0,99.59285714285714,14881.5
Average,protected,1414011835.0285718,5241237426.64643,772770.1178571429,5777458.235714286,0.0018072035714285569,0.0,0.0,99.67499999999998,14883.900000000003
